dataset,target_size,algorithm,time,oa,aa,k,selected_bands,selected_weights
indian_pines,2,skipattn,4.722,0.472,0.289,0.289,162|180,3.5686473846435547|3.270293712615967
indian_pines,3,skipattn,3.581,0.567,0.467,0.467,25|149|173,2.07277774810791|2.4164535999298096|2.2468926906585693
indian_pines,4,skipattn,3.901,0.634,0.558,0.558,28|132|160|189,2.6304690837860107|2.426466464996338|3.7682461738586426|3.02901029586792
indian_pines,5,skipattn,4.677,0.63,0.554,0.554,91|99|137|160|168,2.170621156692505|3.1613054275512695|3.336146116256714|2.700518846511841|2.767444372177124
indian_pines,6,skipattn,4.272,0.675,0.612,0.612,7|38|83|166|172|179,4.237448692321777|4.340025424957275|3.2838072776794434|5.718328475952148|3.2618656158447266|5.528656005859375
indian_pines,7,skipattn,4.578,0.709,0.679,0.679,28|44|99|132|149|165|193,1.5511142015457153|1.0313982963562012|2.753307819366455|2.1194214820861816|0.6629270911216736|1.5679454803466797|1.7167630195617676
indian_pines,8,skipattn,4.353,0.689,0.622,0.622,19|34|44|140|150|159|174|184,2.252333402633667|3.1189026832580566|2.017665386199951|1.0792739391326904|2.446913480758667|1.7525076866149902|3.168461322784424|1.2476956844329834
indian_pines,9,skipattn,4.237,0.743,0.703,0.703,13|35|43|99|112|125|129|172|176,1.8628239631652832|1.2413489818572998|1.2214539051055908|1.1264278888702393|0.6454026699066162|1.4017269611358643|1.0460635423660278|1.880739688873291|0.4144648313522339
indian_pines,10,skipattn,4.302,0.716,0.66,0.66,8|20|23|35|82|101|128|136|159|163,1.2867445945739746|0.718989908695221|1.194939374923706|1.4832017421722412|0.0657428428530693|1.3041963577270508|0.9074190855026245|2.1320033073425293|1.5823884010314941|1.6466907262802124
indian_pines,11,skipattn,4.726,0.746,0.708,0.708,7|14|25|36|43|92|99|134|149|159|163,1.5548616647720337|1.8096964359283447|0.8683008551597595|1.5050554275512695|1.0352938175201416|0.01378936879336834|0.014235416427254677|0.9210459589958191|0.9671494960784912|0.8839200139045715|1.3609631061553955
indian_pines,12,skipattn,4.761,0.724,0.681,0.681,7|13|23|36|101|117|130|140|149|153|162|172,0.03442130237817764|0.9166780710220337|1.9004840850830078|1.023692011833191|0.8144866824150085|1.113884687423706|1.9075762033462524|1.431296944618225|1.9840507507324219|0.04062807559967041|1.837869644165039|0.708316445350647
indian_pines,13,skipattn,4.539,0.73,0.695,0.695,6|18|24|33|36|72|84|99|126|150|159|168|189,0.04616602882742882|0.8556891679763794|0.32768094539642334|0.9040064215660095|0.25648415088653564|0.5853138566017151|0.7216417789459229|0.45683860778808594|0.8399515151977539|0.3024119436740875|0.8939737677574158|0.21512100100517273|0.8474446535110474
indian_pines,14,skipattn,4.862,0.751,0.729,0.729,9|14|34|36|42|50|59|92|137|139|148|159|170|173,1.3950231075286865|0.7183840870857239|1.0280293226242065|0.15156547725200653|0.04846328869462013|0.6311950087547302|0.8378435969352722|0.6288537979125977|1.5898152589797974|1.3962966203689575|1.3254625797271729|0.9990187883377075|0.01949608512222767|0.9974535703659058
indian_pines,15,skipattn,4.976,0.75,0.725,0.725,8|13|18|24|34|37|81|99|133|136|149|159|177|182|193,0.07111737877130508|0.8456658720970154|1.2958706617355347|1.5241771936416626|0.7409011721611023|0.8626947999000549|1.0414880514144897|0.871633768081665|0.7843676209449768|0.5771751403808594|0.43917331099510193|0.40387028455734253|1.0090066194534302|0.006224999204277992|1.339545726776123
indian_pines,16,skipattn,4.835,0.734,0.695,0.695,3|25|34|37|59|69|78|81|93|100|137|149|159|174|178|193,1.5740349292755127|0.13189053535461426|0.8959821462631226|0.8466807007789612|1.1361974477767944|1.0004500150680542|0.19066694378852844|1.0888084173202515|1.2194525003433228|1.0808842182159424|1.142643928527832|1.2553738355636597|1.4970157146453857|0.21712635457515717|0.013978410512208939|0.1244250237941742
indian_pines,17,skipattn,5.817,0.722,0.686,0.686,3|7|19|23|35|37|58|81|92|99|147|150|159|164|168|184|189,3.145301580429077|0.25373175740242004|2.4841930866241455|2.6428518295288086|1.6739509105682373|0.0026985504664480686|0.20739221572875977|0.00959949940443039|3.3070106506347656|0.22901925444602966|2.514894962310791|1.5893844366073608|1.2810723781585693|0.9084786772727966|3.5650551319122314|0.008569866418838501|0.2944064438343048
