fold,dataset,oa,aa,k
0,indian_pines,0.728,0.61,0.688
1,indian_pines,0.735,0.605,0.696
2,indian_pines,0.714,0.587,0.673
3,indian_pines,0.725,0.582,0.684
4,indian_pines,0.737,0.572,0.698
5,indian_pines,0.722,0.633,0.683
6,indian_pines,0.726,0.609,0.686
7,indian_pines,0.717,0.584,0.675
8,indian_pines,0.739,0.609,0.701
9,indian_pines,0.716,0.612,0.675
10,indian_pines,0.725,0.591,0.684
11,indian_pines,0.722,0.603,0.681
12,indian_pines,0.717,0.624,0.676
13,indian_pines,0.731,0.585,0.693
14,indian_pines,0.737,0.643,0.698
15,indian_pines,0.733,0.608,0.693
16,indian_pines,0.734,0.638,0.694
17,indian_pines,0.73,0.621,0.691
18,indian_pines,0.729,0.612,0.69
19,indian_pines,0.706,0.572,0.662
