dataset,target_size,algorithm,time,oa,aa,k,selected_bands,selected_weights
salinas,2,random,0.221,0.774,0.764,0.764,118|172,1|1
salinas,3,random,0.0,0.851,0.911,0.911,20|84|116,1|1|1
salinas,4,random,0.0,0.874,0.92,0.92,4|21|77|87,1|1|1|1
salinas,5,random,0.0,0.89,0.928,0.928,42|118|159|164|172,1|1|1|1|1
salinas,6,random,0.0,0.898,0.941,0.941,20|35|77|84|116|136,1|1|1|1|1|1
salinas,7,random,0.0,0.89,0.934,0.934,3|4|21|70|77|87|156,1|1|1|1|1|1|1
salinas,8,random,0.0,0.9,0.939,0.939,22|26|27|72|85|86|124|141,1|1|1|1|1|1|1|1
salinas,9,random,0.001,0.908,0.945,0.945,8|49|63|68|114|123|164|193|200,1|1|1|1|1|1|1|1|1
salinas,10,random,0.0,0.904,0.94,0.94,3|49|101|146|147|154|177|180|187|197,1|1|1|1|1|1|1|1|1|1
salinas,11,random,0.0,0.915,0.953,0.953,7|15|31|32|43|101|113|130|149|181|183,1|1|1|1|1|1|1|1|1|1|1
salinas,12,random,0.0,0.901,0.941,0.941,64|75|90|97|101|117|120|123|139|142|159|188,1|1|1|1|1|1|1|1|1|1|1|1
salinas,13,random,0.0,0.92,0.954,0.954,8|17|54|59|63|69|93|100|146|149|157|158|186,1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,14,random,0.001,0.912,0.952,0.952,2|17|28|36|70|74|76|77|117|132|141|150|151|170,1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,15,random,0.0,0.919,0.955,0.955,14|19|24|35|52|53|86|89|99|127|141|143|160|173|177,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,16,random,0.0,0.916,0.951,0.951,38|42|53|55|56|69|77|105|135|140|141|149|171|188|190|191,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,17,random,0.0,0.921,0.956,0.956,15|20|30|34|47|60|71|83|85|92|95|103|106|123|169|177|197,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,18,random,0.0,0.917,0.954,0.954,2|3|19|35|36|59|60|85|97|117|140|147|161|167|172|180|192|200,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,19,random,0.0,0.926,0.958,0.958,8|11|17|25|33|36|39|46|55|76|92|103|105|112|122|130|179|187|202,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,20,random,0.0,0.917,0.952,0.952,0|16|55|56|64|67|72|87|93|113|114|130|133|134|149|151|152|160|164|200,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,21,random,0.0,0.922,0.958,0.958,2|21|23|38|48|55|56|72|74|83|87|88|89|92|97|105|118|132|136|151|188,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,22,random,0.0,0.923,0.959,0.959,5|21|30|36|43|51|58|59|73|77|82|110|111|122|129|136|139|143|145|147|155|176,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,23,random,0.0,0.923,0.959,0.959,6|9|15|19|22|33|40|43|57|79|88|124|135|148|153|160|162|166|178|180|187|197|202,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,24,random,0.0,0.927,0.96,0.96,11|19|23|28|32|36|42|52|82|83|87|93|94|95|101|103|130|131|142|164|170|171|187|196,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,25,random,0.0,0.919,0.956,0.956,20|25|36|37|55|66|69|73|87|101|110|117|120|152|162|163|170|179|191|195|196|197|198|199|201,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,26,random,0.0,0.925,0.96,0.96,14|17|36|46|48|52|64|67|77|84|88|93|98|101|111|112|115|117|124|132|133|151|157|163|178|203,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,27,random,0.0,0.921,0.958,0.958,3|5|18|21|27|31|33|45|48|59|77|116|118|124|125|132|135|139|158|162|168|170|171|177|180|189|203,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,28,random,0.0,0.921,0.959,0.959,2|4|22|26|34|40|67|71|76|79|87|88|89|101|114|119|131|133|150|154|156|161|162|167|180|182|186|189,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,29,random,0.0,0.925,0.96,0.96,4|13|27|48|51|68|69|74|79|88|90|95|101|103|105|111|112|114|115|124|131|134|147|148|152|162|173|175|186,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,30,random,0.0,0.927,0.96,0.96,21|32|37|39|41|42|52|53|54|55|56|57|68|75|83|93|95|97|102|104|114|119|123|139|146|162|171|172|190|203,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,2,linspacer,0.037,0.817,0.844,0.844,51|152,1|1
salinas,3,linspacer,0.0,0.868,0.915,0.915,34|102|169,1|1|1
salinas,4,linspacer,0.0,0.89,0.933,0.933,25|76|127|178,1|1|1|1
salinas,5,linspacer,0.0,0.9,0.939,0.939,20|61|102|142|183,1|1|1|1|1
salinas,6,linspacer,0.0,0.911,0.95,0.95,17|51|85|118|152|186,1|1|1|1|1|1
salinas,7,linspacer,0.0,0.909,0.945,0.945,14|44|72|102|130|160|188,1|1|1|1|1|1|1
salinas,8,linspacer,0.0,0.908,0.949,0.949,13|38|63|89|114|140|165|190,1|1|1|1|1|1|1|1
salinas,9,linspacer,0.0,0.911,0.947,0.947,11|34|56|79|102|124|147|169|192,1|1|1|1|1|1|1|1|1
salinas,10,linspacer,0.001,0.914,0.953,0.953,10|30|51|71|91|112|132|152|173|193,1|1|1|1|1|1|1|1|1|1
salinas,11,linspacer,0.0,0.917,0.954,0.954,9|28|46|65|83|102|120|138|157|175|194,1|1|1|1|1|1|1|1|1|1|1
salinas,12,linspacer,0.0,0.916,0.953,0.953,8|25|42|59|76|93|110|127|144|161|178|195,1|1|1|1|1|1|1|1|1|1|1|1
salinas,13,linspacer,0.0,0.92,0.956,0.956,8|23|39|55|70|86|102|117|133|148|164|180|195,1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,14,linspacer,0.0,0.924,0.958,0.958,7|22|36|51|65|80|94|109|123|138|152|167|181|196,1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,15,linspacer,0.0,0.92,0.958,0.958,7|20|34|47|61|74|88|102|115|129|142|156|169|183|196,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,16,linspacer,0.0,0.921,0.957,0.957,6|19|32|44|57|70|82|95|108|121|133|146|159|171|184|197,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,17,linspacer,0.0,0.924,0.957,0.957,6|18|30|42|54|66|78|90|102|113|125|137|149|161|173|185|197,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,18,linspacer,0.001,0.924,0.96,0.96,6|17|28|39|51|62|73|85|96|107|118|130|141|152|164|175|186|197,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,19,linspacer,0.001,0.928,0.96,0.96,5|16|27|37|48|59|69|80|91|102|112|123|134|144|155|166|176|187|198,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,20,linspacer,0.0,0.924,0.959,0.959,5|15|25|36|46|56|66|76|86|96|107|117|127|137|147|157|167|178|188|198,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,21,linspacer,0.0,0.926,0.96,0.96,5|14|24|34|44|53|63|73|82|92|102|111|121|130|140|150|160|169|179|188|198,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,22,linspacer,0.0,0.926,0.961,0.961,5|14|23|32|42|51|60|69|78|88|97|106|115|125|134|143|152|161|171|180|189|198,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,23,linspacer,0.0,0.925,0.96,0.96,4|13|22|31|40|49|57|66|75|84|93|102|110|119|128|137|146|154|163|172|181|190|199,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,24,linspacer,0.0,0.928,0.962,0.962,4|13|21|30|38|47|55|63|72|80|89|97|106|114|123|131|140|148|156|165|173|182|190|199,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,25,linspacer,0.0,0.928,0.962,0.962,4|12|20|28|37|45|53|61|69|77|85|93|102|110|118|126|134|142|150|158|166|175|183|191|199,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,26,linspacer,0.0,0.926,0.961,0.961,4|12|20|27|35|43|51|59|66|74|82|90|98|105|113|121|129|137|144|152|160|168|176|183|191|199,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
salinas,27,linspacer,0.0,0.927,0.961,0.961,4|11|19|26|34|41|49|56|64|71|79|86|94|102|109|117|124|132|139|147|154|162|169|177|184|192|199,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
