dataset,target_size,algorithm,props,time,oa,aa,k,selected_bands,selected_weights
ghisaconus_health,2,c4,0,173.063,0.533,0.455,0.455,32|40,0.31117579340934753|1.238845944404602
ghisaconus_health,3,c4,0,0.0,0.582,0.54,0.54,32|40|76,0.31117579340934753|1.238845944404602|0.047306470572948456
ghisaconus_health,4,c4,0,0.0,0.604,0.558,0.558,32|40|76|101,0.31117579340934753|1.238845944404602|0.047306470572948456|0.3766115605831146
ghisaconus_health,5,c4,0,0.0,0.669,0.618,0.618,1|32|40|76|101,0.12087893486022949|0.31117579340934753|1.238845944404602|0.047306470572948456|0.3766115605831146
ghisaconus_health,6,c4,0,0.0,0.664,0.619,0.619,1|32|40|76|101|120,0.12087893486022949|0.31117579340934753|1.238845944404602|0.047306470572948456|0.3766115605831146|1.142982006072998
ghisaconus_health,7,c4,0,0.0,0.666,0.624,0.624,1|32|40|70|76|101|120,0.12087893486022949|0.31117579340934753|1.238845944404602|0.039450403302907944|0.047306470572948456|0.3766115605831146|1.142982006072998
ghisaconus_health,8,c4,0,0.0,0.676,0.635,0.635,1|19|32|40|70|76|101|120,0.12087893486022949|0.08828341215848923|0.31117579340934753|1.238845944404602|0.039450403302907944|0.047306470572948456|0.3766115605831146|1.142982006072998
ghisaconus_health,9,c4,0,0.0,0.682,0.644,0.644,1|5|19|32|40|70|76|101|120,0.12087893486022949|0.023775724694132805|0.08828341215848923|0.31117579340934753|1.238845944404602|0.039450403302907944|0.047306470572948456|0.3766115605831146|1.142982006072998
ghisaconus_health,10,c4,0,0.0,0.688,0.649,0.649,1|5|19|26|32|40|70|76|101|120,0.12087893486022949|0.023775724694132805|0.08828341215848923|0.057767827063798904|0.31117579340934753|1.238845944404602|0.039450403302907944|0.047306470572948456|0.3766115605831146|1.142982006072998
ghisaconus_health,11,c4,0,0.0,0.691,0.651,0.651,1|5|19|26|32|33|40|70|76|101|120,0.12087893486022949|0.023775724694132805|0.08828341215848923|0.057767827063798904|0.31117579340934753|0.40749838948249817|1.238845944404602|0.039450403302907944|0.047306470572948456|0.3766115605831146|1.142982006072998
ghisaconus_health,12,c4,0,0.0,0.694,0.653,0.653,1|5|19|26|32|33|40|70|76|101|120|129,0.12087893486022949|0.023775724694132805|0.08828341215848923|0.057767827063798904|0.31117579340934753|0.40749838948249817|1.238845944404602|0.039450403302907944|0.047306470572948456|0.3766115605831146|1.142982006072998|0.9504281282424927
