dataset,target_size,algorithm,time,oa,aa,k,selected_bands,selected_weights
indian_pines,2,bsdrattn,5.653,0.546,0.389,0.389,127|178,2.875293254852295|2.7183759212493896
indian_pines,3,bsdrattn,4.381,0.604,0.514,0.514,13|37|160,2.245833396911621|2.041494607925415|1.86455500125885
indian_pines,4,bsdrattn,4.613,0.66,0.6,0.6,48|99|115|160,1.8364126682281494|1.8824061155319214|1.9356862306594849|1.8573352098464966
indian_pines,5,bsdrattn,4.823,0.686,0.63,0.63,7|68|127|134|153,1.304175615310669|0.9422095417976379|1.6273545026779175|1.3825299739837646|1.3519058227539062
indian_pines,6,bsdrattn,5.019,0.662,0.584,0.584,6|127|149|160|163|178,2.7388293743133545|1.835415005683899|2.095250129699707|1.5745947360992432|2.2462120056152344|1.832000970840454
indian_pines,7,bsdrattn,5.216,0.698,0.647,0.647,5|16|33|37|52|57|125,4.242602825164795|1.2930757999420166|3.7945806980133057|2.2984259128570557|3.1915979385375977|2.141390323638916|3.5705153942108154
indian_pines,8,bsdrattn,5.349,0.697,0.643,0.643,40|99|113|118|127|149|172|184,1.8524227142333984|2.0154993534088135|1.8104678392410278|2.756333112716675|2.657136917114258|1.976841926574707|3.001490592956543|2.5718040466308594
indian_pines,9,bsdrattn,5.41,0.741,0.703,0.703,34|40|58|68|124|149|161|170|172,0.5329970121383667|0.5579797029495239|0.6867605447769165|0.22295677661895752|0.8156779408454895|0.5400392413139343|0.6151192784309387|0.37592148780822754|0.44563010334968567
indian_pines,10,bsdrattn,5.517,0.744,0.698,0.698,33|34|37|69|111|126|135|149|161|171,2.767967462539673|2.2796969413757324|1.269973635673523|2.0535495281219482|4.049066066741943|1.5967158079147339|2.524301767349243|2.509167194366455|3.479632616043091|1.7197916507720947
indian_pines,11,bsdrattn,5.851,0.744,0.715,0.715,14|18|33|35|37|52|129|159|162|176|183,3.861163377761841|0.6467013359069824|3.83770489692688|2.7461915016174316|3.8375673294067383|3.4229822158813477|1.7169251441955566|1.9226994514465332|2.229591131210327|0.004137073177844286|4.053221702575684
indian_pines,12,bsdrattn,5.596,0.744,0.696,0.696,33|34|37|51|58|67|99|111|148|159|162|171,0.7443155646324158|0.4413490891456604|0.5498088002204895|0.6860904693603516|0.39543616771698|0.4338306486606598|0.45704588294029236|0.010582751594483852|0.66453617811203|0.05506570637226105|0.6254687309265137|0.7794063091278076
indian_pines,13,bsdrattn,6.09,0.745,0.714,0.714,14|18|33|35|40|51|57|67|111|148|160|161|173,0.7212748527526855|0.49508094787597656|0.6886113286018372|0.7965509295463562|0.5368479490280151|0.41847091913223267|0.4108598232269287|0.6285551190376282|0.605418860912323|0.5800636410713196|0.4268718659877777|0.008307119831442833|0.7209324240684509
indian_pines,14,bsdrattn,6.008,0.771,0.735,0.735,6|18|33|37|57|69|80|98|123|125|132|148|149|161,0.039008062332868576|1.547238826751709|1.0639725923538208|0.688100278377533|1.1131315231323242|1.675620436668396|1.8224574327468872|1.8639265298843384|0.7436060309410095|1.0001457929611206|0.6780534982681274|0.8600621223449707|0.8756729364395142|1.2002313137054443
indian_pines,15,bsdrattn,6.192,0.765,0.733,0.733,6|33|36|43|52|58|71|99|111|124|127|132|161|172|181,1.8618065118789673|0.008079797960817814|0.043935470283031464|0.8626375198364258|2.0332493782043457|0.33235087990760803|2.782891273498535|2.7702691555023193|2.0580458641052246|1.060740351676941|0.013601643964648247|0.04456545040011406|1.7231792211532593|0.8627364635467529|3.407912254333496
indian_pines,16,bsdrattn,6.009,0.761,0.725,0.725,5|17|33|35|37|40|51|64|71|111|140|148|159|161|168|171,0.013004420325160027|0.8045954704284668|0.1002432256937027|0.9539714455604553|0.019873205572366714|0.12513048946857452|1.1782563924789429|1.1565616130828857|0.32002368569374084|1.075387716293335|0.6807899475097656|0.002480976516380906|1.101752519607544|0.8250753879547119|1.2364459037780762|0.18127016723155975
indian_pines,17,bsdrattn,6.268,0.758,0.723,0.723,5|33|35|36|40|51|57|71|99|100|112|114|128|130|149|161|171,0.13158251345157623|0.7271417379379272|1.269266963005066|1.0703011751174927|0.9605498313903809|0.5512980222702026|0.991172730922699|0.017020216211676598|0.002597789280116558|0.7833241820335388|0.005551252979785204|0.10545062273740768|0.005164734087884426|0.9756916165351868|1.0500730276107788|1.026539921760559|0.571204662322998
indian_pines,18,bsdrattn,6.291,0.763,0.73,0.73,5|7|16|18|34|37|40|51|57|99|112|124|127|128|130|139|149|172,0.08378313481807709|3.4478096961975098|3.4988009929656982|2.91855525970459|0.15458263456821442|2.7642769813537598|2.210561513900757|1.2422029972076416|0.31076133251190186|2.0337557792663574|0.22482672333717346|3.5789358615875244|0.1636451780796051|0.09604307264089584|0.03555890917778015|0.024341067299246788|2.480875015258789|0.31861987709999084
indian_pines,19,bsdrattn,7.002,0.776,0.747,0.747,5|7|18|33|35|37|40|51|57|67|98|111|127|148|160|162|170|178|181,4.4243083000183105|0.005072460044175386|0.06485075503587723|0.0067156716249883175|3.671349048614502|3.8457906246185303|0.009209615178406239|3.2540130615234375|0.903433084487915|4.845696926116943|0.010745718143880367|3.73160719871521|4.534010410308838|4.285567760467529|0.010316675528883934|5.114445686340332|0.12001600861549377|3.01008677482605|6.192726135253906
indian_pines,20,bsdrattn,6.703,0.781,0.752,0.752,4|7|15|18|34|35|37|40|58|68|80|100|111|124|129|139|148|160|172|173,1.9101780652999878|0.0007329246727749705|1.38973867893219|0.025716785341501236|2.4075520038604736|2.4467272758483887|0.055569328367710114|1.5695480108261108|0.9284517168998718|1.8786402940750122|2.0159995555877686|1.6527302265167236|0.03427876532077789|2.2064175605773926|1.2326456308364868|0.2974195182323456|1.0512923002243042|2.017138957977295|1.7657774686813354|2.6801092624664307
indian_pines,21,bsdrattn,6.944,0.78,0.746,0.746,5|7|18|33|35|37|40|57|67|71|99|100|125|127|128|131|148|149|159|171|184,1.7597525119781494|0.017352327704429626|0.34723225235939026|1.5799680948257446|0.03322034701704979|1.3135546445846558|0.9618836045265198|0.7458986043930054|0.8957078456878662|0.0049287923611700535|0.019156871363520622|1.2729343175888062|1.0659807920455933|2.12241792678833|0.0007597300573252141|0.0047724805772304535|0.0007242268766276538|0.010603584349155426|1.5238028764724731|1.5139296054840088|2.3493778705596924
indian_pines,22,bsdrattn,6.986,0.786,0.751,0.751,5|6|23|34|35|41|57|69|100|125|126|128|132|148|149|159|161|170|171|173|178|183,0.04004792496562004|0.26116061210632324|4.448591709136963|0.05055389180779457|2.9616830348968506|4.554083347320557|0.02130013518035412|3.0482189655303955|1.826542615890503|3.696324110031128|1.602686882019043|0.018955251201987267|7.97503137588501|4.910491466522217|0.7321376800537109|3.356292724609375|0.008285727351903915|0.012698107399046421|0.04483165219426155|4.4768242835998535|0.009671979583799839|2.5632195472717285
indian_pines,23,bsdrattn,7.222,0.783,0.747,0.747,5|18|34|36|37|40|49|57|58|68|78|111|123|124|126|128|148|149|161|162|171|176|178,1.9297306537628174|1.3219691514968872|0.009139911271631718|1.4795410633087158|1.465906023979187|1.3827403783798218|0.023273978382349014|0.3738148808479309|0.31284022331237793|1.4432884454727173|2.612053871154785|0.041165050119161606|1.1855207681655884|0.0032446214463561773|0.2707972526550293|1.890419602394104|1.087047815322876|2.274601459503174|0.04599202424287796|0.0009947841754183173|0.06323245167732239|2.434729814529419|0.4672543406486511
indian_pines,24,bsdrattn,7.214,0.788,0.756,0.756,5|7|15|18|33|35|37|40|58|69|99|100|112|124|130|134|148|149|153|159|162|172|178|181,1.6018106937408447|3.0439975261688232|1.7501518726348877|2.3625051975250244|2.089991331100464|0.05771022289991379|2.8992655277252197|0.004620448220521212|0.162618950009346|0.00839297566562891|0.06944578886032104|0.48980870842933655|0.3923383951187134|0.027968501672148705|2.5768516063690186|1.9145424365997314|0.02841694839298725|0.005951777566224337|2.38132381439209|1.5604485273361206|0.0443391390144825|2.6066925525665283|0.006217059679329395|2.7177317142486572
indian_pines,25,bsdrattn,7.398,0.783,0.74,0.74,4|5|7|18|23|33|34|37|40|67|99|100|112|124|125|128|129|132|147|149|158|160|161|172|184,2.585010528564453|0.007556398399174213|5.325423717498779|4.166064739227295|0.11747065931558609|3.737166404724121|3.537764549255371|4.171724796295166|0.006061316467821598|2.5493175983428955|0.007789781782776117|5.172845363616943|0.0020854042377322912|2.365917682647705|0.006581305526196957|0.7530035376548767|0.002948411274701357|0.0028165564872324467|2.886472463607788|3.267198085784912|1.8045979738235474|0.003260807367041707|3.970182418823242|0.004630372393876314|0.0043587158434093
indian_pines,26,bsdrattn,7.998,0.787,0.751,0.751,5|6|7|18|20|23|34|37|40|43|52|69|70|80|99|111|124|125|127|134|149|162|170|175|178|184,1.8412562608718872|0.0037022156175225973|0.0016566950362175703|0.023200782015919685|0.0713818222284317|1.3447891473770142|0.011292900890111923|0.0042260014452040195|0.0055585941299796104|0.8254795670509338|2.3830080032348633|2.6175971031188965|0.9205001592636108|0.669716477394104|0.008023199625313282|2.335296154022217|1.544895052909851|2.006523609161377|1.9424041509628296|1.4384887218475342|3.2682111263275146|2.6755380630493164|2.600250720977783|0.0027093191165477037|0.1229020431637764|0.021801438182592392
indian_pines,27,bsdrattn,8.185,0.767,0.717,0.717,3|6|8|21|22|31|34|40|41|42|46|53|75|76|80|119|124|126|135|137|149|159|165|169|177|179|182,0.18305611610412598|0.14511311054229736|0.025364145636558533|0.013744913041591644|0.022848686203360558|0.07099218666553497|0.1256411224603653|0.04001198336482048|0.32971638441085815|0.0034732951316982508|0.019835544750094414|0.06896916776895523|0.21428519487380981|0.003090398386120796|0.07318800687789917|0.03177373483777046|0.1010395884513855|0.05673811212182045|0.025871260091662407|0.006847119890153408|0.00781717523932457|0.10312739759683609|0.0020864687394350767|0.0016435424331575632|0.0695859044790268|0.11480028927326202|0.021521970629692078
