dataset,target_size,algorithm,props,oa,aa,k,fold
indian_pines,2,bsdrattn3,0,0.49,0.3,0.39,0
indian_pines,2,bsdrattn3,0,0.5,0.31,0.39,1
indian_pines,2,bsdrattn3,0,0.5,0.33,0.42,2
indian_pines,2,bsdrattn3,0,0.5,0.33,0.4,3
indian_pines,2,bsdrattn3,0,0.5,0.32,0.39,4
indian_pines,2,bsdrattn3,0,0.5,0.32,0.41,5
indian_pines,2,bsdrattn3,0,0.49,0.33,0.4,6
indian_pines,2,bsdrattn3,0,0.48,0.29,0.37,7
indian_pines,2,bsdrattn3,0,0.5,0.3,0.41,8
indian_pines,2,bsdrattn3,0,0.5,0.3,0.4,9
indian_pines,2,bsdrattn3,0,0.5,0.33,0.41,10
indian_pines,2,bsdrattn3,0,0.48,0.27,0.37,11
indian_pines,2,bsdrattn3,0,0.49,0.32,0.39,12
indian_pines,2,bsdrattn3,0,0.5,0.32,0.4,13
indian_pines,2,bsdrattn3,0,0.5,0.31,0.4,14
indian_pines,2,bsdrattn3,0,0.5,0.31,0.4,15
indian_pines,2,bsdrattn3,0,0.5,0.32,0.41,16
indian_pines,2,bsdrattn3,0,0.48,0.3,0.38,17
indian_pines,2,bsdrattn3,0,0.5,0.33,0.4,18
indian_pines,2,bsdrattn3,0,0.5,0.31,0.4,19
indian_pines,3,bsdrattn3,0,0.57,0.42,0.49,0
indian_pines,3,bsdrattn3,0,0.56,0.45,0.49,1
indian_pines,3,bsdrattn3,0,0.56,0.43,0.49,2
indian_pines,3,bsdrattn3,0,0.56,0.43,0.48,3
indian_pines,3,bsdrattn3,0,0.56,0.44,0.48,4
indian_pines,3,bsdrattn3,0,0.57,0.42,0.5,5
indian_pines,3,bsdrattn3,0,0.56,0.43,0.48,6
indian_pines,3,bsdrattn3,0,0.55,0.41,0.48,7
indian_pines,3,bsdrattn3,0,0.56,0.43,0.49,8
indian_pines,3,bsdrattn3,0,0.55,0.41,0.47,9
