dataset,target_size,algorithm,props,time,oa,aa,k,selected_bands,selected_weights
indian_pines,10,bsdrattn2spec,23,8.804,0.713,0.663,0.663,9|16|24|34|109|124|133|149|160|164,3.6669015884399414|1.5747148990631104|1.7325204610824585|3.2528929710388184|2.541482448577881|2.3949286937713623|1.74566650390625|1.9544566869735718|2.596892833709717|1.9837312698364258
indian_pines,10,bsdrattn2spec,24,14.026,0.737,0.703,0.703,8|16|24|41|119|125|136|160|163|175,2.33414626121521|2.4804093837738037|2.2375833988189697|1.3187110424041748|0.623388409614563|2.3911218643188477|3.1496992111206055|1.9507464170455933|2.856144666671753|1.9225904941558838
indian_pines,10,bsdrattn2spec,25,8.929,0.744,0.717,0.717,8|14|38|52|68|118|128|135|153|160,2.4668612480163574|1.9214088916778564|3.1232144832611084|3.114060640335083|3.1851413249969482|1.6721171140670776|2.6405029296875|1.85588538646698|2.8330752849578857|2.791006326675415
indian_pines,10,bsdrattn2spec,26,8.08,0.764,0.73,0.73,8|15|22|37|69|100|124|128|149|160,1.5356847047805786|1.8311973810195923|1.6962226629257202|2.225355386734009|2.0664827823638916|1.7431013584136963|0.6434792280197144|1.225462555885315|1.724951148033142|2.0125625133514404
indian_pines,10,bsdrattn2spec,27,11.182,0.748,0.712,0.712,8|16|27|51|101|115|128|153|161|169,2.165550470352173|1.7962801456451416|1.5190454721450806|0.9030660390853882|1.7973312139511108|1.6218106746673584|1.7035151720046997|1.5220508575439453|2.3108816146850586|1.3879154920578003
indian_pines,10,bsdrattn2spec,28,18.283,0.7,0.637,0.637,8|14|19|27|109|115|128|149|165|184,2.210064649581909|1.930305004119873|3.126180648803711|2.913153886795044|0.9769579768180847|2.8402321338653564|2.212562322616577|2.2363264560699463|1.1359717845916748|0.980717658996582
indian_pines,10,bsdrattn2spec,29,11.565,0.743,0.695,0.695,8|13|19|27|34|41|128|153|171|178,2.384819507598877|1.0671379566192627|1.972943663597107|1.67371666431427|0.7886090874671936|2.110441207885742|1.827212929725647|2.234973430633545|2.4114842414855957|1.7706085443496704
indian_pines,10,bsdrattn2spec,30,9.33,0.743,0.696,0.696,7|19|34|41|58|69|98|125|127|149,1.3904815912246704|1.3681573867797852|2.250784397125244|2.172699451446533|2.612118721008301|2.206050157546997|1.5038329362869263|2.2557101249694824|1.433780312538147|1.4028632640838623
indian_pines,10,bsdrattn2spec,31,17.702,0.742,0.704,0.704,7|37|43|69|79|99|113|128|159|179,1.7569748163223267|2.98787522315979|1.08877694606781|1.9684722423553467|1.6635956764221191|1.5469764471054077|1.2435302734375|3.2294487953186035|2.1723384857177734|2.5049428939819336
indian_pines,10,bsdrattn2spec,32,6.672,0.755,0.71,0.71,7|19|36|43|68|116|128|137|172|178,2.407560110092163|2.2668683528900146|1.3390657901763916|1.641444444656372|1.549561619758606|1.5548428297042847|2.1132047176361084|2.2869222164154053|1.4647389650344849|0.6232174634933472
indian_pines,10,bsdrattn2spec,33,6.048,0.748,0.694,0.694,7|29|36|41|69|100|112|118|129|153,2.0359506607055664|2.349544048309326|1.2400177717208862|1.4707016944885254|1.6907259225845337|2.017167568206787|1.555275321006775|0.6944194436073303|1.7461007833480835|2.131629705429077
indian_pines,10,bsdrattn2spec,34,5.327,0.735,0.696,0.696,7|24|35|58|124|127|149|153|172|181,2.2222867012023926|1.6388322114944458|2.189056396484375|1.924142837524414|1.7453722953796387|1.7991877794265747|2.1366422176361084|1.0683635473251343|1.6603283882141113|1.3435455560684204
indian_pines,10,bsdrattn2spec,35,15.297,0.745,0.712,0.712,6|17|37|99|121|125|127|133|161|172,2.071674346923828|0.35538122057914734|2.4376375675201416|2.699693441390991|2.8902766704559326|2.82124662399292|2.624070644378662|2.6932387351989746|1.905443787574768|2.135523796081543
indian_pines,10,bsdrattn2spec,36,14.192,0.747,0.705,0.705,6|16|19|41|71|129|149|160|163|172,1.4988185167312622|1.3577678203582764|1.2835102081298828|1.6086859703063965|1.8926688432693481|1.4278491735458374|1.1675916910171509|1.984941840171814|1.002922534942627|1.7286632061004639
indian_pines,10,bsdrattn2spec,37,5.533,0.747,0.715,0.715,17|34|37|41|58|127|137|153|170|181,2.135230779647827|2.96825909614563|1.9817650318145752|1.894783854484558|2.454961061477661|2.8430213928222656|3.0324323177337646|1.8193426132202148|2.768292188644409|1.382838249206543
indian_pines,10,bsdrattn2spec,38,5.381,0.77,0.721,0.721,6|19|35|41|52|99|114|125|128|161,1.7505227327346802|1.8049039840698242|3.452237844467163|3.0624704360961914|2.7667922973632812|1.9239680767059326|2.7334067821502686|1.4699819087982178|2.828246593475342|1.8046033382415771
indian_pines,10,bsdrattn2spec,39,5.561,0.731,0.679,0.679,6|19|30|36|41|69|149|153|161|172,1.0581282377243042|2.1225979328155518|1.1491934061050415|1.8820304870605469|1.7718878984451294|1.4394919872283936|2.226046323776245|0.6943696141242981|1.952823519706726|1.2743804454803467
indian_pines,10,bsdrattn2spec,40,17.065,0.706,0.654,0.654,34|41|122|124|129|149|159|168|172|177,1.2969045639038086|3.143648147583008|1.9868711233139038|2.6726794242858887|2.069178581237793|2.320546865463257|2.163510322570801|1.4740514755249023|0.38673320412635803|1.7636696100234985
indian_pines,10,bsdrattn2spec,41,11.493,0.745,0.71,0.71,6|18|35|41|100|112|124|149|153|168,0.5165684223175049|0.3756382167339325|0.33359700441360474|0.5974682569503784|0.5163925290107727|0.3220614790916443|0.5307138562202454|0.4174410402774811|0.12479434162378311|0.35372230410575867
indian_pines,10,bsdrattn2spec,42,11.164,0.742,0.707,0.707,6|36|41|59|69|99|112|118|161|168,0.36523008346557617|0.5206364989280701|0.371244877576828|0.2742644250392914|0.48324304819107056|0.312898188829422|0.2724761366844177|0.2656565010547638|0.3178795278072357|0.5482964515686035
indian_pines,10,bsdrattn2spec,43,10.887,0.746,0.71,0.71,25|36|43|59|100|128|133|148|160|170,0.320161908864975|0.32643333077430725|0.3659909665584564|0.12506912648677826|0.46546709537506104|0.34492093324661255|0.3430126905441284|0.35943636298179626|0.2854653298854828|0.3678748309612274
indian_pines,10,bsdrattn2spec,44,11.912,0.755,0.717,0.717,10|36|41|51|58|99|112|128|149|159,0.43019774556159973|0.5421098470687866|0.45643025636672974|0.5326626896858215|0.4737558364868164|0.07693400979042053|0.3383334279060364|0.48506221175193787|0.43747055530548096|0.6276400685310364
indian_pines,10,bsdrattn2spec,45,12.365,0.717,0.689,0.689,35|38|80|98|126|149|161|172|176|182,1.1223986148834229|1.587012767791748|1.3265846967697144|1.1468594074249268|0.572969913482666|1.116089940071106|0.8710300922393799|1.0642595291137695|0.5604878664016724|0.6119304299354553
indian_pines,10,bsdrattn2spec,46,10.781,0.752,0.703,0.703,19|34|58|69|99|112|129|149|161|172,0.31597915291786194|0.3676066994667053|0.41804298758506775|0.4134005606174469|0.27554890513420105|0.2921614646911621|0.47674354910850525|0.2195761352777481|0.3092597424983978|0.3902537226676941
indian_pines,10,bsdrattn2spec,47,14.899,0.771,0.725,0.725,19|35|38|68|99|112|121|128|153|161,0.40617427229881287|0.6198669672012329|0.8406904339790344|0.6973137855529785|0.4527274966239929|0.6186234354972839|0.29057955741882324|0.9684831500053406|0.8372581601142883|0.5712400078773499
indian_pines,10,bsdrattn2spec,48,19.11,0.768,0.725,0.725,5|18|34|38|58|68|125|128|148|161,0.5194616317749023|0.6798720955848694|0.5556913018226624|0.333388090133667|0.3420507609844208|0.48718616366386414|0.567154049873352|0.3158971965312958|0.5321972370147705|0.5648421049118042
indian_pines,10,bsdrattn2spec,49,8.299,0.746,0.712,0.712,16|36|38|44|68|127|135|149|171|182,0.7699102163314819|0.34417524933815|0.5422905683517456|0.4265182912349701|0.5404361486434937|0.5054351091384888|0.5635857582092285|0.012275191023945808|0.39754733443260193|0.5396429896354675
indian_pines,10,bsdrattn2spec,50,7.521,0.752,0.705,0.705,19|27|34|37|99|112|149|161|171|176,2.3135242462158203|1.5802134275436401|1.862707257270813|0.9875074028968811|2.435596227645874|2.1662757396698|2.5124166011810303|1.2059649229049683|1.3278497457504272|1.6684162616729736
indian_pines,10,bsdrattn2spec,51,5.879,0.742,0.691,0.691,7|16|19|34|37|111|123|127|130|160,1.7706953287124634|3.5176408290863037|4.0730414390563965|0.923893392086029|2.873878002166748|2.739722490310669|3.1619515419006348|1.651782751083374|4.125347137451172|1.3284876346588135
indian_pines,10,bsdrattn2spec,52,5.789,0.759,0.726,0.726,8|18|35|41|58|67|126|149|159|172,0.5509275197982788|0.6180127263069153|0.6878306269645691|0.009803079068660736|0.5173733234405518|0.881301999092102|0.3625444173812866|0.3009939193725586|0.4372056722640991|0.5347806811332703
indian_pines,10,bsdrattn2spec,53,5.706,0.727,0.68,0.68,8|19|34|37|100|112|149|153|172|187,0.5876418352127075|1.2302123308181763|1.017197608947754|0.7745546102523804|0.7810696363449097|0.6359522342681885|0.6613805294036865|1.361203670501709|0.48305875062942505|1.0579090118408203
indian_pines,10,bsdrattn2spec,54,5.702,0.763,0.722,0.722,18|34|38|99|112|127|149|159|162|171,1.5526312589645386|0.9366136789321899|0.9239441752433777|0.5832569003105164|1.018990397453308|0.8627186417579651|0.7900897860527039|0.015654519200325012|0.6526464223861694|1.2517368793487549
indian_pines,10,bsdrattn2spec,55,5.742,0.716,0.679,0.679,36|38|41|52|58|68|126|148|161|172,0.11192860454320908|1.4602665901184082|0.6453461050987244|0.6541014909744263|0.9318063259124756|0.9995710849761963|1.124442458152771|1.162022590637207|0.7971159219741821|1.0764358043670654
indian_pines,10,bsdrattn2spec,56,5.577,0.745,0.71,0.71,14|18|38|85|100|127|148|160|161|172,1.337701439857483|1.0375773906707764|1.322170615196228|0.8854464292526245|0.8766695857048035|1.4571778774261475|1.1505746841430664|1.4207825660705566|0.9343395829200745|1.913218379020691
indian_pines,10,bsdrattn2spec,57,17.949,0.764,0.733,0.733,9|16|35|41|58|99|112|128|148|160,0.5817503929138184|0.48715510964393616|0.541062593460083|0.6274710297584534|0.3849894404411316|0.3800899088382721|0.0025387981440871954|0.48461437225341797|0.36818623542785645|0.48694244027137756
indian_pines,10,bsdrattn2spec,58,16.411,0.737,0.679,0.679,16|19|34|38|130|134|149|160|162|172,0.35328373312950134|1.0635182857513428|0.5953423380851746|0.9425063133239746|1.1073154211044312|0.5318710803985596|0.6909278631210327|0.9810141921043396|0.003841540077701211|0.9013497829437256
indian_pines,10,bsdrattn2spec,59,8.578,0.731,0.69,0.69,8|19|34|41|58|69|149|162|172|184,1.2785203456878662|0.2061089277267456|1.3157793283462524|0.693062961101532|1.562127709388733|0.6509077548980713|0.6180232167243958|0.20732392370700836|1.147796869277954|0.04827401414513588
indian_pines,10,bsdrattn2spec,60,9.496,0.776,0.728,0.728,19|34|36|38|68|99|112|125|148|160,0.4748387336730957|0.3591669201850891|0.4695233404636383|0.5247898101806641|0.41514360904693604|0.6352552175521851|0.23406264185905457|0.6618069410324097|0.36828774213790894|0.4459370970726013
indian_pines,10,bsdrattn2spec,61,11.813,0.744,0.701,0.701,19|35|38|70|127|129|135|148|153|172,0.07855405658483505|1.9296292066574097|0.0037808087654411793|2.2759339809417725|0.5747764706611633|2.5559093952178955|1.299834966659546|1.1832597255706787|1.463678240776062|2.186793804168701
indian_pines,10,bsdrattn2spec,62,12.273,0.742,0.683,0.683,8|19|34|38|128|133|140|148|160|172,0.7059676051139832|1.004291296005249|0.9900544285774231|1.0059664249420166|0.013475093990564346|0.01651138812303543|1.0490061044692993|0.6351196765899658|1.8909245729446411|1.6596201658248901
indian_pines,10,bsdrattn2spec,63,21.404,0.733,0.699,0.699,35|38|44|59|80|99|112|130|148|160,1.035957932472229|1.7039660215377808|1.2422515153884888|1.2353414297103882|0.6246115565299988|1.7399948835372925|1.2140283584594727|0.00598538015037775|1.723422884941101|1.3438165187835693
indian_pines,10,bsdrattn2spec,64,18.202,0.748,0.7,0.7,7|16|19|41|68|99|124|148|153|172,1.5583468675613403|0.07879440486431122|0.7087090015411377|1.2833729982376099|0.016991907730698586|0.8136573433876038|1.2740143537521362|0.09422364830970764|0.8843982219696045|0.6407663226127625
indian_pines,10,bsdrattn2spec,65,13.784,0.755,0.708,0.708,19|34|38|41|58|100|112|127|148|172,0.8774055242538452|1.0213987827301025|1.2249594926834106|0.014560426585376263|0.010110181756317616|1.7545171976089478|0.5326660871505737|0.7094323635101318|1.2253822088241577|0.7738939523696899
indian_pines,10,bsdrattn2spec,66,12.572,0.737,0.7,0.7,35|41|70|100|112|132|137|148|181|184,0.779862642288208|0.47110018134117126|0.7040404081344604|0.5540646910667419|0.01414598897099495|0.6088987588882446|0.7657712697982788|0.44763681292533875|0.0065331184305250645|0.5404903292655945
indian_pines,10,bsdrattn2spec,67,13.536,0.756,0.714,0.714,7|16|19|38|41|68|129|148|160|172,0.04929127171635628|1.0675238370895386|0.9267773628234863|0.00809609703719616|1.3773791790008545|0.13715562224388123|1.2633591890335083|1.2615164518356323|0.033550772815942764|0.8258986473083496
indian_pines,10,bsdrattn2spec,68,15.164,0.7,0.633,0.633,7|19|24|29|38|100|127|136|148|150,3.1035618782043457|8.28688907623291|4.389245986938477|0.010173298418521881|0.7197591662406921|1.3287853002548218|2.9130008220672607|6.880354881286621|1.5633858442306519|4.561660289764404
indian_pines,10,bsdrattn2spec,69,21.866,0.731,0.686,0.686,7|34|68|99|129|149|150|160|164|168,0.16737721860408783|0.7182440757751465|0.9688843488693237|0.9115312099456787|0.8279523849487305|0.8813378810882568|0.6958042979240417|0.005008906591683626|0.7507258653640747|0.25426751375198364
indian_pines,10,bsdrattn2spec,70,11.834,0.744,0.698,0.698,7|14|19|35|69|100|128|132|148|172,0.04591619223356247|1.049476981163025|1.512057900428772|0.008068939670920372|0.7938206791877747|1.4090805053710938|1.677927851676941|0.2897884249687195|1.1573076248168945|0.06547977775335312
indian_pines,10,bsdrattn2spec,71,11.77,0.739,0.697,0.697,19|24|34|38|58|68|80|99|148|172,1.1763731241226196|0.01814274676144123|0.8545106649398804|1.558806300163269|0.21817916631698608|0.519939661026001|1.29918372631073|0.011938662268221378|0.8968294262886047|1.2226015329360962
indian_pines,10,bsdrattn2spec,72,11.434,0.774,0.734,0.734,16|34|37|70|100|112|125|134|148|162,0.0031964308582246304|0.6241065263748169|0.009570657275617123|0.8530924916267395|0.34534120559692383|0.985358715057373|0.684033989906311|1.0341852903366089|0.8126084804534912|0.9291853904724121
indian_pines,10,bsdrattn2spec,73,13.445,0.773,0.735,0.735,7|19|35|38|72|99|113|125|148|160,0.02225092612206936|1.166780948638916|0.9456220269203186|0.02614436112344265|0.650393545627594|0.11834578216075897|1.398288369178772|1.0766774415969849|0.037935469299554825|1.5515497922897339
indian_pines,10,bsdrattn2spec,74,22.401,0.716,0.685,0.685,34|37|41|58|80|99|149|159|178|181,0.00408233143389225|0.02623196318745613|0.857634961605072|1.2138060331344604|1.6161805391311646|0.008882507681846619|1.2309144735336304|0.5740028619766235|1.526784896850586|0.6943373084068298
indian_pines,10,bsdrattn2spec,75,12.032,0.756,0.704,0.704,7|37|69|100|114|130|148|149|162|172,1.333192229270935|1.531793236732483|0.04997332766652107|1.1496937274932861|1.1321545839309692|1.313166618347168|0.039946358650922775|1.6094619035720825|2.309865713119507|1.6563365459442139
indian_pines,10,bsdrattn2spec,76,12.272,0.712,0.673,0.673,38|52|67|99|117|128|135|149|160|172,1.237503170967102|1.1781635284423828|1.1912894248962402|0.0808834433555603|1.1834982633590698|0.015297717414796352|1.0784693956375122|0.8454700708389282|0.7570410370826721|0.1445324867963791
indian_pines,10,bsdrattn2spec,77,9.214,0.753,0.708,0.708,19|38|41|69|100|112|127|149|159|172,0.03224274888634682|0.05661630630493164|1.1451395750045776|0.1505819857120514|1.020588755607605|1.322813868522644|0.9907419085502625|0.2701214849948883|0.01968059316277504|1.0928624868392944
indian_pines,10,bsdrattn2spec,78,9.186,0.739,0.695,0.695,14|19|35|37|70|85|148|149|161|173,0.008264717645943165|0.012366634793579578|0.9238309860229492|0.9791354537010193|1.0106265544891357|1.4114962816238403|1.1401269435882568|0.13188356161117554|0.10646219551563263|0.07238282263278961
indian_pines,10,bsdrattn2spec,79,20.913,0.759,0.72,0.72,8|18|35|58|69|99|114|127|149|160,1.6030199527740479|1.0547945499420166|0.2883140444755554|0.29405415058135986|0.8966366648674011|0.027213163673877716|1.765605092048645|1.9031404256820679|1.5478368997573853|0.08755764365196228
indian_pines,10,bsdrattn2spec,80,15.898,0.726,0.67,0.67,6|19|24|27|35|126|148|153|159|168,0.012123901396989822|1.7357490062713623|0.010448389686644077|0.008185691200196743|0.1070537269115448|3.49943208694458|0.008568519726395607|1.0003948211669922|2.8148458003997803|2.989551544189453
indian_pines,10,bsdrattn2spec,81,11.833,0.746,0.71,0.71,6|36|38|58|68|112|125|127|149|160,0.21326638758182526|1.33695650100708|0.3908267915248871|0.9196351170539856|0.02454429119825363|1.5546247959136963|1.3370473384857178|1.5593328475952148|0.36842459440231323|1.5126630067825317
indian_pines,10,bsdrattn2spec,82,11.567,0.734,0.685,0.685,6|16|19|38|58|127|129|148|153|171,1.7303251028060913|1.8430715799331665|0.2245998978614807|2.7386722564697266|3.2804481983184814|1.3520088195800781|2.1273694038391113|0.3665202856063843|0.01183402445167303|0.16413423418998718
indian_pines,10,bsdrattn2spec,83,11.441,0.74,0.697,0.697,19|27|38|97|99|124|126|148|172|173,2.342545747756958|1.2523770332336426|0.9835402369499207|0.0009106294019147754|1.4533854722976685|0.0011683922493830323|1.1029936075210571|1.9077943563461304|0.007868719287216663|1.0134607553482056
indian_pines,10,bsdrattn2spec,84,16.81,0.752,0.716,0.716,6|18|34|37|41|58|68|130|148|172,0.17467117309570312|1.3080543279647827|0.6882351040840149|0.9764807820320129|1.0565546751022339|1.2036782503128052|0.25542399287223816|0.10300354659557343|1.4198100566864014|0.0009613969596102834
indian_pines,10,bsdrattn2spec,85,20.731,0.728,0.688,0.688,35|41|99|112|127|148|159|172|178|182,0.008384102955460548|1.5191700458526611|1.5157264471054077|1.5027446746826172|1.9952079057693481|2.0402116775512695|2.0354113578796387|0.015851957723498344|1.8417284488677979|0.04106072336435318
indian_pines,10,bsdrattn2spec,86,11.214,0.753,0.718,0.718,8|16|19|34|36|38|58|127|159|172,0.6092786192893982|1.2677536010742188|0.029879260808229446|0.12884724140167236|0.7762699127197266|0.062093306332826614|1.2965232133865356|1.6436301469802856|0.13090300559997559|0.009225930087268353
indian_pines,10,bsdrattn2spec,87,11.751,0.7,0.656,0.656,6|8|68|80|101|111|149|161|172|178,2.534951686859131|0.057687096297740936|0.1571485996246338|0.9715420007705688|0.10726488381624222|0.022293519228696823|0.2751675546169281|2.5634028911590576|0.056508664041757584|0.0045606824569404125
indian_pines,10,bsdrattn2spec,88,10.448,0.742,0.699,0.699,18|34|36|58|70|100|149|153|159|172,1.483128547668457|0.03088984079658985|0.015620334073901176|0.012450195848941803|1.8480315208435059|1.4188510179519653|1.5007107257843018|2.7418811321258545|1.5512380599975586|0.07328598201274872
indian_pines,10,bsdrattn2spec,89,11.087,0.751,0.711,0.711,8|18|38|58|99|112|126|128|149|172,1.818603515625|1.57333242893219|0.03159235045313835|0.7692665457725525|0.9266437888145447|0.042734403163194656|0.0009519607410766184|1.5696359872817993|1.1172674894332886|0.1443423330783844
indian_pines,10,bsdrattn2spec,90,21.906,0.759,0.717,0.717,6|34|38|99|111|125|129|149|161|172,0.0014668834628537297|0.007840260863304138|0.0013818576699122787|0.8151704668998718|0.9427106976509094|0.0023598966654390097|0.006536766421049833|0.7115589380264282|0.7915067076683044|0.8017418384552002
indian_pines,10,bsdrattn2spec,91,21.866,0.77,0.715,0.715,19|23|34|41|69|81|99|114|128|161,2.636650800704956|0.0033001259434968233|0.0077721551060676575|0.0058619375340640545|4.325380802154541|1.3177528381347656|1.8779224157333374|2.8689019680023193|0.031970154494047165|0.003832126036286354
indian_pines,10,bsdrattn2spec,92,10.765,0.723,0.671,0.671,34|36|68|99|112|148|159|161|162|178,0.04195229709148407|1.0276374816894531|1.1990668773651123|0.9732962250709534|0.9667753577232361|0.004743508063256741|0.04558797925710678|0.8466483354568481|0.002846851944923401|0.2788550853729248
indian_pines,10,bsdrattn2spec,93,8.771,0.742,0.697,0.697,6|16|19|41|70|124|128|135|148|172,3.499603033065796|3.0740041732788086|0.007591473404318094|3.351752281188965|0.07002155482769012|0.0020365158561617136|0.09386090934276581|0.36430424451828003|3.2995903491973877|0.011807777918875217
indian_pines,10,bsdrattn2spec,94,7.979,0.759,0.719,0.719,8|16|19|34|38|68|112|128|149|168,0.6479269862174988|0.003328208578750491|0.9949049949645996|1.0216366052627563|0.974725067615509|0.03504274785518646|0.0055630928836762905|0.012664695270359516|0.7810363173484802|0.5947569608688354
indian_pines,10,bsdrattn2spec,95,9.087,0.738,0.697,0.697,6|8|19|38|41|58|99|127|149|171,0.20209911465644836|2.3808553218841553|0.0352134183049202|0.0022635324858129025|0.004703132435679436|3.7068350315093994|3.540799856185913|3.7316126823425293|1.0538960695266724|0.9395718574523926
indian_pines,10,bsdrattn2spec,96,12.645,0.728,0.68,0.68,19|38|44|52|99|101|125|135|148|171,1.3731106519699097|0.0024049095809459686|0.25461122393608093|1.3886008262634277|0.013513871468603611|1.4848055839538574|0.3497088551521301|1.721792221069336|0.28464892506599426|0.014844906516373158
indian_pines,10,bsdrattn2spec,97,21.416,0.692,0.64,0.64,19|38|41|51|149|159|161|171|181|184,0.006670127622783184|0.005115375388413668|5.338161945343018|4.750924110412598|4.294426918029785|0.011360004544258118|0.004695259500294924|0.0041682422161102295|4.510473251342773|2.8865926265716553
indian_pines,10,bsdrattn2spec,98,18.559,0.738,0.687,0.687,19|35|38|41|52|58|125|128|149|171,0.12270452082157135|0.12564654648303986|1.2500184774398804|0.08102121949195862|0.23147551715373993|2.069192409515381|1.4867514371871948|1.2537208795547485|0.3030654788017273|0.4722650647163391
indian_pines,10,bsdrattn2spec,99,12.739,0.761,0.718,0.718,6|19|35|37|69|81|112|148|159|178,0.8972386717796326|0.7087782025337219|1.1619887351989746|0.004153735935688019|0.004468866158276796|0.00020355591550469398|0.7312880158424377|0.022802935913205147|1.041214942932129|0.20142295956611633
indian_pines,10,bsdrattn2spec,100,11.684,0.731,0.669,0.669,5|8|19|34|37|112|148|149|159|161,1.2094817161560059|0.010501697659492493|1.3522201776504517|0.005863099358975887|0.003953760024160147|0.11846818774938583|0.0076192449778318405|1.785799264907837|0.07409907132387161|1.666642665863037
