dataset,target_size,algorithm,props,time,oa,aa,k,selected_bands,selected_weights
indian_pines,10,bsdrattn2spec,10,14.473,0.704,0.646,0.646,19|38|53|71|89|109|127|145|162|178,3.2764809131622314|1.9242982864379883|3.2568581104278564|3.0687339305877686|0.6513399481773376|2.838684320449829|2.7202517986297607|3.0909533500671387|2.3502724170684814|2.3702571392059326
indian_pines,10,bsdrattn2spec,11,4.558,0.763,0.733,0.733,16|35|48|68|99|119|132|148|165|182,2.097468852996826|1.8947367668151855|0.9271431565284729|2.010051965713501|1.4366449117660522|2.4466824531555176|2.3180668354034424|2.073075294494629|1.6811766624450684|2.3434715270996094
indian_pines,10,bsdrattn2spec,12,13.488,0.739,0.695,0.695,17|30|44|63|109|127|135|154|166|184,2.3954780101776123|2.4169397354125977|1.7732114791870117|2.1072120666503906|2.5104498863220215|3.2034685611724854|0.985410749912262|3.1964821815490723|3.468202829360962|4.162435054779053
indian_pines,10,bsdrattn2spec,13,12.524,0.757,0.72,0.72,14|28|41|69|100|112|128|160|170|184,1.8282681703567505|1.2976359128952026|1.8879250288009644|2.782599687576294|2.0839898586273193|1.1549062728881836|1.9198572635650635|1.8533843755722046|2.1692147254943848|1.222485899925232
indian_pines,10,bsdrattn2spec,14,4.758,0.758,0.725,0.725,15|27|41|69|80|116|132|160|172|184,0.1062670424580574|1.635599970817566|0.2356281280517578|2.8928120136260986|2.123112201690674|1.4067296981811523|1.9559522867202759|1.8906463384628296|2.6924521923065186|2.5233349800109863
indian_pines,10,bsdrattn2spec,15,6.417,0.769,0.728,0.728,14|25|38|63|100|111|127|148|160|174,1.592069387435913|1.6338980197906494|2.0860447883605957|0.4507617950439453|1.5974432229995728|0.7715362310409546|1.9231135845184326|1.6248286962509155|1.5659589767456055|1.123057246208191
indian_pines,10,bsdrattn2spec,16,7.884,0.754,0.713,0.713,12|24|36|46|70|95|127|139|162|176,0.6242541074752808|2.4135990142822266|0.7666807770729065|1.5656489133834839|1.1408028602600098|2.2118356227874756|1.9365235567092896|2.288203477859497|1.6791003942489624|2.2571847438812256
indian_pines,10,bsdrattn2spec,17,17.535,0.756,0.719,0.719,10|23|43|64|100|112|125|127|153|165,2.2922067642211914|2.1801695823669434|0.8004664778709412|2.430634021759033|1.9732279777526855|2.4026873111724854|2.3694140911102295|2.128014087677002|1.3223344087600708|1.5305278301239014
indian_pines,10,bsdrattn2spec,18,10.826,0.734,0.703,0.703,11|43|63|92|114|126|137|160|167|178,1.8431978225708008|2.1493635177612305|2.03033447265625|1.0219838619232178|2.198106288909912|1.812263011932373|2.399749517440796|1.8776623010635376|0.45583802461624146|2.100381851196289
indian_pines,10,bsdrattn2spec,19,10.853,0.756,0.713,0.713,10|30|41|69|99|109|124|159|168|178,1.7500782012939453|1.9276862144470215|2.390254259109497|1.8904807567596436|1.4345216751098633|1.3945677280426025|1.7866934537887573|2.4269633293151855|1.5280392169952393|0.4657542109489441
indian_pines,10,bsdrattn2spec,20,17.898,0.718,0.698,0.698,27|38|100|127|129|139|153|160|168|188,2.6637051105499268|5.337398052215576|2.7453277111053467|2.46981143951416|4.083043098449707|4.078540802001953|2.2958600521087646|4.266378402709961|2.0205295085906982|3.325961112976074
indian_pines,10,bsdrattn2spec,21,9.02,0.76,0.717,0.717,10|19|27|37|71|99|127|153|163|172,1.9676870107650757|1.7389932870864868|1.6229016780853271|0.827886164188385|1.7760734558105469|1.7039934396743774|1.2244203090667725|1.848520278930664|1.9444961547851562|0.9324398040771484
indian_pines,10,bsdrattn2spec,22,7.781,0.739,0.698,0.698,8|17|28|35|51|113|148|154|170|181,2.8993680477142334|2.0546298027038574|3.5311806201934814|1.9223846197128296|1.417158603668213|2.7742090225219727|3.8079659938812256|2.3103339672088623|2.6317689418792725|2.764313220977783
