dataset,target_size,algorithm,time,oa,aa,k,selected_bands,selected_weights
indian_pines,2,bsdrattn,6.349,0.543,0.405,0.405,19|126,1.6751129627227783|2.337008476257324
indian_pines,3,bsdrattn,4.027,0.62,0.529,0.529,25|129|170,4.390115261077881|3.141876697540283|2.531411647796631
indian_pines,4,bsdrattn,4.063,0.619,0.546,0.546,35|125|129|168,11.287010192871094|5.676051616668701|7.042252540588379|2.0763750076293945
indian_pines,5,bsdrattn,4.168,0.713,0.678,0.678,14|25|51|100|164,7.448685169219971|0.5145256519317627|4.417163372039795|6.010863304138184|4.525757312774658
indian_pines,6,bsdrattn,4.417,0.622,0.572,0.572,9|50|78|127|128|129,3.875955581665039|3.409301280975342|2.8363749980926514|0.49321237206459045|7.559267520904541|2.7966835498809814
indian_pines,7,bsdrattn,4.479,0.67,0.591,0.591,13|17|30|127|129|162|173,8.652027130126953|1.1958930492401123|4.3098931312561035|6.518797874450684|12.872040748596191|4.081511497497559|6.872045516967773
indian_pines,8,bsdrattn,4.461,0.675,0.621,0.621,19|69|79|99|105|149|160|178,0.3163995146751404|10.594585418701172|1.7023601531982422|3.332023859024048|5.4453125|16.061485290527344|11.750863075256348|1.2045543193817139
indian_pines,9,bsdrattn,4.627,0.739,0.706,0.706,14|22|50|98|125|128|149|161|167,0.020897410809993744|0.7292408347129822|5.489391803741455|8.027353286743164|0.03876427561044693|0.6012685298919678|9.06512451171875|0.46577706933021545|0.43662646412849426
indian_pines,10,bsdrattn,4.864,0.754,0.721,0.721,14|34|49|68|81|98|127|128|160|161,0.08117979019880295|0.012276181019842625|0.9535188674926758|3.4983041286468506|2.097836494445801|3.0222349166870117|1.0775809288024902|2.6531059741973877|6.950420379638672|0.8573861122131348
indian_pines,11,bsdrattn,5.049,0.752,0.714,0.714,14|25|35|49|66|81|100|126|127|134|177,1.097733497619629|4.635941505432129|7.806127548217773|1.5717716217041016|0.5446518659591675|0.0001472736767027527|0.06933483481407166|7.762535095214844|0.03167172521352768|7.511549949645996|6.739487171173096
indian_pines,12,bsdrattn,4.991,0.722,0.69,0.69,6|19|46|48|53|65|83|127|128|159|160|171,5.4261884689331055|0.002791443606838584|7.022646903991699|3.171905994415283|4.7004547119140625|2.0125486850738525|0.02195437066257|5.043667793273926|2.8910879336763173e-05|0.14617016911506653|1.08636474609375|0.003026622347533703
indian_pines,13,bsdrattn,5.085,0.713,0.69,0.69,16|49|66|80|99|101|127|128|130|140|157|159|184,9.885671897791326e-05|5.549599647521973|0.0031474875286221504|0.0001428659597877413|5.4049835205078125|4.23406457901001|0.0051607294008135796|1.569282054901123|7.53827189328149e-05|4.835368633270264|2.9213786125183105|22.89344596862793|0.00011959864059463143
indian_pines,14,bsdrattn,5.247,0.75,0.73,0.73,6|28|34|49|66|98|100|125|128|154|161|162|177|180,9.169813711196184e-05|0.004904687404632568|0.00019056354358326644|0.0001258772681467235|7.678163819946349e-05|0.003880526404827833|1.0511131286621094|4.560511589050293|1.6342319213435985e-05|10.926864624023438|4.885831367573701e-05|1.681572393863462e-05|10.164462089538574|0.0019344572210684419
