fold,dataset,oa,aa,k
0,indian_pines,0.743,0.648,0.706
1,indian_pines,0.74,0.652,0.703
2,indian_pines,0.746,0.603,0.708
3,indian_pines,0.733,0.624,0.694
4,indian_pines,0.748,0.625,0.71
5,indian_pines,0.748,0.621,0.711
6,indian_pines,0.73,0.599,0.69
7,indian_pines,0.732,0.63,0.695
8,indian_pines,0.741,0.65,0.704
9,indian_pines,0.748,0.604,0.712
10,indian_pines,0.746,0.628,0.707
11,indian_pines,0.76,0.63,0.725
12,indian_pines,0.73,0.607,0.691
13,indian_pines,0.749,0.634,0.713
14,indian_pines,0.748,0.622,0.711
15,indian_pines,0.727,0.612,0.687
16,indian_pines,0.748,0.64,0.712
17,indian_pines,0.732,0.647,0.693
18,indian_pines,0.743,0.642,0.704
19,indian_pines,0.726,0.594,0.687
