dataset,target_size,algorithm,time,oa,aa,k,selected_bands,selected_weights
indian_pines,2,skipattn,27.741,0.567,0.43,0.43,69|127,2.4786338806152344|2.8673250675201416
indian_pines,3,skipattn,27.677,0.607,0.505,0.505,25|111|127,2.1751129627227783|2.23307466506958|2.18808913230896
indian_pines,4,skipattn,28.754,0.63,0.539,0.539,9|128|160|179,2.0975186824798584|3.0186269283294678|3.4664525985717773|3.449460744857788
indian_pines,5,skipattn,63.996,0.637,0.558,0.558,7|127|135|160|176,2.464825391769409|2.9366490840911865|2.5457966327667236|1.383689045906067|2.2522428035736084
indian_pines,6,skipattn,31.407,0.719,0.668,0.668,6|33|40|99|114|149,2.405573606491089|1.7615731954574585|2.27915620803833|2.349195718765259|1.6657793521881104|1.3038387298583984
indian_pines,7,skipattn,33.522,0.743,0.688,0.688,5|33|37|99|148|161|181,2.0377912521362305|2.895979166030884|2.8137755393981934|1.70872962474823|1.9679863452911377|2.234952449798584|3.486907958984375
indian_pines,8,skipattn,32.951,0.74,0.696,0.696,33|40|100|117|130|148|160|162,2.3109264373779297|1.704429268836975|3.9577343463897705|2.654134511947632|2.5696768760681152|1.8582463264465332|2.746044635772705|3.2161049842834473
indian_pines,9,skipattn,34.776,0.766,0.724,0.724,7|34|37|69|99|111|148|161|172,0.9192254543304443|0.40993234515190125|0.7628961205482483|0.7428202629089355|0.7567442059516907|0.7678735256195068|0.5351232886314392|0.6226488947868347|0.7026880979537964
indian_pines,10,skipattn,36.469,0.745,0.707,0.707,7|36|50|57|99|114|137|153|161|171,0.5694687366485596|0.32130032777786255|0.52730393409729|0.28155699372291565|0.39861464500427246|0.38736432790756226|0.29626160860061646|0.38423413038253784|0.2908145785331726|0.36599716544151306
indian_pines,11,skipattn,37.438,0.765,0.728,0.728,7|33|37|52|69|99|128|134|148|175|184,0.3961411118507385|0.917697012424469|0.00809138547629118|1.723470687866211|1.2640314102172852|0.5727177262306213|1.442694067955017|1.0990604162216187|1.3393958806991577|1.031630039215088|1.6834269762039185
indian_pines,12,skipattn,38.325,0.758,0.727,0.727,7|18|51|58|69|99|111|120|127|148|172|178,1.0360034704208374|0.004962986800819635|1.1051356792449951|1.352684736251831|1.3455829620361328|1.4947282075881958|1.3179622888565063|0.8911838531494141|1.4376850128173828|0.8663197755813599|0.9080832600593567|0.9376620650291443
indian_pines,13,skipattn,39.608,0.766,0.742,0.742,6|18|27|35|37|40|51|57|125|134|148|161|172,0.9940666556358337|0.37297263741493225|1.046022653579712|0.9348143339157104|0.616267740726471|0.9466123580932617|0.18452493846416473|0.9920274019241333|0.5977435111999512|0.7337319850921631|0.02104443870484829|0.8533128499984741|0.7505606412887573
indian_pines,14,skipattn,40.005,0.77,0.748,0.748,6|13|18|33|35|40|67|71|99|118|127|140|148|160,0.9510741233825684|1.1145894527435303|0.17489100992679596|1.7818632125854492|0.10298396646976471|1.4498687982559204|1.45601224899292|1.510650634765625|1.2317347526550293|0.044659096747636795|0.9592043161392212|0.05571075156331062|1.5200731754302979|0.7928255200386047
indian_pines,15,skipattn,42.704,0.783,0.76,0.76,6|15|34|37|40|67|99|111|127|128|130|148|161|171|181,0.4763902723789215|2.151370048522949|0.01111497264355421|1.970658540725708|0.03417124226689339|1.9575291872024536|0.015357348136603832|0.9190222024917603|1.0453978776931763|0.8480507135391235|1.236099362373352|0.80199134349823|1.0259631872177124|0.016027558594942093|1.0894272327423096
indian_pines,16,skipattn,42.962,0.761,0.73,0.73,19|33|35|37|51|57|71|99|111|148|159|161|168|172|181|183,0.8604130148887634|0.5902187824249268|0.6537072062492371|0.7057238817214966|0.026723098009824753|0.6238630414009094|0.024847768247127533|0.02254382148385048|0.8340502381324768|0.4238000512123108|0.012911670841276646|0.7464771866798401|0.010689157992601395|0.6436519622802734|0.510657012462616|1.0600743293762207
indian_pines,17,skipattn,44.809,0.777,0.747,0.747,5|14|34|36|41|58|69|78|100|112|127|128|148|149|159|171|181,0.02389489859342575|2.0635273456573486|0.007713917177170515|0.04663284122943878|1.5692384243011475|1.9344055652618408|0.009499107487499714|1.3886406421661377|2.094511032104492|0.42050278186798096|2.0756709575653076|1.1210774183273315|0.38744601607322693|0.005754194222390652|2.24202036857605|0.5564088225364685|1.250776767730713
indian_pines,18,skipattn,47.348,0.773,0.748,0.748,7|33|35|37|40|50|69|80|98|99|112|126|129|139|149|158|160|162,1.1591514348983765|1.9119986295700073|0.04319204017519951|2.0931589603424072|0.17834316194057465|1.063284158706665|1.5076898336410522|0.17285940051078796|0.3650355637073517|0.1780606210231781|0.1342688351869583|1.4829014539718628|1.6025408506393433|0.23019690811634064|0.008043560199439526|1.4920411109924316|2.4948556423187256|0.12505385279655457
indian_pines,19,skipattn,49.764,0.774,0.736,0.736,5|7|15|18|29|35|37|40|57|67|71|99|111|124|125|128|149|162|171,0.7841606140136719|0.03777182474732399|1.8966209888458252|1.4894503355026245|0.04254770651459694|0.9052090048789978|1.759248971939087|0.015419408679008484|0.29185840487480164|0.025486938655376434|1.0313783884048462|0.20109926164150238|1.5919907093048096|1.462347388267517|1.6778534650802612|1.1530557870864868|0.0450836643576622|1.4301999807357788|1.753067135810852
indian_pines,20,skipattn,49.858,0.788,0.76,0.76,7|18|25|34|37|40|58|68|80|99|124|125|126|127|132|148|161|164|171|184,0.011672645807266235|1.8649994134902954|6.950991630554199|9.082399368286133|5.620778560638428|6.385334014892578|4.696441173553467|0.0019494922598823905|2.5666940212249756|4.774911880493164|0.004071793518960476|0.015518794767558575|3.3497371673583984|7.487724304199219|8.51509952545166|5.528658866882324|3.9986331462860107|7.749352931976318|0.005497465375810862|4.388121604919434
indian_pines,21,skipattn,50.974,0.785,0.754,0.754,5|7|13|18|28|33|35|38|40|57|68|98|100|111|124|125|127|148|159|171|177,0.0010244613513350487|0.01367267593741417|1.1022682189941406|0.8320282101631165|1.9047757387161255|0.002229822799563408|1.437696099281311|1.9048712253570557|1.552087664604187|0.40073850750923157|0.009169597178697586|0.30338054895401|1.5700472593307495|1.843955636024475|0.2976752519607544|1.5365064144134521|1.3069589138031006|0.8688406944274902|1.8761744499206543|0.006667138077318668|1.9880988597869873
indian_pines,22,skipattn,51.316,0.79,0.769,0.769,5|15|18|23|34|35|37|40|58|68|79|99|111|124|126|127|149|159|170|172|178|181,2.249084234237671|1.5325151681900024|0.676796019077301|0.004316289909183979|0.6651493310928345|2.2089765071868896|0.10895329713821411|0.0012726436834782362|0.01634792611002922|0.5974397659301758|2.6539247035980225|0.10795500874519348|3.2574198246002197|0.00611782306805253|2.0814220905303955|1.8790574073791504|1.906841516494751|0.19154328107833862|1.620802402496338|0.003315265290439129|2.7402281761169434|0.19179515540599823
indian_pines,23,skipattn,54.23,0.775,0.743,0.743,5|7|18|19|23|26|34|37|99|100|124|127|130|140|147|149|159|161|162|171|172|177|184,3.620077610015869|6.0242815017700195|3.76326847076416|3.1039748191833496|0.029439687728881836|0.01771477982401848|1.0412440299987793|0.004738264251500368|7.021915435791016|0.0010784885380417109|0.02517007663846016|4.701275825500488|0.04076821357011795|6.096566200256348|4.4912943840026855|2.8380799293518066|1.328514575958252|0.17458204925060272|5.1255621910095215|1.5720869302749634|3.2789831161499023|0.0029793898575007915|5.878868103027344
indian_pines,24,skipattn,54.759,0.779,0.752,0.752,5|6|15|16|18|33|35|40|57|99|100|112|123|127|129|140|147|149|159|161|170|178|181|184,0.4501807689666748|1.7405859231948853|1.8854446411132812|0.0045703803189098835|2.737952709197998|0.0016378271393477917|2.3410942554473877|0.011443017981946468|1.986259937286377|0.00647880369797349|2.9239683151245117|2.293696641921997|0.3604162335395813|0.6456027030944824|0.007310220971703529|0.015785306692123413|0.014931781217455864|0.12845289707183838|2.085268497467041|2.51792049407959|3.3673434257507324|2.1561877727508545|1.810753583908081|3.715198278427124
indian_pines,25,skipattn,60.829,0.779,0.736,0.736,6|7|19|31|33|35|37|40|57|68|71|79|109|124|128|130|148|149|158|161|175|177|181|184|187,5.174523830413818|0.037543486803770065|2.2241315841674805|4.336623668670654|3.7776105403900146|5.0369439125061035|0.007283899467438459|0.014080280438065529|0.00448579341173172|5.01442289352417|0.5402247905731201|3.257660388946533|0.022581610828638077|0.08239468187093735|4.7798027992248535|2.7709834575653076|1.5794906616210938|0.04099526256322861|0.025236601009964943|0.004633013159036636|0.14023934304714203|0.34740114212036133|0.020788468420505524|0.007687950972467661|6.380255699157715
indian_pines,26,skipattn,56.76,0.793,0.754,0.754,7|18|23|33|35|37|42|51|68|80|95|99|100|112|124|127|128|140|148|149|159|161|171|175|177|181,0.07323654741048813|1.5845564603805542|1.8093370199203491|1.749911904335022|1.6767009496688843|0.0840032547712326|0.0889001116156578|2.832042694091797|0.048941440880298615|0.13694307208061218|0.015317220240831375|1.5004053115844727|0.03866327181458473|0.02363671362400055|2.708818197250366|1.5985195636749268|0.07503491640090942|0.28928515315055847|0.13401775062084198|0.017282648012042046|2.822071075439453|0.03676757588982582|0.08798109740018845|1.82167387008667|0.21813461184501648|0.01906753145158291
indian_pines,27,skipattn,61.275,0.793,0.766,0.766,5|7|14|18|19|34|35|37|43|57|67|71|78|79|99|111|124|125|128|134|149|159|162|171|176|178|181,1.648503303527832|0.0050361561588943005|0.0091648418456316|0.6106245517730713|0.022175729274749756|2.042423963546753|0.0074226767756044865|0.7455669641494751|0.010088680312037468|1.3243800401687622|0.20821793377399445|1.6155304908752441|0.04589150473475456|0.02348748967051506|1.9954131841659546|0.011002538725733757|0.008857580833137035|0.05111963301897049|1.6755287647247314|2.5371317863464355|0.017768878489732742|1.8367685079574585|1.190850853919983|0.002792214509099722|3.4386212825775146|1.1470755338668823|0.005118237808346748
indian_pines,28,skipattn,56.73,0.794,0.761,0.761,5|7|16|17|20|23|27|34|35|37|43|57|68|72|80|99|111|127|147|148|159|161|171|172|175|177|181|184,0.004614792764186859|6.276312351226807|0.005634254775941372|0.04038973152637482|0.017316259443759918|0.005404326599091291|3.8407235145568848|5.59823751449585|0.01931544579565525|0.022221162915229797|5.4899797439575195|5.030799388885498|6.173805236816406|5.232769012451172|0.007711609359830618|6.913227081298828|0.007190117612481117|0.00099189521279186|5.134161949157715|3.498328685760498|4.187614440917969|5.180579662322998|0.03728397190570831|7.170605182647705|0.0024972225073724985|0.0231474656611681|6.432912826538086|0.018026428297162056
indian_pines,29,skipattn,61.001,0.79,0.759,0.759,4|6|15|18|23|26|33|34|35|37|57|68|71|99|111|124|127|139|147|148|149|158|160|161|172|178|181|184|187,0.7830289602279663|0.09230205416679382|2.4717423915863037|2.4113101959228516|2.8961715698242188|1.9431047439575195|2.4823718070983887|0.002453598426654935|0.0010945642134174705|1.3196885585784912|0.03595329076051712|0.015300342813134193|0.026562275364995003|0.0036713220179080963|0.0043069240637123585|1.7178258895874023|1.9897701740264893|1.9805043935775757|2.0751328468322754|1.9204941987991333|1.0585947036743164|0.002195158274844289|0.002347838832065463|0.06472428888082504|1.7655317783355713|1.170498013496399|0.24544301629066467|0.004398349206894636|0.040281031280756
indian_pines,30,skipattn,61.444,0.797,0.753,0.753,5|7|15|18|23|31|33|34|37|40|57|68|71|80|99|100|124|125|126|127|132|140|148|159|161|167|170|172|178|181,0.0040033007971942425|3.045898199081421|0.012138472869992256|2.1634809970855713|0.004120339639484882|3.032228946685791|0.25461170077323914|0.9949679970741272|0.04146597906947136|2.4239718914031982|0.005941648501902819|0.017221834510564804|1.1639920473098755|3.171555519104004|0.01022418774664402|1.6194071769714355|0.030258003622293472|2.5947940349578857|0.5059955716133118|0.014355914667248726|2.3251283168792725|0.0840667188167572|2.103215217590332|0.0037617157213389874|0.019435517489910126|1.6988978385925293|1.1242982149124146|1.0349379777908325|1.1541253328323364|0.004749022424221039
paviaU,2,skipattn,113.476,0.752,0.577,0.577,58|82,1.7393516302108765|1.3436369895935059
paviaU,3,skipattn,116.732,0.824,0.704,0.704,63|82|84,0.8779171705245972|0.7779774069786072|0.8166739344596863
paviaU,4,skipattn,119.475,0.874,0.787,0.787,62|69|82|84,0.6315824389457703|0.9540190100669861|0.8882520198822021|0.7985684871673584
paviaU,5,skipattn,123.09,0.894,0.838,0.838,63|69|82|84|98,0.7276787757873535|0.9048824906349182|0.9078974723815918|0.8639195561408997|0.8579513430595398
paviaU,6,skipattn,128.728,0.898,0.845,0.845,63|69|75|82|84|98,0.610994279384613|0.8869295120239258|0.6536761522293091|0.8051975965499878|0.19462715089321136|1.164755940437317
paviaU,7,skipattn,131.34,0.894,0.853,0.853,42|54|60|63|69|82|85,1.1505388021469116|1.0245232582092285|0.023670436814427376|0.43000733852386475|0.4189106225967407|0.5528764128684998|1.1151338815689087
paviaU,8,skipattn,134.103,0.907,0.871,0.871,42|63|68|70|76|82|84|98,0.7314800024032593|0.8532999157905579|0.6338855624198914|0.8313488364219666|0.7432228922843933|0.8482611179351807|0.7011535167694092|0.8292376399040222
