fold,dataset,oa,aa,k
0,ghisaconus,0.716,0.629,0.604
1,ghisaconus,0.741,0.63,0.637
2,ghisaconus,0.738,0.646,0.635
3,ghisaconus,0.741,0.661,0.638
4,ghisaconus,0.743,0.648,0.641
5,ghisaconus,0.72,0.665,0.611
6,ghisaconus,0.732,0.692,0.624
7,ghisaconus,0.721,0.634,0.611
8,ghisaconus,0.733,0.645,0.631
9,ghisaconus,0.716,0.631,0.605
10,ghisaconus,0.719,0.639,0.609
11,ghisaconus,0.712,0.618,0.597
12,ghisaconus,0.742,0.646,0.641
13,ghisaconus,0.731,0.662,0.625
14,ghisaconus,0.719,0.628,0.605
15,ghisaconus,0.733,0.65,0.629
16,ghisaconus,0.726,0.635,0.615
17,ghisaconus,0.716,0.615,0.6
18,ghisaconus,0.713,0.652,0.597
19,ghisaconus,0.721,0.661,0.61
0,ghisaconus,0.732,0.621,0.626
1,ghisaconus,0.733,0.707,0.631
2,ghisaconus,0.722,0.668,0.615
3,ghisaconus,0.727,0.626,0.617
4,ghisaconus,0.732,0.642,0.627
5,ghisaconus,0.731,0.697,0.625
6,ghisaconus,0.72,0.65,0.611
7,ghisaconus,0.731,0.643,0.623
8,ghisaconus,0.711,0.658,0.598
9,ghisaconus,0.71,0.635,0.595
10,ghisaconus,0.719,0.635,0.613
11,ghisaconus,0.705,0.659,0.59
12,ghisaconus,0.728,0.634,0.619
13,ghisaconus,0.735,0.664,0.629
14,ghisaconus,0.708,0.633,0.593
15,ghisaconus,0.715,0.641,0.603
16,ghisaconus,0.746,0.718,0.646
17,ghisaconus,0.718,0.643,0.609
18,ghisaconus,0.739,0.712,0.636
19,ghisaconus,0.727,0.645,0.62
0,ghisaconus,0.725,0.631,0.616
1,ghisaconus,0.716,0.679,0.605
2,ghisaconus,0.75,0.685,0.651
3,ghisaconus,0.687,0.583,0.561
4,ghisaconus,0.72,0.675,0.611
5,ghisaconus,0.719,0.616,0.609
6,ghisaconus,0.722,0.67,0.611
7,ghisaconus,0.743,0.682,0.639
8,ghisaconus,0.726,0.661,0.617
9,ghisaconus,0.756,0.669,0.658
10,ghisaconus,0.739,0.651,0.636
11,ghisaconus,0.724,0.655,0.614
12,ghisaconus,0.742,0.688,0.641
13,ghisaconus,0.72,0.629,0.607
14,ghisaconus,0.713,0.672,0.598
15,ghisaconus,0.735,0.659,0.629
16,ghisaconus,0.72,0.668,0.614
17,ghisaconus,0.714,0.636,0.598
18,ghisaconus,0.721,0.651,0.608
19,ghisaconus,0.735,0.604,0.628
0,ghisaconus,0.733,0.617,0.626
1,ghisaconus,0.72,0.645,0.611
2,ghisaconus,0.72,0.633,0.606
3,ghisaconus,0.72,0.63,0.609
4,ghisaconus,0.73,0.653,0.621
5,ghisaconus,0.739,0.662,0.635
6,ghisaconus,0.708,0.651,0.592
7,ghisaconus,0.734,0.652,0.629
8,ghisaconus,0.725,0.636,0.615
9,ghisaconus,0.727,0.626,0.62
10,ghisaconus,0.726,0.639,0.616
11,ghisaconus,0.735,0.617,0.629
12,ghisaconus,0.722,0.642,0.609
13,ghisaconus,0.724,0.638,0.616
14,ghisaconus,0.717,0.629,0.603
15,ghisaconus,0.739,0.662,0.635
16,ghisaconus,0.715,0.669,0.604
17,ghisaconus,0.733,0.656,0.628
18,ghisaconus,0.751,0.675,0.649
19,ghisaconus,0.736,0.653,0.631
0,ghisaconus,0.735,0.626,0.629
1,ghisaconus,0.733,0.658,0.626
2,ghisaconus,0.73,0.679,0.627
3,ghisaconus,0.728,0.623,0.62
4,ghisaconus,0.714,0.66,0.601
5,ghisaconus,0.725,0.642,0.619
6,ghisaconus,0.727,0.664,0.616
7,ghisaconus,0.709,0.601,0.59
8,ghisaconus,0.723,0.64,0.612
9,ghisaconus,0.724,0.67,0.617
10,ghisaconus,0.725,0.641,0.616
11,ghisaconus,0.722,0.623,0.61
12,ghisaconus,0.703,0.605,0.585
13,ghisaconus,0.726,0.651,0.615
14,ghisaconus,0.73,0.645,0.623
15,ghisaconus,0.705,0.639,0.588
16,ghisaconus,0.724,0.622,0.612
17,ghisaconus,0.715,0.639,0.599
18,ghisaconus,0.725,0.656,0.615
19,ghisaconus,0.716,0.633,0.602
