epoch,l0_cw,l0_s,mse_loss,l1_loss,lambda_value,loss,oa,aa,k,min_cw,max_cw,avg_cw,min_s,max_s,avg_s,selected_bands,selected_weights,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28,weight_29,weight_30,weight_31,weight_32,weight_33,weight_34,weight_35,weight_36,weight_37,weight_38,weight_39,weight_40,weight_41,weight_42,weight_43,weight_44,weight_45,weight_46,weight_47,weight_48,weight_49,weight_50,weight_51,weight_52,weight_53,weight_54,weight_55,weight_56,weight_57,weight_58,weight_59,weight_60,weight_61,weight_62,weight_63,weight_64,weight_65,weight_66,weight_67,weight_68,weight_69,weight_70,weight_71,weight_72,weight_73,weight_74,weight_75,weight_76,weight_77,weight_78,weight_79,weight_80,weight_81,weight_82,weight_83,weight_84,weight_85,weight_86,weight_87,weight_88,weight_89,weight_90,weight_91,weight_92,weight_93,weight_94,weight_95,weight_96,weight_97,weight_98,weight_99,weight_100,weight_101,weight_102,weight_103,weight_104,weight_105,weight_106,weight_107,weight_108,weight_109,weight_110,weight_111,weight_112,weight_113,weight_114,weight_115,weight_116,weight_117,weight_118,weight_119,weight_120,weight_121,weight_122,weight_123,weight_124,weight_125,weight_126,weight_127,weight_128,weight_129,weight_130
0,131,131,2.07,8.7420273,0.01,2.157,0.499,0.403,0.362,0.008,0.201,0.074,0.008,0.201,0.074,119|120,0.201|0.193,0.062,0.066,0.07,0.045,0.066,0.086,0.038,0.105,0.11,0.026,0.047,0.143,0.147,0.043,0.017,0.081,0.07,0.029,0.062,0.073,0.028,0.037,0.038,0.053,0.067,0.035,0.04,0.023,0.054,0.034,0.075,0.085,0.18,0.051,0.033,0.046,0.116,0.035,0.029,0.035,0.114,0.09,0.088,0.087,0.077,0.122,0.037,0.057,0.032,0.105,0.036,0.097,0.101,0.035,0.039,0.115,0.041,0.055,0.087,0.03,0.09,0.037,0.092,0.04,0.044,0.028,0.049,0.065,0.171,0.174,0.036,0.157,0.011,0.185,0.113,0.129,0.008,0.037,0.073,0.101,0.035,0.059,0.044,0.047,0.094,0.108,0.026,0.11,0.021,0.068,0.025,0.087,0.033,0.151,0.031,0.038,0.095,0.087,0.112,0.111,0.082,0.156,0.028,0.039,0.147,0.02,0.048,0.017,0.045,0.165,0.047,0.035,0.02,0.155,0.046,0.119,0.166,0.098,0.013,0.201,0.193,0.029,0.093,0.157,0.056,0.097,0.076,0.075,0.093,0.156,0.114
10,131,131,0.797,8.1589117,0.01,0.879,0.484,0.388,0.344,0.01,0.853,0.213,0.01,0.853,0.213,120|129,0.853|0.682,0.429,0.48,0.126,0.105,0.148,0.316,0.049,0.056,0.024,0.065,0.103,0.499,0.319,0.384,0.368,0.161,0.251,0.391,0.311,0.428,0.418,0.184,0.372,0.355,0.29,0.055,0.206,0.185,0.104,0.066,0.234,0.199,0.235,0.377,0.087,0.012,0.233,0.091,0.028,0.338,0.648,0.042,0.133,0.108,0.377,0.273,0.087,0.052,0.269,0.547,0.144,0.207,0.033,0.022,0.095,0.327,0.176,0.4,0.193,0.321,0.226,0.026,0.033,0.422,0.055,0.083,0.117,0.059,0.013,0.017,0.09,0.145,0.228,0.234,0.259,0.408,0.338,0.18,0.23,0.441,0.01,0.387,0.064,0.092,0.057,0.06,0.103,0.085,0.014,0.244,0.261,0.071,0.097,0.191,0.09,0.091,0.336,0.425,0.249,0.334,0.035,0.567,0.337,0.083,0.33,0.118,0.05,0.378,0.167,0.029,0.242,0.118,0.392,0.215,0.131,0.029,0.073,0.227,0.044,0.198,0.853,0.323,0.322,0.211,0.369,0.112,0.053,0.194,0.414,0.682,0.19
20,131,131,0.646,7.7954321,0.01,0.724,0.484,0.388,0.344,0.013,1.029,0.253,0.013,1.029,0.253,120|129,1.029|0.861,0.457,0.641,0.039,0.095,0.145,0.366,0.024,0.044,0.103,0.081,0.219,0.646,0.529,0.5,0.422,0.158,0.279,0.439,0.429,0.614,0.506,0.194,0.519,0.473,0.413,0.035,0.241,0.286,0.102,0.142,0.255,0.259,0.391,0.597,0.047,0.026,0.197,0.02,0.088,0.431,0.785,0.027,0.092,0.131,0.45,0.223,0.103,0.054,0.316,0.745,0.157,0.159,0.041,0.027,0.12,0.432,0.225,0.507,0.26,0.314,0.195,0.115,0.05,0.526,0.04,0.066,0.095,0.116,0.026,0.015,0.117,0.11,0.259,0.187,0.365,0.502,0.609,0.205,0.253,0.463,0.078,0.464,0.019,0.088,0.028,0.058,0.133,0.058,0.013,0.341,0.236,0.056,0.022,0.208,0.153,0.029,0.361,0.455,0.246,0.443,0.03,0.824,0.428,0.107,0.384,0.167,0.035,0.45,0.207,0.014,0.269,0.091,0.428,0.292,0.032,0.044,0.039,0.253,0.047,0.231,1.029,0.294,0.342,0.223,0.468,0.145,0.073,0.213,0.473,0.861,0.179
30,131,131,0.558,7.3745298,0.01,0.632,0.488,0.402,0.348,0.009,1.176,0.269,0.009,1.176,0.269,120|101,1.176|1.036,0.486,0.745,0.017,0.019,0.155,0.43,0.018,0.031,0.076,0.03,0.208,0.699,0.595,0.575,0.43,0.139,0.207,0.479,0.482,0.716,0.569,0.154,0.571,0.522,0.474,0.05,0.273,0.383,0.081,0.186,0.305,0.313,0.505,0.83,0.053,0.046,0.177,0.019,0.042,0.473,0.849,0.018,0.071,0.162,0.477,0.195,0.115,0.041,0.343,0.813,0.13,0.132,0.017,0.027,0.075,0.503,0.224,0.594,0.307,0.349,0.18,0.129,0.013,0.651,0.033,0.056,0.049,0.089,0.04,0.05,0.15,0.062,0.289,0.143,0.408,0.462,0.745,0.18,0.215,0.449,0.05,0.543,0.01,0.065,0.057,0.056,0.087,0.03,0.023,0.469,0.217,0.051,0.021,0.247,0.087,0.053,0.425,0.543,0.258,0.487,0.038,1.036,0.489,0.129,0.392,0.088,0.017,0.567,0.146,0.013,0.252,0.057,0.424,0.309,0.067,0.009,0.024,0.28,0.039,0.223,1.176,0.276,0.304,0.176,0.506,0.157,0.022,0.226,0.489,0.961,0.159
40,131,131,0.487,7.0251799,0.01,0.558,0.488,0.402,0.348,0.008,1.269,0.276,0.008,1.269,0.276,120|101,1.269|1.214,0.486,0.817,0.008,0.012,0.179,0.504,0.016,0.03,0.086,0.037,0.159,0.761,0.65,0.606,0.385,0.117,0.22,0.522,0.466,0.76,0.647,0.137,0.609,0.548,0.517,0.028,0.3,0.418,0.064,0.211,0.34,0.344,0.6,0.945,0.015,0.079,0.119,0.014,0.024,0.516,0.905,0.019,0.027,0.165,0.512,0.126,0.1,0.036,0.359,0.816,0.094,0.113,0.017,0.027,0.056,0.54,0.18,0.639,0.328,0.291,0.165,0.121,0.014,0.732,0.022,0.049,0.026,0.028,0.053,0.05,0.177,0.009,0.263,0.086,0.454,0.413,0.81,0.169,0.17,0.46,0.027,0.623,0.01,0.052,0.078,0.031,0.04,0.024,0.027,0.503,0.227,0.039,0.017,0.261,0.053,0.025,0.476,0.611,0.299,0.532,0.016,1.214,0.585,0.145,0.364,0.024,0.032,0.668,0.111,0.011,0.233,0.034,0.443,0.309,0.077,0.009,0.014,0.346,0.029,0.192,1.269,0.26,0.244,0.11,0.566,0.138,0.015,0.228,0.489,1.026,0.137
50,131,131,0.44,6.7794175,0.01,0.508,0.488,0.402,0.348,0.005,1.351,0.282,0.005,1.351,0.282,120|101,1.351|1.341,0.481,0.93,0.007,0.01,0.182,0.574,0.013,0.029,0.066,0.027,0.086,0.792,0.651,0.613,0.348,0.097,0.209,0.514,0.415,0.822,0.693,0.077,0.61,0.56,0.555,0.026,0.324,0.434,0.04,0.213,0.411,0.354,0.662,1.013,0.011,0.068,0.111,0.015,0.039,0.54,0.969,0.017,0.032,0.189,0.549,0.081,0.061,0.033,0.376,0.858,0.081,0.108,0.015,0.03,0.048,0.604,0.148,0.65,0.326,0.264,0.141,0.106,0.023,0.859,0.016,0.043,0.026,0.032,0.062,0.028,0.184,0.045,0.246,0.063,0.48,0.354,0.906,0.141,0.11,0.452,0.015,0.64,0.005,0.044,0.084,0.02,0.023,0.024,0.05,0.546,0.265,0.035,0.011,0.244,0.036,0.013,0.51,0.656,0.273,0.54,0.024,1.341,0.672,0.13,0.324,0.038,0.034,0.682,0.094,0.01,0.207,0.039,0.444,0.288,0.063,0.009,0.067,0.399,0.025,0.137,1.351,0.252,0.223,0.047,0.651,0.136,0.011,0.233,0.486,1.063,0.12
60,131,131,0.402,6.6039853,0.01,0.468,0.488,0.402,0.348,0.009,1.444,0.287,0.009,1.444,0.287,101|120,1.444|1.432,0.5,1.032,0.033,0.062,0.179,0.649,0.016,0.025,0.07,0.033,0.041,0.826,0.629,0.63,0.301,0.078,0.177,0.499,0.413,0.867,0.707,0.052,0.604,0.563,0.558,0.025,0.337,0.439,0.02,0.218,0.437,0.397,0.754,1.076,0.03,0.087,0.11,0.015,0.049,0.563,0.996,0.043,0.058,0.18,0.575,0.045,0.043,0.027,0.382,0.906,0.058,0.073,0.042,0.037,0.037,0.63,0.121,0.641,0.325,0.237,0.109,0.05,0.019,0.942,0.071,0.042,0.021,0.04,0.069,0.07,0.193,0.015,0.246,0.073,0.475,0.326,0.965,0.145,0.06,0.441,0.019,0.628,0.038,0.038,0.056,0.022,0.016,0.02,0.017,0.558,0.269,0.021,0.011,0.246,0.022,0.015,0.497,0.675,0.25,0.563,0.072,1.444,0.723,0.108,0.284,0.019,0.049,0.702,0.086,0.034,0.166,0.028,0.436,0.274,0.033,0.009,0.073,0.424,0.016,0.068,1.432,0.25,0.178,0.026,0.675,0.135,0.027,0.212,0.489,1.103,0.088
70,131,131,0.378,6.3940606,0.01,0.442,0.488,0.402,0.348,0.004,1.498,0.286,0.004,1.498,0.286,101|120,1.498|1.497,0.469,1.096,0.007,0.08,0.178,0.688,0.016,0.025,0.071,0.029,0.032,0.852,0.613,0.637,0.262,0.059,0.164,0.482,0.397,0.919,0.709,0.011,0.616,0.539,0.551,0.021,0.319,0.418,0.01,0.214,0.47,0.418,0.797,1.123,0.013,0.066,0.065,0.024,0.048,0.578,1.057,0.017,0.069,0.174,0.596,0.035,0.036,0.031,0.4,0.945,0.04,0.062,0.038,0.026,0.026,0.66,0.114,0.637,0.298,0.214,0.076,0.032,0.017,1.002,0.118,0.039,0.02,0.027,0.069,0.079,0.212,0.004,0.239,0.072,0.519,0.296,1.017,0.136,0.036,0.403,0.021,0.657,0.016,0.028,0.02,0.033,0.009,0.022,0.014,0.556,0.299,0.032,0.01,0.244,0.035,0.017,0.472,0.678,0.247,0.565,0.052,1.498,0.757,0.084,0.285,0.025,0.049,0.687,0.085,0.032,0.125,0.027,0.38,0.245,0.021,0.008,0.028,0.448,0.009,0.041,1.497,0.249,0.155,0.02,0.702,0.129,0.011,0.191,0.481,1.119,0.048
80,131,131,0.332,6.2527504,0.01,0.394,0.488,0.402,0.348,0.008,1.553,0.286,0.008,1.553,0.286,101|120,1.553|1.536,0.456,1.137,0.011,0.043,0.174,0.754,0.01,0.021,0.05,0.029,0.034,0.856,0.586,0.675,0.224,0.043,0.132,0.465,0.356,0.933,0.725,0.044,0.618,0.545,0.542,0.022,0.331,0.415,0.018,0.208,0.495,0.447,0.838,1.178,0.02,0.053,0.045,0.019,0.043,0.6,1.104,0.016,0.039,0.174,0.613,0.033,0.04,0.025,0.437,0.979,0.015,0.079,0.029,0.021,0.016,0.65,0.088,0.64,0.278,0.198,0.043,0.016,0.046,1.044,0.092,0.033,0.018,0.027,0.072,0.069,0.241,0.008,0.21,0.065,0.551,0.282,1.057,0.118,0.031,0.37,0.021,0.626,0.012,0.02,0.022,0.016,0.022,0.03,0.012,0.564,0.3,0.06,0.034,0.254,0.09,0.042,0.455,0.7,0.22,0.562,0.01,1.553,0.785,0.045,0.234,0.029,0.039,0.682,0.081,0.029,0.108,0.02,0.373,0.225,0.021,0.014,0.013,0.464,0.008,0.043,1.536,0.242,0.135,0.017,0.719,0.097,0.014,0.183,0.466,1.12,0.02
90,131,131,0.302,6.0954509,0.01,0.363,0.488,0.402,0.348,0.005,1.598,0.283,0.005,1.598,0.283,101|120,1.598|1.584,0.427,1.171,0.007,0.022,0.181,0.764,0.011,0.016,0.063,0.028,0.03,0.869,0.56,0.672,0.2,0.027,0.113,0.443,0.346,0.953,0.72,0.025,0.623,0.554,0.55,0.016,0.325,0.422,0.032,0.179,0.508,0.457,0.889,1.23,0.022,0.033,0.029,0.018,0.038,0.629,1.147,0.017,0.016,0.182,0.622,0.025,0.036,0.042,0.455,0.994,0.014,0.073,0.026,0.013,0.013,0.645,0.085,0.646,0.276,0.191,0.022,0.015,0.022,1.072,0.078,0.031,0.021,0.02,0.073,0.047,0.251,0.01,0.194,0.059,0.589,0.258,1.062,0.133,0.025,0.335,0.042,0.617,0.013,0.015,0.024,0.018,0.012,0.024,0.011,0.558,0.292,0.037,0.011,0.263,0.037,0.019,0.435,0.702,0.209,0.547,0.005,1.598,0.792,0.032,0.237,0.031,0.035,0.678,0.077,0.018,0.09,0.018,0.332,0.182,0.017,0.025,0.013,0.478,0.03,0.028,1.584,0.238,0.103,0.012,0.722,0.065,0.013,0.145,0.446,1.109,0.02
