dataset,target_size,algorithm,props,oa,aa,k,fold
indian_pines,2,bsdr,0,0.55,0.4,0.47,0
indian_pines,2,bsdr,0,0.56,0.42,0.48,1
indian_pines,2,bsdr,0,0.56,0.37,0.48,2
indian_pines,2,bsdr,0,0.54,0.36,0.45,3
indian_pines,2,bsdr,0,0.55,0.41,0.47,4
indian_pines,2,bsdr,0,0.55,0.38,0.47,5
indian_pines,2,bsdr,0,0.54,0.38,0.46,6
indian_pines,2,bsdr,0,0.54,0.4,0.46,7
indian_pines,2,bsdr,0,0.56,0.43,0.49,8
indian_pines,2,bsdr,0,0.54,0.36,0.44,9
indian_pines,2,bsdr,0,0.56,0.42,0.49,10
indian_pines,2,bsdr,0,0.54,0.42,0.47,11
indian_pines,2,bsdr,0,0.55,0.43,0.47,12
indian_pines,2,bsdr,0,0.57,0.42,0.49,13
indian_pines,2,bsdr,0,0.55,0.39,0.47,14
indian_pines,2,bsdr,0,0.55,0.44,0.47,15
indian_pines,2,bsdr,0,0.54,0.41,0.45,16
indian_pines,2,bsdr,0,0.55,0.39,0.47,17
indian_pines,2,bsdr,0,0.54,0.41,0.46,18
indian_pines,2,bsdr,0,0.56,0.41,0.48,19
indian_pines,3,bsdr,0,0.6,0.49,0.54,0
indian_pines,3,bsdr,0,0.61,0.5,0.55,1
indian_pines,3,bsdr,0,0.59,0.46,0.52,2
indian_pines,3,bsdr,0,0.6,0.52,0.53,3
indian_pines,3,bsdr,0,0.61,0.5,0.54,4
indian_pines,3,bsdr,0,0.61,0.49,0.54,5
indian_pines,3,bsdr,0,0.6,0.47,0.53,6
indian_pines,3,bsdr,0,0.59,0.45,0.53,7
indian_pines,3,bsdr,0,0.6,0.53,0.54,8
indian_pines,3,bsdr,0,0.59,0.46,0.52,9
indian_pines,3,bsdr,0,0.61,0.56,0.55,10
indian_pines,3,bsdr,0,0.59,0.5,0.52,11
indian_pines,3,bsdr,0,0.61,0.5,0.54,12
indian_pines,3,bsdr,0,0.6,0.5,0.53,13
indian_pines,3,bsdr,0,0.6,0.48,0.52,14
indian_pines,3,bsdr,0,0.59,0.52,0.52,15
indian_pines,3,bsdr,0,0.6,0.5,0.53,16
indian_pines,3,bsdr,0,0.61,0.5,0.54,17
indian_pines,3,bsdr,0,0.6,0.55,0.54,18
indian_pines,3,bsdr,0,0.6,0.51,0.53,19
indian_pines,4,bsdr,0,0.66,0.56,0.61,0
indian_pines,4,bsdr,0,0.65,0.57,0.6,1
indian_pines,4,bsdr,0,0.67,0.59,0.62,2
indian_pines,4,bsdr,0,0.65,0.57,0.6,3
indian_pines,4,bsdr,0,0.65,0.56,0.6,4
indian_pines,4,bsdr,0,0.66,0.61,0.6,5
indian_pines,4,bsdr,0,0.66,0.61,0.61,6
indian_pines,4,bsdr,0,0.64,0.58,0.59,7
indian_pines,4,bsdr,0,0.66,0.6,0.61,8
indian_pines,4,bsdr,0,0.65,0.61,0.6,9
indian_pines,4,bsdr,0,0.67,0.58,0.62,10
indian_pines,4,bsdr,0,0.65,0.58,0.59,11
indian_pines,4,bsdr,0,0.65,0.55,0.59,12
indian_pines,4,bsdr,0,0.66,0.57,0.61,13
indian_pines,4,bsdr,0,0.67,0.6,0.62,14
indian_pines,4,bsdr,0,0.65,0.58,0.6,15
indian_pines,4,bsdr,0,0.66,0.57,0.6,16
indian_pines,4,bsdr,0,0.66,0.58,0.6,17
indian_pines,4,bsdr,0,0.65,0.58,0.6,18
indian_pines,4,bsdr,0,0.66,0.57,0.6,19
indian_pines,5,bsdr,0,0.68,0.61,0.64,0
indian_pines,5,bsdr,0,0.69,0.6,0.64,1
indian_pines,5,bsdr,0,0.69,0.63,0.64,2
indian_pines,5,bsdr,0,0.69,0.64,0.65,3
indian_pines,5,bsdr,0,0.68,0.61,0.64,4
indian_pines,5,bsdr,0,0.69,0.65,0.64,5
indian_pines,5,bsdr,0,0.69,0.64,0.64,6
indian_pines,5,bsdr,0,0.69,0.7,0.65,7
indian_pines,5,bsdr,0,0.7,0.66,0.66,8
indian_pines,5,bsdr,0,0.67,0.61,0.63,9
indian_pines,5,bsdr,0,0.69,0.68,0.64,10
indian_pines,5,bsdr,0,0.69,0.61,0.64,11
indian_pines,5,bsdr,0,0.7,0.6,0.65,12
indian_pines,5,bsdr,0,0.69,0.65,0.64,13
indian_pines,5,bsdr,0,0.7,0.62,0.66,14
indian_pines,5,bsdr,0,0.67,0.64,0.63,15
indian_pines,5,bsdr,0,0.69,0.62,0.64,16
indian_pines,5,bsdr,0,0.68,0.63,0.64,17
indian_pines,5,bsdr,0,0.68,0.66,0.64,18
indian_pines,5,bsdr,0,0.68,0.59,0.63,19
indian_pines,6,bsdr,0,0.67,0.57,0.62,0
indian_pines,6,bsdr,0,0.64,0.55,0.59,1
indian_pines,6,bsdr,0,0.66,0.59,0.61,2
indian_pines,6,bsdr,0,0.65,0.59,0.6,3
indian_pines,6,bsdr,0,0.65,0.57,0.6,4
indian_pines,6,bsdr,0,0.65,0.6,0.6,5
indian_pines,6,bsdr,0,0.66,0.61,0.61,6
indian_pines,6,bsdr,0,0.65,0.63,0.6,7
indian_pines,6,bsdr,0,0.64,0.58,0.59,8
indian_pines,6,bsdr,0,0.62,0.55,0.57,9
indian_pines,6,bsdr,0,0.65,0.61,0.6,10
indian_pines,6,bsdr,0,0.65,0.59,0.59,11
indian_pines,6,bsdr,0,0.63,0.53,0.57,12
indian_pines,6,bsdr,0,0.65,0.6,0.6,13
indian_pines,6,bsdr,0,0.64,0.6,0.59,14
indian_pines,6,bsdr,0,0.63,0.6,0.58,15
indian_pines,6,bsdr,0,0.66,0.59,0.61,16
indian_pines,6,bsdr,0,0.65,0.57,0.6,17
indian_pines,6,bsdr,0,0.64,0.61,0.59,18
indian_pines,6,bsdr,0,0.64,0.57,0.58,19
indian_pines,7,bsdr,0,0.7,0.63,0.66,0
indian_pines,7,bsdr,0,0.7,0.64,0.66,1
indian_pines,7,bsdr,0,0.69,0.66,0.65,2
indian_pines,7,bsdr,0,0.7,0.68,0.66,3
indian_pines,7,bsdr,0,0.72,0.64,0.68,4
indian_pines,7,bsdr,0,0.71,0.7,0.67,5
indian_pines,7,bsdr,0,0.71,0.67,0.67,6
indian_pines,7,bsdr,0,0.71,0.68,0.66,7
indian_pines,7,bsdr,0,0.7,0.66,0.66,8
indian_pines,7,bsdr,0,0.69,0.62,0.65,9
indian_pines,7,bsdr,0,0.71,0.69,0.67,10
indian_pines,7,bsdr,0,0.7,0.69,0.66,11
indian_pines,7,bsdr,0,0.71,0.63,0.67,12
indian_pines,7,bsdr,0,0.71,0.68,0.67,13
indian_pines,7,bsdr,0,0.72,0.68,0.68,14
indian_pines,7,bsdr,0,0.68,0.67,0.64,15
indian_pines,7,bsdr,0,0.71,0.64,0.66,16
indian_pines,7,bsdr,0,0.69,0.64,0.65,17
indian_pines,7,bsdr,0,0.69,0.67,0.65,18
indian_pines,7,bsdr,0,0.7,0.65,0.66,19
indian_pines,8,bsdr,0,0.72,0.62,0.68,0
indian_pines,8,bsdr,0,0.71,0.64,0.67,1
indian_pines,8,bsdr,0,0.72,0.66,0.68,2
indian_pines,8,bsdr,0,0.72,0.65,0.68,3
indian_pines,8,bsdr,0,0.72,0.69,0.68,4
indian_pines,8,bsdr,0,0.73,0.7,0.7,5
indian_pines,8,bsdr,0,0.72,0.67,0.67,6
indian_pines,8,bsdr,0,0.72,0.68,0.68,7
indian_pines,8,bsdr,0,0.73,0.67,0.69,8
indian_pines,8,bsdr,0,0.71,0.66,0.67,9
indian_pines,8,bsdr,0,0.72,0.67,0.68,10
indian_pines,8,bsdr,0,0.71,0.69,0.67,11
indian_pines,8,bsdr,0,0.72,0.66,0.68,12
indian_pines,8,bsdr,0,0.72,0.69,0.68,13
indian_pines,8,bsdr,0,0.73,0.7,0.7,14
indian_pines,8,bsdr,0,0.71,0.67,0.67,15
indian_pines,8,bsdr,0,0.73,0.69,0.69,16
indian_pines,8,bsdr,0,0.71,0.67,0.67,17
indian_pines,8,bsdr,0,0.71,0.7,0.67,18
indian_pines,8,bsdr,0,0.73,0.68,0.69,19
indian_pines,9,bsdr,0,0.72,0.67,0.69,0
indian_pines,9,bsdr,0,0.7,0.69,0.66,1
indian_pines,9,bsdr,0,0.73,0.68,0.69,2
indian_pines,9,bsdr,0,0.72,0.69,0.68,3
indian_pines,9,bsdr,0,0.72,0.7,0.68,4
indian_pines,9,bsdr,0,0.71,0.67,0.67,5
indian_pines,9,bsdr,0,0.71,0.67,0.67,6
indian_pines,9,bsdr,0,0.7,0.66,0.65,7
indian_pines,9,bsdr,0,0.7,0.7,0.66,8
indian_pines,9,bsdr,0,0.69,0.63,0.65,9
indian_pines,9,bsdr,0,0.72,0.66,0.68,10
indian_pines,9,bsdr,0,0.72,0.72,0.68,11
indian_pines,9,bsdr,0,0.71,0.67,0.67,12
indian_pines,9,bsdr,0,0.7,0.69,0.66,13
indian_pines,9,bsdr,0,0.72,0.69,0.68,14
