dataset,target_size,algorithm,props,time,oa,aa,k,selected_bands,selected_weights
indian_pines,30,msobsdr3,0,376.236,0.755,0.7,0.7,10|15|18|24|35|37|40|41|53|60|61|61|62|67|75|78|85|92|99|105|110|116|123|132|141|149|158|168|179|191,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
paviaU,2,msobsdr3,0,1192.217,0.774,0.631,0.631,39|76,1|1
paviaU,3,msobsdr3,0,1173.743,0.807,0.729,0.729,30|58|80,1|1|1
paviaU,4,msobsdr3,0,1196.028,0.815,0.715,0.715,56|73|86|97,1|1|1|1
paviaU,5,msobsdr3,0,1180.675,0.858,0.801,0.801,38|57|72|85|96,1|1|1|1|1
paviaU,6,msobsdr3,0,1174.308,0.868,0.832,0.832,20|35|50|69|79|93,1|1|1|1|1|1
paviaU,7,msobsdr3,0,1188.664,0.874,0.841,0.841,19|32|45|58|69|83|94,1|1|1|1|1|1|1
paviaU,8,msobsdr3,0,1174.029,0.885,0.856,0.856,18|29|40|51|63|72|85|97,1|1|1|1|1|1|1|1
paviaU,9,msobsdr3,0,1194.101,0.899,0.871,0.871,17|27|37|45|56|69|77|85|97,1|1|1|1|1|1|1|1|1
paviaU,10,msobsdr3,0,1203.609,0.893,0.867,0.867,16|25|34|42|51|62|69|83|88|99,1|1|1|1|1|1|1|1|1|1
paviaU,11,msobsdr3,0,1213.474,0.891,0.862,0.862,15|23|32|40|49|57|69|76|83|91|99,1|1|1|1|1|1|1|1|1|1|1
paviaU,12,msobsdr3,0,1223.702,0.894,0.867,0.867,13|20|28|36|43|51|59|67|76|83|91|99,1|1|1|1|1|1|1|1|1|1|1|1
paviaU,13,msobsdr3,0,1245.559,0.894,0.867,0.867,24|34|43|51|58|65|71|77|83|87|93|98|102,1|1|1|1|1|1|1|1|1|1|1|1|1
paviaU,14,msobsdr3,0,1397.656,0.909,0.885,0.885,14|20|27|33|39|46|52|61|69|75|83|85|95|101,1|1|1|1|1|1|1|1|1|1|1|1|1|1
paviaU,15,msobsdr3,0,1408.897,0.903,0.879,0.879,10|17|24|30|36|42|48|55|61|67|74|83|86|94|100,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
paviaU,16,msobsdr3,0,1404.164,0.903,0.881,0.881,10|17|22|28|34|40|45|52|58|64|69|76|83|88|95|101,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
paviaU,17,msobsdr3,0,1434.858,0.911,0.887,0.887,13|18|23|29|35|40|45|51|56|62|69|74|83|85|91|97|101,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
paviaU,18,msobsdr3,0,1428.898,0.912,0.888,0.888,11|17|22|27|34|39|43|49|55|61|64|69|76|83|85|91|98|101,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
paviaU,19,msobsdr3,0,1342.953,0.914,0.891,0.891,11|16|21|27|31|37|42|46|52|56|62|67|72|76|83|85|92|98|101,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
paviaU,20,msobsdr3,0,1350.74,0.911,0.888,0.888,10|14|18|24|28|33|38|42|47|52|57|62|67|72|76|83|86|92|97|102,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
paviaU,21,msobsdr3,0,1534.191,0.916,0.894,0.894,10|16|21|24|27|34|38|42|47|55|58|63|67|70|75|83|85|88|93|98|101,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
paviaU,22,msobsdr3,0,1591.702,0.917,0.894,0.894,10|15|19|24|27|32|37|42|45|50|55|59|63|69|72|76|83|85|88|95|99|102,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
paviaU,23,msobsdr3,0,1563.738,0.914,0.89,0.89,10|15|18|23|27|31|36|40|44|48|52|56|62|65|69|74|79|83|85|91|96|99|101,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
paviaU,24,msobsdr3,0,1540.704,0.915,0.893,0.893,8|13|17|21|24|28|32|36|40|44|48|52|56|61|64|69|72|77|83|85|90|94|98|102,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
paviaU,25,msobsdr3,0,1589.262,0.914,0.891,0.891,9|12|16|20|24|27|31|35|39|43|46|50|54|58|62|66|70|74|78|83|85|90|95|99|102,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
paviaU,26,msobsdr3,0,1570.671,0.915,0.891,0.891,10|14|17|21|25|29|33|36|39|44|47|52|56|61|64|67|70|72|76|83|85|88|93|97|100|102,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
paviaU,27,msobsdr3,0,1668.747,0.917,0.894,0.894,10|14|17|20|24|27|31|35|39|43|46|51|51|56|61|64|68|72|75|79|83|85|88|93|97|100|101,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
