dataset,target_size,algorithm,props,oa,aa,k,fold
indian_pines,2,msobsdr3,0,0.55,0.39,0.46,0
indian_pines,2,msobsdr3,0,0.57,0.4,0.49,1
indian_pines,2,msobsdr3,0,0.56,0.43,0.48,2
indian_pines,2,msobsdr3,0,0.57,0.44,0.49,3
indian_pines,2,msobsdr3,0,0.58,0.41,0.5,4
indian_pines,2,msobsdr3,0,0.54,0.41,0.45,5
indian_pines,2,msobsdr3,0,0.56,0.42,0.48,6
indian_pines,2,msobsdr3,0,0.54,0.41,0.45,7
indian_pines,2,msobsdr3,0,0.56,0.42,0.48,8
indian_pines,2,msobsdr3,0,0.56,0.43,0.48,9
indian_pines,2,msobsdr3,0,0.54,0.39,0.45,10
indian_pines,2,msobsdr3,0,0.55,0.43,0.47,11
indian_pines,2,msobsdr3,0,0.55,0.39,0.47,12
indian_pines,2,msobsdr3,0,0.54,0.43,0.46,13
indian_pines,2,msobsdr3,0,0.54,0.39,0.46,14
indian_pines,2,msobsdr3,0,0.55,0.4,0.47,15
indian_pines,2,msobsdr3,0,0.58,0.46,0.51,16
indian_pines,2,msobsdr3,0,0.55,0.42,0.47,17
indian_pines,2,msobsdr3,0,0.56,0.46,0.49,18
indian_pines,2,msobsdr3,0,0.56,0.46,0.49,19
indian_pines,3,msobsdr3,0,0.62,0.47,0.55,0
indian_pines,3,msobsdr3,0,0.64,0.54,0.58,1
indian_pines,3,msobsdr3,0,0.63,0.51,0.57,2
indian_pines,3,msobsdr3,0,0.62,0.49,0.56,3
indian_pines,3,msobsdr3,0,0.64,0.52,0.58,4
indian_pines,3,msobsdr3,0,0.63,0.54,0.57,5
indian_pines,3,msobsdr3,0,0.62,0.48,0.55,6
indian_pines,3,msobsdr3,0,0.63,0.5,0.58,7
indian_pines,3,msobsdr3,0,0.63,0.52,0.57,8
indian_pines,3,msobsdr3,0,0.63,0.51,0.57,9
indian_pines,3,msobsdr3,0,0.63,0.5,0.57,10
indian_pines,3,msobsdr3,0,0.62,0.51,0.56,11
indian_pines,3,msobsdr3,0,0.62,0.51,0.56,12
indian_pines,3,msobsdr3,0,0.62,0.48,0.56,13
indian_pines,3,msobsdr3,0,0.62,0.48,0.56,14
indian_pines,3,msobsdr3,0,0.63,0.48,0.57,15
indian_pines,3,msobsdr3,0,0.63,0.51,0.57,16
indian_pines,3,msobsdr3,0,0.62,0.52,0.56,17
indian_pines,3,msobsdr3,0,0.63,0.52,0.57,18
indian_pines,3,msobsdr3,0,0.63,0.47,0.57,19
indian_pines,4,msobsdr3,0,0.66,0.61,0.61,0
indian_pines,4,msobsdr3,0,0.67,0.61,0.62,1
indian_pines,4,msobsdr3,0,0.65,0.6,0.6,2
indian_pines,4,msobsdr3,0,0.66,0.6,0.6,3
indian_pines,4,msobsdr3,0,0.66,0.58,0.61,4
indian_pines,4,msobsdr3,0,0.66,0.6,0.6,5
indian_pines,4,msobsdr3,0,0.65,0.55,0.6,6
indian_pines,4,msobsdr3,0,0.67,0.61,0.62,7
indian_pines,4,msobsdr3,0,0.68,0.56,0.63,8
indian_pines,4,msobsdr3,0,0.68,0.61,0.63,9
indian_pines,4,msobsdr3,0,0.67,0.56,0.61,10
indian_pines,4,msobsdr3,0,0.66,0.59,0.61,11
indian_pines,4,msobsdr3,0,0.66,0.6,0.61,12
indian_pines,4,msobsdr3,0,0.67,0.62,0.62,13
indian_pines,4,msobsdr3,0,0.66,0.56,0.61,14
indian_pines,4,msobsdr3,0,0.66,0.59,0.61,15
indian_pines,4,msobsdr3,0,0.67,0.58,0.62,16
indian_pines,4,msobsdr3,0,0.66,0.6,0.61,17
indian_pines,4,msobsdr3,0,0.67,0.61,0.62,18
indian_pines,4,msobsdr3,0,0.65,0.59,0.59,19
indian_pines,5,msobsdr3,0,0.63,0.56,0.57,0
indian_pines,5,msobsdr3,0,0.63,0.58,0.58,1
indian_pines,5,msobsdr3,0,0.62,0.54,0.55,2
indian_pines,5,msobsdr3,0,0.62,0.55,0.56,3
indian_pines,5,msobsdr3,0,0.63,0.58,0.58,4
indian_pines,5,msobsdr3,0,0.63,0.59,0.57,5
indian_pines,5,msobsdr3,0,0.63,0.56,0.57,6
indian_pines,5,msobsdr3,0,0.63,0.58,0.58,7
indian_pines,5,msobsdr3,0,0.62,0.54,0.56,8
indian_pines,5,msobsdr3,0,0.61,0.53,0.55,9
indian_pines,5,msobsdr3,0,0.61,0.56,0.56,10
indian_pines,5,msobsdr3,0,0.62,0.55,0.56,11
indian_pines,5,msobsdr3,0,0.61,0.54,0.55,12
indian_pines,5,msobsdr3,0,0.63,0.6,0.57,13
indian_pines,5,msobsdr3,0,0.61,0.54,0.55,14
indian_pines,5,msobsdr3,0,0.63,0.56,0.57,15
indian_pines,5,msobsdr3,0,0.64,0.54,0.59,16
indian_pines,5,msobsdr3,0,0.61,0.56,0.56,17
indian_pines,5,msobsdr3,0,0.64,0.54,0.58,18
indian_pines,5,msobsdr3,0,0.63,0.58,0.58,19
indian_pines,6,msobsdr3,0,0.72,0.66,0.68,0
indian_pines,6,msobsdr3,0,0.7,0.7,0.66,1
indian_pines,6,msobsdr3,0,0.7,0.65,0.66,2
