dataset,target_size,algorithm,props,time,oa,aa,k,selected_bands,selected_weights
ghisaconus_health,2,c3,0,152.173,0.516,0.425,0.425,76|101,3.42187237739563|2.036013603210449
ghisaconus_health,3,c3,0,0.0,0.541,0.467,0.467,76|101|120,3.42187237739563|2.036013603210449|0.22683370113372803
ghisaconus_health,4,c3,0,0.0,0.566,0.507,0.507,32|76|101|120,0.12272347509860992|3.42187237739563|2.036013603210449|0.22683370113372803
ghisaconus_health,5,c3,0,0.0,0.57,0.513,0.513,32|33|76|101|120,0.12272347509860992|1.2136420011520386|3.42187237739563|2.036013603210449|0.22683370113372803
ghisaconus_health,6,c3,0,0.0,0.59,0.538,0.538,32|33|76|89|101|120,0.12272347509860992|1.2136420011520386|3.42187237739563|3.037106513977051|2.036013603210449|0.22683370113372803
ghisaconus_health,7,c3,0,0.0,0.637,0.595,0.595,32|33|40|76|89|101|120,0.12272347509860992|1.2136420011520386|0.3605126738548279|3.42187237739563|3.037106513977051|2.036013603210449|0.22683370113372803
ghisaconus_health,8,c3,0,0.0,0.674,0.628,0.628,1|32|33|40|76|89|101|120,0.14829802513122559|0.12272347509860992|1.2136420011520386|0.3605126738548279|3.42187237739563|3.037106513977051|2.036013603210449|0.22683370113372803
ghisaconus_health,9,c3,0,0.0,0.678,0.637,0.637,1|5|32|33|40|76|89|101|120,0.14829802513122559|0.4229317903518677|0.12272347509860992|1.2136420011520386|0.3605126738548279|3.42187237739563|3.037106513977051|2.036013603210449|0.22683370113372803
ghisaconus_health,10,c3,0,0.0,0.676,0.634,0.634,1|5|32|33|40|76|89|101|120|129,0.14829802513122559|0.4229317903518677|0.12272347509860992|1.2136420011520386|0.3605126738548279|3.42187237739563|3.037106513977051|2.036013603210449|0.22683370113372803|2.379601240158081
ghisaconus_health,11,c3,0,0.0,0.679,0.637,0.637,1|5|32|33|40|62|76|89|101|120|129,0.14829802513122559|0.4229317903518677|0.12272347509860992|1.2136420011520386|0.3605126738548279|0.7134220600128174|3.42187237739563|3.037106513977051|2.036013603210449|0.22683370113372803|2.379601240158081
ghisaconus_health,12,c3,0,0.0,0.677,0.634,0.634,1|5|32|33|40|57|62|76|89|101|120|129,0.14829802513122559|0.4229317903518677|0.12272347509860992|1.2136420011520386|0.3605126738548279|2.3562796115875244|0.7134220600128174|3.42187237739563|3.037106513977051|2.036013603210449|0.22683370113372803|2.379601240158081
ghisaconus_health,13,c3,0,0.0,0.678,0.634,0.634,1|5|32|33|40|57|62|76|89|97|101|120|129,0.14829802513122559|0.4229317903518677|0.12272347509860992|1.2136420011520386|0.3605126738548279|2.3562796115875244|0.7134220600128174|3.42187237739563|3.037106513977051|0.6710959672927856|2.036013603210449|0.22683370113372803|2.379601240158081
ghisaconus_health,14,c3,0,0.0,0.688,0.647,0.647,1|5|19|32|33|40|57|62|76|89|97|101|120|129,0.14829802513122559|0.4229317903518677|1.663240671157837|0.12272347509860992|1.2136420011520386|0.3605126738548279|2.3562796115875244|0.7134220600128174|3.42187237739563|3.037106513977051|0.6710959672927856|2.036013603210449|0.22683370113372803|2.379601240158081
ghisaconus_health,15,c3,0,0.0,0.691,0.648,0.648,1|5|19|32|33|40|57|62|74|76|89|97|101|120|129,0.14829802513122559|0.4229317903518677|1.663240671157837|0.12272347509860992|1.2136420011520386|0.3605126738548279|2.3562796115875244|0.7134220600128174|0.9024245142936707|3.42187237739563|3.037106513977051|0.6710959672927856|2.036013603210449|0.22683370113372803|2.379601240158081
ghisaconus_health,16,c3,0,0.0,0.692,0.649,0.649,1|5|19|32|33|40|44|57|62|74|76|89|97|101|120|129,0.14829802513122559|0.4229317903518677|1.663240671157837|0.12272347509860992|1.2136420011520386|0.3605126738548279|0.25323012471199036|2.3562796115875244|0.7134220600128174|0.9024245142936707|3.42187237739563|3.037106513977051|0.6710959672927856|2.036013603210449|0.22683370113372803|2.379601240158081
ghisaconus_health,17,c3,0,0.0,0.691,0.648,0.648,1|5|19|32|33|40|44|57|62|74|76|89|97|101|117|120|129,0.14829802513122559|0.4229317903518677|1.663240671157837|0.12272347509860992|1.2136420011520386|0.3605126738548279|0.25323012471199036|2.3562796115875244|0.7134220600128174|0.9024245142936707|3.42187237739563|3.037106513977051|0.6710959672927856|2.036013603210449|1.065101146697998|0.22683370113372803|2.379601240158081
ghisaconus_health,18,c3,0,0.0,0.691,0.649,0.649,1|5|19|32|33|39|40|44|57|62|74|76|89|97|101|117|120|129,0.14829802513122559|0.4229317903518677|1.663240671157837|0.12272347509860992|1.2136420011520386|1.570766806602478|0.3605126738548279|0.25323012471199036|2.3562796115875244|0.7134220600128174|0.9024245142936707|3.42187237739563|3.037106513977051|0.6710959672927856|2.036013603210449|1.065101146697998|0.22683370113372803|2.379601240158081
