dataset,target_size,algorithm,props,time,oa,aa,k,selected_bands,selected_weights
ghisaconus_health,2,c2,0,235.57,0.521,0.424,0.424,40|120,3.7578611373901367|1.6404191255569458
ghisaconus_health,3,c2,0,0.0,0.542,0.486,0.486,40|101|120,3.7578611373901367|0.0740511491894722|1.6404191255569458
ghisaconus_health,4,c2,0,0.0,0.543,0.49,0.49,40|101|120|129,3.7578611373901367|0.0740511491894722|1.6404191255569458|0.1652803122997284
ghisaconus_health,5,c2,0,0.0,0.625,0.569,0.569,11|40|101|120|129,1.1753761768341064|3.7578611373901367|0.0740511491894722|1.6404191255569458|0.1652803122997284
ghisaconus_health,6,c2,0,0.0,0.63,0.581,0.581,11|40|97|101|120|129,1.1753761768341064|3.7578611373901367|2.828279972076416|0.0740511491894722|1.6404191255569458|0.1652803122997284
ghisaconus_health,7,c2,0,0.0,0.615,0.571,0.571,11|40|49|97|101|120|129,1.1753761768341064|3.7578611373901367|0.051857925951480865|2.828279972076416|0.0740511491894722|1.6404191255569458|0.1652803122997284
ghisaconus_health,8,c2,0,0.0,0.625,0.581,0.581,1|11|40|49|97|101|120|129,0.12198904901742935|1.1753761768341064|3.7578611373901367|0.051857925951480865|2.828279972076416|0.0740511491894722|1.6404191255569458|0.1652803122997284
ghisaconus_health,9,c2,0,0.0,0.647,0.603,0.603,1|11|20|40|49|97|101|120|129,0.12198904901742935|1.1753761768341064|1.5476000308990479|3.7578611373901367|0.051857925951480865|2.828279972076416|0.0740511491894722|1.6404191255569458|0.1652803122997284
ghisaconus_health,10,c2,0,0.0,0.664,0.624,0.624,1|11|20|32|40|49|97|101|120|129,0.12198904901742935|1.1753761768341064|1.5476000308990479|1.3141908645629883|3.7578611373901367|0.051857925951480865|2.828279972076416|0.0740511491894722|1.6404191255569458|0.1652803122997284
ghisaconus_health,11,c2,0,0.0,0.677,0.636,0.636,1|11|20|32|40|49|63|97|101|120|129,0.12198904901742935|1.1753761768341064|1.5476000308990479|1.3141908645629883|3.7578611373901367|0.051857925951480865|0.49761471152305603|2.828279972076416|0.0740511491894722|1.6404191255569458|0.1652803122997284
ghisaconus_health,12,c2,0,0.0,0.679,0.636,0.636,1|11|20|32|40|49|63|75|97|101|120|129,0.12198904901742935|1.1753761768341064|1.5476000308990479|1.3141908645629883|3.7578611373901367|0.051857925951480865|0.49761471152305603|4.706893444061279|2.828279972076416|0.0740511491894722|1.6404191255569458|0.1652803122997284
