dataset,target_size,algorithm,time,oa,aa,k,selected_bands,selected_weights
indian_pines,2,skipattn2,87.727,0.54,0.403,0.403,18|126,2.3517837524414062|2.69138240814209
indian_pines,3,skipattn2,49.562,0.609,0.491,0.491,99|124|173,1.4065922498703003|1.636023998260498|1.3465209007263184
indian_pines,4,skipattn2,44.753,0.651,0.59,0.59,10|38|113|132,2.3348748683929443|2.4004204273223877|1.892187476158142|2.5578951835632324
indian_pines,5,skipattn2,70.708,0.685,0.634,0.634,15|69|114|130|137,1.907029628753662|2.085129737854004|1.7382570505142212|2.2251453399658203|1.6558756828308105
indian_pines,6,skipattn2,72.656,0.728,0.682,0.682,7|26|64|115|128|153,1.730143427848816|1.0241944789886475|1.376024603843689|1.8308542966842651|1.0432965755462646|1.5732612609863281
indian_pines,7,skipattn2,45.864,0.701,0.657,0.657,6|17|99|116|132|149|171,0.6318992972373962|1.6521562337875366|2.3930742740631104|1.8380674123764038|1.986672043800354|1.3978321552276611|1.341456413269043
indian_pines,8,skipattn2,77.262,0.705,0.649,0.649,24|34|44|121|126|135|150|169,2.1669762134552|2.0641636848449707|1.6666576862335205|2.1226210594177246|1.1754368543624878|1.1012452840805054|2.4531288146972656|2.568371295928955
indian_pines,9,skipattn2,77.807,0.728,0.696,0.696,17|35|99|112|129|159|164|176|181,3.4299633502960205|2.669553518295288|3.1844680309295654|1.6798292398452759|4.796244144439697|2.7967171669006348|0.982020378112793|5.640637397766113|1.8870322704315186
indian_pines,10,skipattn2,53.102,0.757,0.727,0.727,8|16|35|43|58|101|124|148|159|171,0.30272993445396423|0.5286889672279358|0.19427232444286346|0.5161808133125305|0.20543290674686432|0.33341366052627563|0.41294968128204346|0.3561813533306122|0.4903450906276703|0.2802114188671112
indian_pines,11,skipattn2,78.517,0.75,0.723,0.723,7|14|36|43|99|113|124|131|149|159|173,0.41893598437309265|0.4883016347885132|0.33360233902931213|0.5416117906570435|0.6455426812171936|0.711709201335907|0.4852665364742279|0.0626860186457634|0.4772840738296509|0.9169145226478577|0.4916231334209442
indian_pines,12,skipattn2,95.718,0.723,0.689,0.689,36|49|59|68|101|114|127|130|149|159|162|172,0.6971065998077393|1.9767553806304932|1.1559460163116455|1.3330984115600586|0.2997708320617676|1.386750340461731|1.3183003664016724|1.052592158317566|1.342278003692627|0.7902225255966187|0.8238537311553955|0.8649012446403503
indian_pines,13,skipattn2,66.357,0.755,0.73,0.73,6|15|18|36|57|69|81|99|114|126|162|168|171,1.3347973823547363|0.881302535533905|1.0213477611541748|0.6797629594802856|0.6631073951721191|0.8644179105758667|1.0300530195236206|0.6713337898254395|0.16978226602077484|1.1731010675430298|1.2152247428894043|1.243114948272705|0.004845188930630684
indian_pines,14,skipattn2,89.158,0.763,0.729,0.729,18|36|42|68|112|124|127|130|148|154|163|166|171|177,1.0872005224227905|0.4437808096408844|0.0034527070820331573|0.8306512832641602|0.7283313274383545|0.5789397358894348|0.3445645570755005|0.5031641125679016|0.4709930121898651|0.6233553290367126|0.5787791013717651|0.7590912580490112|1.100083589553833|0.7685785889625549
indian_pines,15,skipattn2,96.122,0.761,0.73,0.73,18|36|42|68|112|124|127|130|148|154|163|166|171|177|183,1.0872005224227905|0.4437808096408844|0.0034527070820331573|0.8306512832641602|0.7283313274383545|0.5789397358894348|0.3445645570755005|0.5031641125679016|0.4709930121898651|0.6233553290367126|0.5787791013717651|0.7590912580490112|1.100083589553833|0.7685785889625549|0.47687873244285583
indian_pines,16,skipattn2,68.244,0.759,0.73,0.73,18|36|42|68|112|124|127|130|148|154|160|163|166|171|177|183,1.0872005224227905|0.4437808096408844|0.0034527070820331573|0.8306512832641602|0.7283313274383545|0.5789397358894348|0.3445645570755005|0.5031641125679016|0.4709930121898651|0.6233553290367126|0.4893694818019867|0.5787791013717651|0.7590912580490112|1.100083589553833|0.7685785889625549|0.47687873244285583
indian_pines,17,skipattn2,99.278,0.764,0.736,0.736,18|24|36|42|68|112|124|127|130|148|154|160|163|166|171|177|183,1.0872005224227905|0.006408913992345333|0.4437808096408844|0.0034527070820331573|0.8306512832641602|0.7283313274383545|0.5789397358894348|0.3445645570755005|0.5031641125679016|0.4709930121898651|0.6233553290367126|0.4893694818019867|0.5787791013717651|0.7590912580490112|1.100083589553833|0.7685785889625549|0.47687873244285583
indian_pines,18,skipattn2,102.984,0.769,0.74,0.74,15|18|24|36|42|68|112|124|127|130|148|154|160|163|166|171|177|183,0.003525197971612215|1.0872005224227905|0.006408913992345333|0.4437808096408844|0.0034527070820331573|0.8306512832641602|0.7283313274383545|0.5789397358894348|0.3445645570755005|0.5031641125679016|0.4709930121898651|0.6233553290367126|0.4893694818019867|0.5787791013717651|0.7590912580490112|1.100083589553833|0.7685785889625549|0.47687873244285583
indian_pines,19,skipattn2,60.126,0.768,0.738,0.738,15|18|24|36|42|68|112|124|127|130|148|154|160|163|166|168|171|177|183,0.003525197971612215|1.0872005224227905|0.006408913992345333|0.4437808096408844|0.0034527070820331573|0.8306512832641602|0.7283313274383545|0.5789397358894348|0.3445645570755005|0.5031641125679016|0.4709930121898651|0.6233553290367126|0.4893694818019867|0.5787791013717651|0.7590912580490112|0.0018023495795205235|1.100083589553833|0.7685785889625549|0.47687873244285583
indian_pines,20,skipattn2,86.576,0.772,0.745,0.745,6|15|18|24|36|42|68|112|124|127|130|148|154|160|163|166|168|171|177|183,0.5217602849006653|0.003525197971612215|1.0872005224227905|0.006408913992345333|0.4437808096408844|0.0034527070820331573|0.8306512832641602|0.7283313274383545|0.5789397358894348|0.3445645570755005|0.5031641125679016|0.4709930121898651|0.6233553290367126|0.4893694818019867|0.5787791013717651|0.7590912580490112|0.0018023495795205235|1.100083589553833|0.7685785889625549|0.47687873244285583
indian_pines,21,skipattn2,112.322,0.773,0.744,0.744,6|15|18|24|36|42|68|112|124|127|130|148|154|160|163|166|168|171|174|177|183,0.5217602849006653|0.003525197971612215|1.0872005224227905|0.006408913992345333|0.4437808096408844|0.0034527070820331573|0.8306512832641602|0.7283313274383545|0.5789397358894348|0.3445645570755005|0.5031641125679016|0.4709930121898651|0.6233553290367126|0.4893694818019867|0.5787791013717651|0.7590912580490112|0.0018023495795205235|1.100083589553833|0.014155244454741478|0.7685785889625549|0.47687873244285583
indian_pines,22,skipattn2,55.805,0.775,0.747,0.747,6|15|18|24|36|42|68|101|112|124|127|130|148|154|160|163|166|168|171|174|177|183,0.5217602849006653|0.003525197971612215|1.0872005224227905|0.006408913992345333|0.4437808096408844|0.0034527070820331573|0.8306512832641602|0.0021508822683244944|0.7283313274383545|0.5789397358894348|0.3445645570755005|0.5031641125679016|0.4709930121898651|0.6233553290367126|0.4893694818019867|0.5787791013717651|0.7590912580490112|0.0018023495795205235|1.100083589553833|0.014155244454741478|0.7685785889625549|0.47687873244285583
indian_pines,23,skipattn2,84.954,0.776,0.747,0.747,6|15|18|24|36|42|68|101|112|124|127|130|139|148|154|160|163|166|168|171|174|177|183,0.5217602849006653|0.003525197971612215|1.0872005224227905|0.006408913992345333|0.4437808096408844|0.0034527070820331573|0.8306512832641602|0.0021508822683244944|0.7283313274383545|0.5789397358894348|0.3445645570755005|0.5031641125679016|1.042419195175171|0.4709930121898651|0.6233553290367126|0.4893694818019867|0.5787791013717651|0.7590912580490112|0.0018023495795205235|1.100083589553833|0.014155244454741478|0.7685785889625549|0.47687873244285583
indian_pines,24,skipattn2,112.612,0.776,0.744,0.744,6|15|18|21|24|36|42|68|101|112|124|127|130|139|148|154|160|163|166|168|171|174|177|183,0.5217602849006653|0.003525197971612215|1.0872005224227905|0.0063162497244775295|0.006408913992345333|0.4437808096408844|0.0034527070820331573|0.8306512832641602|0.0021508822683244944|0.7283313274383545|0.5789397358894348|0.3445645570755005|0.5031641125679016|1.042419195175171|0.4709930121898651|0.6233553290367126|0.4893694818019867|0.5787791013717651|0.7590912580490112|0.0018023495795205235|1.100083589553833|0.014155244454741478|0.7685785889625549|0.47687873244285583
indian_pines,25,skipattn2,58.722,0.779,0.749,0.749,6|15|18|21|24|36|42|68|80|101|112|124|127|130|139|148|154|160|163|166|168|171|174|177|183,0.5217602849006653|0.003525197971612215|1.0872005224227905|0.0063162497244775295|0.006408913992345333|0.4437808096408844|0.0034527070820331573|0.8306512832641602|0.004443400539457798|0.0021508822683244944|0.7283313274383545|0.5789397358894348|0.3445645570755005|0.5031641125679016|1.042419195175171|0.4709930121898651|0.6233553290367126|0.4893694818019867|0.5787791013717651|0.7590912580490112|0.0018023495795205235|1.100083589553833|0.014155244454741478|0.7685785889625549|0.47687873244285583
indian_pines,26,skipattn2,108.961,0.782,0.742,0.742,6|15|18|21|24|30|36|42|68|80|101|112|124|127|130|139|148|154|160|163|166|168|171|174|177|183,0.5217602849006653|0.003525197971612215|1.0872005224227905|0.0063162497244775295|0.006408913992345333|0.38645967841148376|0.4437808096408844|0.0034527070820331573|0.8306512832641602|0.004443400539457798|0.0021508822683244944|0.7283313274383545|0.5789397358894348|0.3445645570755005|0.5031641125679016|1.042419195175171|0.4709930121898651|0.6233553290367126|0.4893694818019867|0.5787791013717651|0.7590912580490112|0.0018023495795205235|1.100083589553833|0.014155244454741478|0.7685785889625549|0.47687873244285583
indian_pines,27,skipattn2,142.766,0.784,0.746,0.746,6|15|18|21|24|30|33|36|42|68|80|101|112|124|127|130|139|148|154|160|163|166|168|171|174|177|183,0.5217602849006653|0.003525197971612215|1.0872005224227905|0.0063162497244775295|0.006408913992345333|0.38645967841148376|0.5840634107589722|0.4437808096408844|0.0034527070820331573|0.8306512832641602|0.004443400539457798|0.0021508822683244944|0.7283313274383545|0.5789397358894348|0.3445645570755005|0.5031641125679016|1.042419195175171|0.4709930121898651|0.6233553290367126|0.4893694818019867|0.5787791013717651|0.7590912580490112|0.0018023495795205235|1.100083589553833|0.014155244454741478|0.7685785889625549|0.47687873244285583
indian_pines,28,skipattn2,91.527,0.786,0.746,0.746,6|15|18|21|24|30|33|36|42|59|68|80|101|112|124|127|130|139|148|154|160|163|166|168|171|174|177|183,0.5217602849006653|0.003525197971612215|1.0872005224227905|0.0063162497244775295|0.006408913992345333|0.38645967841148376|0.5840634107589722|0.4437808096408844|0.0034527070820331573|0.2695292830467224|0.8306512832641602|0.004443400539457798|0.0021508822683244944|0.7283313274383545|0.5789397358894348|0.3445645570755005|0.5031641125679016|1.042419195175171|0.4709930121898651|0.6233553290367126|0.4893694818019867|0.5787791013717651|0.7590912580490112|0.0018023495795205235|1.100083589553833|0.014155244454741478|0.7685785889625549|0.47687873244285583
indian_pines,29,skipattn2,244.251,0.784,0.742,0.742,6|15|18|21|24|30|33|36|42|59|68|80|101|112|124|127|130|139|142|148|154|160|163|166|168|171|174|177|183,0.5217602849006653|0.003525197971612215|1.0872005224227905|0.0063162497244775295|0.006408913992345333|0.38645967841148376|0.5840634107589722|0.4437808096408844|0.0034527070820331573|0.2695292830467224|0.8306512832641602|0.004443400539457798|0.0021508822683244944|0.7283313274383545|0.5789397358894348|0.3445645570755005|0.5031641125679016|1.042419195175171|0.3955281674861908|0.4709930121898651|0.6233553290367126|0.4893694818019867|0.5787791013717651|0.7590912580490112|0.0018023495795205235|1.100083589553833|0.014155244454741478|0.7685785889625549|0.47687873244285583
indian_pines,30,skipattn2,204.415,0.786,0.745,0.745,6|15|18|21|24|27|30|33|36|42|59|68|80|101|112|124|127|130|139|142|148|154|160|163|166|168|171|174|177|183,0.5217602849006653|0.003525197971612215|1.0872005224227905|0.0063162497244775295|0.006408913992345333|0.007682351395487785|0.38645967841148376|0.5840634107589722|0.4437808096408844|0.0034527070820331573|0.2695292830467224|0.8306512832641602|0.004443400539457798|0.0021508822683244944|0.7283313274383545|0.5789397358894348|0.3445645570755005|0.5031641125679016|1.042419195175171|0.3955281674861908|0.4709930121898651|0.6233553290367126|0.4893694818019867|0.5787791013717651|0.7590912580490112|0.0018023495795205235|1.100083589553833|0.014155244454741478|0.7685785889625549|0.47687873244285583
paviaU,2,skipattn2,285.355,0.682,0.462,0.462,83|93,1.7598813772201538|1.9836674928665161
paviaU,3,skipattn2,336.097,0.776,0.654,0.654,64|83|96,1.1355153322219849|1.04673171043396|0.7665575742721558
paviaU,4,skipattn2,306.895,0.836,0.747,0.747,63|68|83|97,1.0244513750076294|0.6015353798866272|1.3101717233657837|0.9031914472579956
paviaU,5,skipattn2,311.316,0.885,0.819,0.819,63|71|82|86|98,0.5696759819984436|1.00701105594635|0.8081274628639221|0.651738703250885|1.3740615844726562
paviaU,6,skipattn2,323.592,0.846,0.775,0.775,69|72|76|86|95|99,0.22430996596813202|1.0543915033340454|0.6036887168884277|0.2511870861053467|0.13367821276187897|0.9870214462280273
paviaU,7,skipattn2,309.838,0.863,0.822,0.822,12|35|61|64|76|85|99,0.9469485878944397|1.2472777366638184|1.443837285041809|0.4417780637741089|0.9230837821960449|0.5112946629524231|1.1746567487716675
paviaU,8,skipattn2,259.876,0.869,0.834,0.834,12|26|35|61|64|76|85|99,0.9469485878944397|0.6513169407844543|1.2472777366638184|1.443837285041809|0.4417780637741089|0.9230837821960449|0.5112946629524231|1.1746567487716675
paviaU,9,skipattn2,351.929,0.875,0.84,0.84,12|26|35|61|64|73|76|85|99,0.9469485878944397|0.6513169407844543|1.2472777366638184|1.443837285041809|0.4417780637741089|1.4004719257354736|0.9230837821960449|0.5112946629524231|1.1746567487716675
paviaU,10,skipattn2,392.222,0.877,0.842,0.842,12|26|32|35|61|64|73|76|85|99,0.9469485878944397|0.6513169407844543|0.8680890798568726|1.2472777366638184|1.443837285041809|0.4417780637741089|1.4004719257354736|0.9230837821960449|0.5112946629524231|1.1746567487716675
paviaU,11,skipattn2,269.037,0.889,0.855,0.855,12|26|32|35|61|64|70|73|76|85|99,0.9469485878944397|0.6513169407844543|0.8680890798568726|1.2472777366638184|1.443837285041809|0.4417780637741089|1.3268102407455444|1.4004719257354736|0.9230837821960449|0.5112946629524231|1.1746567487716675
paviaU,12,skipattn2,312.743,0.893,0.863,0.863,12|18|26|32|35|61|64|70|73|76|85|99,0.9469485878944397|1.4994579553604126|0.6513169407844543|0.8680890798568726|1.2472777366638184|1.443837285041809|0.4417780637741089|1.3268102407455444|1.4004719257354736|0.9230837821960449|0.5112946629524231|1.1746567487716675
paviaU,13,skipattn2,386.72,0.904,0.874,0.874,12|18|26|32|35|61|64|67|70|73|76|85|99,0.9469485878944397|1.4994579553604126|0.6513169407844543|0.8680890798568726|1.2472777366638184|1.443837285041809|0.4417780637741089|1.0831775665283203|1.3268102407455444|1.4004719257354736|0.9230837821960449|0.5112946629524231|1.1746567487716675
paviaU,14,skipattn2,315.327,0.907,0.878,0.878,6|12|18|26|32|35|61|64|67|70|73|76|85|99,0.35042187571525574|0.9469485878944397|1.4994579553604126|0.6513169407844543|0.8680890798568726|1.2472777366638184|1.443837285041809|0.4417780637741089|1.0831775665283203|1.3268102407455444|1.4004719257354736|0.9230837821960449|0.5112946629524231|1.1746567487716675
paviaU,15,skipattn2,246.971,0.907,0.878,0.878,6|12|18|26|32|35|55|61|64|67|70|73|76|85|99,0.35042187571525574|0.9469485878944397|1.4994579553604126|0.6513169407844543|0.8680890798568726|1.2472777366638184|0.5627643465995789|1.443837285041809|0.4417780637741089|1.0831775665283203|1.3268102407455444|1.4004719257354736|0.9230837821960449|0.5112946629524231|1.1746567487716675
paviaU,16,skipattn2,248.692,0.911,0.884,0.884,6|12|18|26|32|35|55|61|64|67|70|73|76|85|96|99,0.35042187571525574|0.9469485878944397|1.4994579553604126|0.6513169407844543|0.8680890798568726|1.2472777366638184|0.5627643465995789|1.443837285041809|0.4417780637741089|1.0831775665283203|1.3268102407455444|1.4004719257354736|0.9230837821960449|0.5112946629524231|0.08888863027095795|1.1746567487716675
paviaU,17,skipattn2,168.135,0.911,0.884,0.884,6|12|18|26|32|35|38|55|61|64|67|70|73|76|85|96|99,0.35042187571525574|0.9469485878944397|1.4994579553604126|0.6513169407844543|0.8680890798568726|1.2472777366638184|0.08954376727342606|0.5627643465995789|1.443837285041809|0.4417780637741089|1.0831775665283203|1.3268102407455444|1.4004719257354736|0.9230837821960449|0.5112946629524231|0.08888863027095795|1.1746567487716675
paviaU,18,skipattn2,237.591,0.921,0.897,0.897,6|12|18|26|32|35|38|55|61|64|67|70|73|76|82|85|96|99,0.35042187571525574|0.9469485878944397|1.4994579553604126|0.6513169407844543|0.8680890798568726|1.2472777366638184|0.08954376727342606|0.5627643465995789|1.443837285041809|0.4417780637741089|1.0831775665283203|1.3268102407455444|1.4004719257354736|0.9230837821960449|0.07741611450910568|0.5112946629524231|0.08888863027095795|1.1746567487716675
paviaU,19,skipattn2,195.936,0.922,0.897,0.897,6|12|18|20|26|32|35|38|55|61|64|67|70|73|76|82|85|96|99,0.35042187571525574|0.9469485878944397|1.4994579553604126|1.1629810333251953|0.6513169407844543|0.8680890798568726|1.2472777366638184|0.08954376727342606|0.5627643465995789|1.443837285041809|0.4417780637741089|1.0831775665283203|1.3268102407455444|1.4004719257354736|0.9230837821960449|0.07741611450910568|0.5112946629524231|0.08888863027095795|1.1746567487716675
paviaU,20,skipattn2,213.891,0.921,0.897,0.897,3|6|12|18|20|26|32|35|38|55|61|64|67|70|73|76|82|85|96|99,0.20624001324176788|0.35042187571525574|0.9469485878944397|1.4994579553604126|1.1629810333251953|0.6513169407844543|0.8680890798568726|1.2472777366638184|0.08954376727342606|0.5627643465995789|1.443837285041809|0.4417780637741089|1.0831775665283203|1.3268102407455444|1.4004719257354736|0.9230837821960449|0.07741611450910568|0.5112946629524231|0.08888863027095795|1.1746567487716675
paviaU,21,skipattn2,254.919,0.921,0.897,0.897,3|6|12|18|20|26|29|32|35|38|55|61|64|67|70|73|76|82|85|96|99,0.20624001324176788|0.35042187571525574|0.9469485878944397|1.4994579553604126|1.1629810333251953|0.6513169407844543|1.712352991104126|0.8680890798568726|1.2472777366638184|0.08954376727342606|0.5627643465995789|1.443837285041809|0.4417780637741089|1.0831775665283203|1.3268102407455444|1.4004719257354736|0.9230837821960449|0.07741611450910568|0.5112946629524231|0.08888863027095795|1.1746567487716675
paviaU,22,skipattn2,219.82,0.92,0.896,0.896,3|6|12|18|20|26|29|32|35|38|55|61|64|67|70|73|76|82|85|90|96|99,0.20624001324176788|0.35042187571525574|0.9469485878944397|1.4994579553604126|1.1629810333251953|0.6513169407844543|1.712352991104126|0.8680890798568726|1.2472777366638184|0.08954376727342606|0.5627643465995789|1.443837285041809|0.4417780637741089|1.0831775665283203|1.3268102407455444|1.4004719257354736|0.9230837821960449|0.07741611450910568|0.5112946629524231|1.966951608657837|0.08888863027095795|1.1746567487716675
paviaU,23,skipattn2,418.713,0.92,0.896,0.896,3|6|12|18|20|23|26|29|32|35|38|55|61|64|67|70|73|76|82|85|90|96|99,0.20624001324176788|0.35042187571525574|0.9469485878944397|1.4994579553604126|1.1629810333251953|1.2077205181121826|0.6513169407844543|1.712352991104126|0.8680890798568726|1.2472777366638184|0.08954376727342606|0.5627643465995789|1.443837285041809|0.4417780637741089|1.0831775665283203|1.3268102407455444|1.4004719257354736|0.9230837821960449|0.07741611450910568|0.5112946629524231|1.966951608657837|0.08888863027095795|1.1746567487716675
paviaU,24,skipattn2,265.976,0.92,0.896,0.896,3|6|12|18|20|23|26|29|32|35|38|55|61|64|67|70|73|76|82|85|87|90|96|99,0.20624001324176788|0.35042187571525574|0.9469485878944397|1.4994579553604126|1.1629810333251953|1.2077205181121826|0.6513169407844543|1.712352991104126|0.8680890798568726|1.2472777366638184|0.08954376727342606|0.5627643465995789|1.443837285041809|0.4417780637741089|1.0831775665283203|1.3268102407455444|1.4004719257354736|0.9230837821960449|0.07741611450910568|0.5112946629524231|1.312474250793457|1.966951608657837|0.08888863027095795|1.1746567487716675
paviaU,25,skipattn2,368.706,0.92,0.897,0.897,3|6|12|18|20|23|26|29|32|35|38|44|55|61|64|67|70|73|76|82|85|87|90|96|99,0.20624001324176788|0.35042187571525574|0.9469485878944397|1.4994579553604126|1.1629810333251953|1.2077205181121826|0.6513169407844543|1.712352991104126|0.8680890798568726|1.2472777366638184|0.08954376727342606|1.3500816822052002|0.5627643465995789|1.443837285041809|0.4417780637741089|1.0831775665283203|1.3268102407455444|1.4004719257354736|0.9230837821960449|0.07741611450910568|0.5112946629524231|1.312474250793457|1.966951608657837|0.08888863027095795|1.1746567487716675
paviaU,26,skipattn2,361.478,0.921,0.898,0.898,3|6|12|18|20|23|26|29|32|35|38|44|55|61|64|67|70|73|76|79|82|85|87|90|96|99,0.20624001324176788|0.35042187571525574|0.9469485878944397|1.4994579553604126|1.1629810333251953|1.2077205181121826|0.6513169407844543|1.712352991104126|0.8680890798568726|1.2472777366638184|0.08954376727342606|1.3500816822052002|0.5627643465995789|1.443837285041809|0.4417780637741089|1.0831775665283203|1.3268102407455444|1.4004719257354736|0.9230837821960449|2.2207937240600586|0.07741611450910568|0.5112946629524231|1.312474250793457|1.966951608657837|0.08888863027095795|1.1746567487716675
paviaU,27,skipattn2,256.677,0.921,0.898,0.898,3|6|12|15|18|20|23|26|29|32|35|38|44|55|61|64|67|70|73|76|79|82|85|87|90|96|99,0.20624001324176788|0.35042187571525574|0.9469485878944397|0.554066002368927|1.4994579553604126|1.1629810333251953|1.2077205181121826|0.6513169407844543|1.712352991104126|0.8680890798568726|1.2472777366638184|0.08954376727342606|1.3500816822052002|0.5627643465995789|1.443837285041809|0.4417780637741089|1.0831775665283203|1.3268102407455444|1.4004719257354736|0.9230837821960449|2.2207937240600586|0.07741611450910568|0.5112946629524231|1.312474250793457|1.966951608657837|0.08888863027095795|1.1746567487716675
paviaU,28,skipattn2,374.33,0.921,0.898,0.898,3|6|9|12|15|18|20|23|26|29|32|35|38|44|55|61|64|67|70|73|76|79|82|85|87|90|96|99,0.20624001324176788|0.35042187571525574|0.9942607283592224|0.9469485878944397|0.554066002368927|1.4994579553604126|1.1629810333251953|1.2077205181121826|0.6513169407844543|1.712352991104126|0.8680890798568726|1.2472777366638184|0.08954376727342606|1.3500816822052002|0.5627643465995789|1.443837285041809|0.4417780637741089|1.0831775665283203|1.3268102407455444|1.4004719257354736|0.9230837821960449|2.2207937240600586|0.07741611450910568|0.5112946629524231|1.312474250793457|1.966951608657837|0.08888863027095795|1.1746567487716675
paviaU,29,skipattn2,173.283,0.921,0.898,0.898,3|6|9|12|15|18|20|23|26|29|32|35|38|41|44|55|61|64|67|70|73|76|79|82|85|87|90|96|99,0.20624001324176788|0.35042187571525574|0.9942607283592224|0.9469485878944397|0.554066002368927|1.4994579553604126|1.1629810333251953|1.2077205181121826|0.6513169407844543|1.712352991104126|0.8680890798568726|1.2472777366638184|0.08954376727342606|1.5840636491775513|1.3500816822052002|0.5627643465995789|1.443837285041809|0.4417780637741089|1.0831775665283203|1.3268102407455444|1.4004719257354736|0.9230837821960449|2.2207937240600586|0.07741611450910568|0.5112946629524231|1.312474250793457|1.966951608657837|0.08888863027095795|1.1746567487716675
paviaU,30,skipattn2,224.123,0.92,0.898,0.898,3|6|9|12|15|18|20|23|26|29|32|35|38|41|44|55|58|61|64|67|70|73|76|79|82|85|87|90|96|99,0.20624001324176788|0.35042187571525574|0.9942607283592224|0.9469485878944397|0.554066002368927|1.4994579553604126|1.1629810333251953|1.2077205181121826|0.6513169407844543|1.712352991104126|0.8680890798568726|1.2472777366638184|0.08954376727342606|1.5840636491775513|1.3500816822052002|0.5627643465995789|0.6035376191139221|1.443837285041809|0.4417780637741089|1.0831775665283203|1.3268102407455444|1.4004719257354736|0.9230837821960449|2.2207937240600586|0.07741611450910568|0.5112946629524231|1.312474250793457|1.966951608657837|0.08888863027095795|1.1746567487716675
salinas,2,skipattn2,191.4,0.782,0.794,0.794,19|110,0.7741897106170654|1.489078164100647
salinas,3,skipattn2,192.365,0.865,0.914,0.914,13|63|88,2.039341688156128|1.1210321187973022|0.9654985070228577
salinas,4,skipattn2,220.047,0.82,0.865,0.865,10|19|106|154,1.66144597530365|1.0385607481002808|1.4226046800613403|1.951741099357605
salinas,5,skipattn2,255.189,0.87,0.926,0.926,8|16|62|140|155,1.2326840162277222|1.0526553392410278|1.4610472917556763|1.6351398229599|1.2243309020996094
salinas,6,skipattn2,312.217,0.871,0.923,0.923,7|13|20|111|150|156,1.2804020643234253|0.4717593789100647|0.510476291179657|0.8480187654495239|1.3049477338790894|1.209520936012268
salinas,7,skipattn2,323.971,0.892,0.941,0.941,6|11|17|39|62|140|152,1.3899122476577759|1.7335132360458374|1.5039409399032593|1.127660870552063|1.8833889961242676|2.2372586727142334|0.9891542196273804
salinas,8,skipattn2,261.245,0.903,0.942,0.942,5|15|40|108|138|153|168|182,0.9764630794525146|1.3797327280044556|2.2352826595306396|2.8136966228485107|2.453575849533081|2.1343626976013184|2.0943422317504883|1.1152102947235107
salinas,9,skipattn2,254.133,0.918,0.954,0.954,5|13|18|53|62|92|136|149|158,0.4565790593624115|0.6672988533973694|0.20569956302642822|0.5689876079559326|0.1579434871673584|0.47572019696235657|0.663815975189209|0.6814319491386414|0.49648401141166687
salinas,10,skipattn2,309.931,0.91,0.953,0.953,4|16|20|32|36|83|95|139|151|154,0.7543349266052246|0.00947271753102541|0.04346833378076553|0.03308854252099991|0.04902810975909233|0.02602127008140087|0.5760738849639893|0.7693496346473694|0.7768762707710266|1.0718694925308228
salinas,11,skipattn2,358.552,0.915,0.953,0.953,4|7|18|33|36|61|79|83|108|134|152,0.843856930732727|1.4068548679351807|1.9667510986328125|0.016900820657610893|0.038415491580963135|1.5072197914123535|0.6877180337905884|0.05010727047920227|0.01961926557123661|1.8358794450759888|2.707686185836792
