fold,dataset,oa,aa,k
0,indian_pines,0.736,0.624,0.697
1,indian_pines,0.751,0.641,0.715
2,indian_pines,0.733,0.628,0.693
3,indian_pines,0.735,0.629,0.696
4,indian_pines,0.761,0.647,0.726
5,indian_pines,0.759,0.653,0.724
6,indian_pines,0.742,0.626,0.704
7,indian_pines,0.731,0.627,0.693
8,indian_pines,0.747,0.618,0.711
9,indian_pines,0.74,0.627,0.703
10,indian_pines,0.746,0.61,0.711
11,indian_pines,0.737,0.635,0.699
12,indian_pines,0.738,0.626,0.701
13,indian_pines,0.735,0.602,0.697
14,indian_pines,0.739,0.643,0.701
15,indian_pines,0.75,0.636,0.715
16,indian_pines,0.736,0.642,0.698
17,indian_pines,0.748,0.65,0.712
18,indian_pines,0.74,0.636,0.702
19,indian_pines,0.73,0.611,0.69
0,paviaU,0.923,0.908,0.898
1,paviaU,0.92,0.901,0.894
2,paviaU,0.921,0.904,0.895
3,paviaU,0.911,0.893,0.881
4,paviaU,0.92,0.894,0.894
5,paviaU,0.925,0.898,0.9
6,paviaU,0.925,0.902,0.9
7,paviaU,0.922,0.901,0.896
8,paviaU,0.92,0.898,0.894
9,paviaU,0.918,0.899,0.891
10,paviaU,0.921,0.9,0.895
11,paviaU,0.923,0.905,0.897
12,paviaU,0.914,0.893,0.886
13,paviaU,0.917,0.899,0.89
14,paviaU,0.926,0.905,0.902
15,paviaU,0.916,0.893,0.888
16,paviaU,0.923,0.91,0.898
17,paviaU,0.918,0.901,0.892
18,paviaU,0.916,0.901,0.888
19,paviaU,0.92,0.901,0.894
0,salinas,0.922,0.962,0.913
1,salinas,0.922,0.962,0.913
2,salinas,0.924,0.96,0.916
3,salinas,0.917,0.958,0.908
4,salinas,0.918,0.958,0.908
5,salinas,0.92,0.959,0.91
6,salinas,0.919,0.958,0.909
7,salinas,0.916,0.957,0.907
8,salinas,0.92,0.961,0.911
9,salinas,0.925,0.962,0.916
10,salinas,0.92,0.958,0.911
11,salinas,0.915,0.957,0.905
12,salinas,0.914,0.958,0.904
13,salinas,0.922,0.957,0.913
14,salinas,0.92,0.958,0.91
15,salinas,0.918,0.956,0.908
16,salinas,0.919,0.96,0.91
17,salinas,0.921,0.961,0.912
18,salinas,0.917,0.958,0.908
19,salinas,0.92,0.961,0.911
0,ghisaconus,0.715,0.64,0.599
1,ghisaconus,0.714,0.648,0.6
2,ghisaconus,0.739,0.661,0.634
3,ghisaconus,0.74,0.642,0.634
4,ghisaconus,0.718,0.633,0.607
5,ghisaconus,0.712,0.625,0.597
6,ghisaconus,0.717,0.657,0.607
7,ghisaconus,0.74,0.642,0.638
8,ghisaconus,0.72,0.631,0.609
9,ghisaconus,0.732,0.656,0.625
10,ghisaconus,0.731,0.643,0.621
11,ghisaconus,0.725,0.638,0.614
12,ghisaconus,0.738,0.686,0.636
13,ghisaconus,0.729,0.625,0.62
14,ghisaconus,0.728,0.66,0.62
15,ghisaconus,0.733,0.669,0.629
16,ghisaconus,0.718,0.644,0.606
17,ghisaconus,0.756,0.687,0.659
18,ghisaconus,0.728,0.692,0.622
19,ghisaconus,0.7,0.649,0.581
0,lucas_r,0.122,0.128,0
1,lucas_r,0.131,0.127,0
2,lucas_r,0.139,0.126,0
3,lucas_r,0.113,0.129,0
4,lucas_r,0.052,0.134,0
5,lucas_r,0.16,0.125,0
6,lucas_r,0.134,0.126,0
7,lucas_r,0.151,0.127,0
8,lucas_r,0.156,0.125,0
9,lucas_r,0.141,0.127,0
10,lucas_r,0.137,0.128,0
11,lucas_r,0.153,0.126,0
12,lucas_r,0.109,0.129,0
13,lucas_r,0.117,0.129,0
14,lucas_r,0.123,0.129,0
15,lucas_r,0.148,0.126,0
16,lucas_r,0.102,0.13,0
17,lucas_r,0.058,0.133,0
18,lucas_r,0.083,0.131,0
19,lucas_r,0.137,0.126,0
