dataset,target_size,algorithm,time,oa,aa,k,selected_bands,selected_weights
lucas_r,2,msobsdr,59.848,0.303,0.114,0.114,2500|3472,1|1
lucas_r,3,msobsdr,59.94,0.654,0.081,0.081,485|1226|2595,1|1|1
lucas_r,4,msobsdr,61.531,0.722,0.072,0.072,483|1273|2458|3460,1|1|1|1
lucas_r,5,msobsdr,65.409,0.764,0.067,0.067,447|1381|2024|2781|3460,1|1|1|1|1
lucas_r,6,msobsdr,67.587,0.775,0.065,0.065,427|1084|1886|2121|2977|3453,1|1|1|1|1|1
lucas_r,7,msobsdr,70.478,0.77,0.066,0.066,407|1097|1512|2019|2142|2990|3761,1|1|1|1|1|1|1
lucas_r,8,msobsdr,71.132,0.761,0.067,0.067,408|1051|1429|2022|2583|3445|3757,1|1|1|1|1|1|1
lucas_r,9,msobsdr,74.688,0.77,0.066,0.066,407|883|1074|1660|2022|2208|2770|3449|3810,1|1|1|1|1|1|1|1|1
lucas_r,10,msobsdr,77.777,0.764,0.066,0.066,415|776|1115|1658|1906|2020|2431|2987|3433|3805,1|1|1|1|1|1|1|1|1|1
lucas_r,11,msobsdr,78.628,0.767,0.066,0.066,417|781|1075|1472|1916|2020|2126|2178|2986|3435|3807,1|1|1|1|1|1|1|1|1|1|1
lucas_r,12,msobsdr,80.715,0.789,0.063,0.063,411|682|1144|1203|1887|2019|2123|2419|2461|3194|3425|3808,1|1|1|1|1|1|1|1|1|1|1|1
lucas_r,13,msobsdr,82.608,0.754,0.068,0.068,421|617|1113|1289|1678|1897|2020|2248|2298|2987|3401|3432|3806,1|1|1|1|1|1|1|1|1|1|1|1|1
lucas_r,14,msobsdr,85.168,0.77,0.066,0.066,438|489|1074|1142|1488|1920|2020|2134|2468|2987|3417|3807,1|1|1|1|1|1|1|1|1|1|1|1
lucas_r,15,msobsdr,87.989,0.772,0.065,0.065,416|491|1136|1157|1447|1630|1923|2014|2209|2349|2459|2985|3445|3616|3809,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
lucas_r,16,msobsdr,92.681,0.765,0.066,0.066,428|472|864|1095|1302|1631|2019|2131|2134|2977|3184|3408|3741|3802,1|1|1|1|1|1|1|1|1|1|1|1|1|1
lucas_r,17,msobsdr,95.658,0.756,0.067,0.067,425|482|767|1086|1118|1449|1878|1920|2020|2271|2298|2342|2987|3408|3412|3738|3803,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
lucas_r,18,msobsdr,97.56,0.759,0.067,0.067,435|468|702|1119|1236|1616|1708|2006|2036|2208|2223|2268|2686|2989|3405|3411|3745|3799,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
lucas_r,19,msobsdr,98.114,0.763,0.066,0.066,424|438|740|1144|1189|1566|1610|1769|2019|2020|2133|2247|2402|2458|2988|3410|3721|3806,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
lucas_r,20,msobsdr,102.625,0.778,0.064,0.064,421|460|620|1072|1111|1381|1696|1918|1990|2011|2033|2049|2133|2135|2925|3186|3394|3426|3751|3752,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
lucas_r,21,msobsdr,111.513,0.759,0.067,0.067,424|447|658|1065|1115|1150|1572|1604|1897|2011|2030|2116|2155|2416|2457|2988|3371|3408|3410|3794|3811,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
