fold,dataset,oa,aa,k
0,indian_pines,0.745,0.626,0.707
1,indian_pines,0.737,0.63,0.698
2,indian_pines,0.747,0.63,0.709
3,indian_pines,0.738,0.598,0.699
4,indian_pines,0.734,0.592,0.695
5,indian_pines,0.751,0.615,0.714
6,indian_pines,0.727,0.631,0.687
7,indian_pines,0.744,0.617,0.707
8,indian_pines,0.727,0.61,0.688
9,indian_pines,0.746,0.608,0.709
10,indian_pines,0.738,0.607,0.701
11,indian_pines,0.744,0.603,0.706
12,indian_pines,0.746,0.617,0.708
13,indian_pines,0.729,0.591,0.69
14,indian_pines,0.739,0.624,0.7
15,indian_pines,0.744,0.621,0.706
16,indian_pines,0.742,0.625,0.705
17,indian_pines,0.723,0.639,0.682
18,indian_pines,0.737,0.623,0.699
19,indian_pines,0.726,0.593,0.687
0,paviaU,0.913,0.884,0.885
1,paviaU,0.922,0.901,0.896
2,paviaU,0.922,0.903,0.896
3,paviaU,0.923,0.904,0.898
4,paviaU,0.915,0.889,0.886
5,paviaU,0.915,0.892,0.887
6,paviaU,0.924,0.903,0.899
7,paviaU,0.919,0.895,0.893
8,paviaU,0.92,0.892,0.893
9,paviaU,0.916,0.892,0.888
10,paviaU,0.921,0.9,0.895
11,paviaU,0.924,0.902,0.899
12,paviaU,0.926,0.903,0.901
13,paviaU,0.92,0.9,0.893
14,paviaU,0.922,0.899,0.897
15,paviaU,0.925,0.901,0.9
16,paviaU,0.92,0.901,0.894
17,paviaU,0.927,0.905,0.903
18,paviaU,0.924,0.905,0.899
19,paviaU,0.919,0.901,0.892
