fold,dataset,oa,aa,k
0,indian_pines,0.731,0.597,0.692
1,indian_pines,0.74,0.631,0.702
2,indian_pines,0.74,0.628,0.702
3,indian_pines,0.743,0.637,0.706
4,indian_pines,0.744,0.607,0.707
5,indian_pines,0.754,0.625,0.718
6,indian_pines,0.739,0.632,0.7
7,indian_pines,0.731,0.62,0.692
8,indian_pines,0.734,0.618,0.696
9,indian_pines,0.754,0.612,0.717
10,indian_pines,0.736,0.633,0.697
11,indian_pines,0.728,0.619,0.688
12,indian_pines,0.731,0.621,0.691
13,indian_pines,0.733,0.602,0.694
14,indian_pines,0.745,0.616,0.709
15,indian_pines,0.75,0.608,0.713
16,indian_pines,0.748,0.615,0.711
17,indian_pines,0.748,0.664,0.712
18,indian_pines,0.731,0.595,0.691
19,indian_pines,0.739,0.637,0.702
0,indian_pines,0.731,0.607,0.69
1,indian_pines,0.748,0.624,0.711
2,indian_pines,0.74,0.623,0.701
3,indian_pines,0.746,0.628,0.71
4,indian_pines,0.744,0.612,0.705
5,indian_pines,0.747,0.629,0.709
6,indian_pines,0.737,0.614,0.699
7,indian_pines,0.747,0.623,0.709
8,indian_pines,0.743,0.593,0.704
9,indian_pines,0.748,0.651,0.714
10,indian_pines,0.725,0.603,0.685
11,indian_pines,0.746,0.623,0.708
12,indian_pines,0.725,0.646,0.685
13,indian_pines,0.744,0.64,0.706
14,indian_pines,0.736,0.589,0.697
15,indian_pines,0.756,0.655,0.72
16,indian_pines,0.74,0.608,0.703
17,indian_pines,0.746,0.637,0.708
18,indian_pines,0.739,0.644,0.701
19,indian_pines,0.729,0.608,0.69
0,indian_pines,0.739,0.602,0.7
1,indian_pines,0.74,0.612,0.702
2,indian_pines,0.742,0.63,0.704
3,indian_pines,0.722,0.603,0.681
4,indian_pines,0.744,0.619,0.706
5,indian_pines,0.736,0.611,0.696
6,indian_pines,0.748,0.606,0.712
7,indian_pines,0.727,0.593,0.686
8,indian_pines,0.733,0.598,0.694
9,indian_pines,0.747,0.599,0.71
10,indian_pines,0.757,0.647,0.722
11,indian_pines,0.733,0.601,0.694
12,indian_pines,0.748,0.608,0.711
13,indian_pines,0.74,0.619,0.701
14,indian_pines,0.745,0.639,0.707
15,indian_pines,0.73,0.583,0.69
16,indian_pines,0.755,0.655,0.719
17,indian_pines,0.742,0.621,0.704
18,indian_pines,0.738,0.63,0.7
19,indian_pines,0.737,0.604,0.698
0,indian_pines,0.756,0.647,0.72
1,indian_pines,0.752,0.63,0.716
2,indian_pines,0.741,0.616,0.703
3,indian_pines,0.745,0.612,0.709
4,indian_pines,0.741,0.612,0.702
5,indian_pines,0.751,0.669,0.715
6,indian_pines,0.735,0.626,0.695
7,indian_pines,0.742,0.634,0.705
8,indian_pines,0.744,0.61,0.705
9,indian_pines,0.734,0.615,0.696
10,indian_pines,0.742,0.636,0.704
11,indian_pines,0.727,0.616,0.687
12,indian_pines,0.752,0.623,0.716
13,indian_pines,0.733,0.625,0.694
14,indian_pines,0.738,0.632,0.7
15,indian_pines,0.739,0.626,0.7
16,indian_pines,0.739,0.611,0.701
17,indian_pines,0.741,0.615,0.704
18,indian_pines,0.735,0.609,0.696
19,indian_pines,0.72,0.615,0.68
0,indian_pines,0.748,0.635,0.711
1,indian_pines,0.725,0.593,0.685
2,indian_pines,0.751,0.64,0.715
3,indian_pines,0.743,0.641,0.705
4,indian_pines,0.756,0.66,0.721
5,indian_pines,0.744,0.627,0.707
6,indian_pines,0.738,0.61,0.699
7,indian_pines,0.741,0.618,0.705
8,indian_pines,0.743,0.621,0.705
9,indian_pines,0.743,0.632,0.706
10,indian_pines,0.739,0.618,0.701
11,indian_pines,0.741,0.638,0.702
12,indian_pines,0.74,0.609,0.702
13,indian_pines,0.747,0.617,0.709
14,indian_pines,0.739,0.602,0.7
15,indian_pines,0.732,0.621,0.694
16,indian_pines,0.748,0.597,0.711
17,indian_pines,0.744,0.621,0.706
18,indian_pines,0.743,0.628,0.705
19,indian_pines,0.723,0.606,0.683
0,paviaU,0.924,0.904,0.9
1,paviaU,0.922,0.903,0.897
2,paviaU,0.916,0.893,0.888
3,paviaU,0.919,0.9,0.893
4,paviaU,0.923,0.901,0.898
5,paviaU,0.919,0.902,0.893
6,paviaU,0.921,0.901,0.895
7,paviaU,0.919,0.901,0.893
8,paviaU,0.914,0.897,0.886
9,paviaU,0.918,0.894,0.891
10,paviaU,0.92,0.892,0.893
11,paviaU,0.921,0.903,0.895
12,paviaU,0.922,0.9,0.896
13,paviaU,0.918,0.89,0.891
14,paviaU,0.916,0.902,0.889
15,paviaU,0.925,0.906,0.9
16,paviaU,0.921,0.898,0.895
17,paviaU,0.925,0.906,0.901
18,paviaU,0.921,0.9,0.895
19,paviaU,0.927,0.907,0.903
