dataset,target_size,algorithm,props,time,oa,aa,k,selected_bands,selected_weights
ghisaconus_health,2,bsnet,0,65.53,0.561,0.462,0.462,2|39,0.5095824599266052|0.5149235725402832
ghisaconus_health,3,bsnet,0,0.0,0.579,0.513,0.513,2|35|39,0.5095824599266052|0.5700060725212097|0.5149235725402832
ghisaconus_health,4,bsnet,0,0.0,0.639,0.577,0.577,2|35|39|99,0.5095824599266052|0.5700060725212097|0.5149235725402832|0.49048587679862976
ghisaconus_health,5,bsnet,0,0.0,0.639,0.589,0.589,2|35|39|70|99,0.5095824599266052|0.5700060725212097|0.5149235725402832|0.46953338384628296|0.49048587679862976
ghisaconus_health,6,bsnet,0,0.0,0.635,0.586,0.586,2|35|39|70|99|116,0.5095824599266052|0.5700060725212097|0.5149235725402832|0.46953338384628296|0.49048587679862976|0.4836249351501465
ghisaconus_health,7,bsnet,0,0.0,0.662,0.623,0.623,2|32|35|39|70|99|116,0.5095824599266052|0.4947250187397003|0.5700060725212097|0.5149235725402832|0.46953338384628296|0.49048587679862976|0.4836249351501465
ghisaconus_health,8,bsnet,0,0.0,0.663,0.623,0.623,2|32|35|39|67|70|99|116,0.5095824599266052|0.4947250187397003|0.5700060725212097|0.5149235725402832|0.42577990889549255|0.46953338384628296|0.49048587679862976|0.4836249351501465
ghisaconus_health,9,bsnet,0,0.0,0.663,0.624,0.624,2|32|35|39|67|70|82|99|116,0.5095824599266052|0.4947250187397003|0.5700060725212097|0.5149235725402832|0.42577990889549255|0.46953338384628296|0.4631333649158478|0.49048587679862976|0.4836249351501465
ghisaconus_health,10,bsnet,0,0.0,0.667,0.627,0.627,2|32|35|39|67|70|82|99|103|116,0.5095824599266052|0.4947250187397003|0.5700060725212097|0.5149235725402832|0.42577990889549255|0.46953338384628296|0.4631333649158478|0.49048587679862976|0.48962220549583435|0.4836249351501465
ghisaconus_health,11,bsnet,0,0.0,0.667,0.629,0.629,2|32|35|39|67|70|82|92|99|103|116,0.5095824599266052|0.4947250187397003|0.5700060725212097|0.5149235725402832|0.42577990889549255|0.46953338384628296|0.4631333649158478|0.4648192822933197|0.49048587679862976|0.48962220549583435|0.4836249351501465
ghisaconus_health,12,bsnet,0,0.0,0.679,0.64,0.64,2|31|32|35|39|67|70|82|92|99|103|116,0.5095824599266052|0.4798097312450409|0.4947250187397003|0.5700060725212097|0.5149235725402832|0.42577990889549255|0.46953338384628296|0.4631333649158478|0.4648192822933197|0.49048587679862976|0.48962220549583435|0.4836249351501465
ghisaconus_health,13,bsnet,0,0.0,0.689,0.648,0.648,2|20|31|32|35|39|67|70|82|92|99|103|116,0.5095824599266052|0.4120238125324249|0.4798097312450409|0.4947250187397003|0.5700060725212097|0.5149235725402832|0.42577990889549255|0.46953338384628296|0.4631333649158478|0.4648192822933197|0.49048587679862976|0.48962220549583435|0.4836249351501465
ghisaconus_health,14,bsnet,0,0.0,0.689,0.647,0.647,2|20|31|32|35|39|67|69|70|82|92|99|103|116,0.5095824599266052|0.4120238125324249|0.4798097312450409|0.4947250187397003|0.5700060725212097|0.5149235725402832|0.42577990889549255|0.5301773548126221|0.46953338384628296|0.4631333649158478|0.4648192822933197|0.49048587679862976|0.48962220549583435|0.4836249351501465
ghisaconus_health,15,bsnet,0,0.0,0.689,0.647,0.647,2|20|31|32|35|39|67|69|70|82|92|94|99|103|116,0.5095824599266052|0.4120238125324249|0.4798097312450409|0.4947250187397003|0.5700060725212097|0.5149235725402832|0.42577990889549255|0.5301773548126221|0.46953338384628296|0.4631333649158478|0.4648192822933197|0.48795679211616516|0.49048587679862976|0.48962220549583435|0.4836249351501465
ghisaconus_health,16,bsnet,0,0.0,0.69,0.648,0.648,2|20|31|32|35|39|56|67|69|70|82|92|94|99|103|116,0.5095824599266052|0.4120238125324249|0.4798097312450409|0.4947250187397003|0.5700060725212097|0.5149235725402832|0.4850994050502777|0.42577990889549255|0.5301773548126221|0.46953338384628296|0.4631333649158478|0.4648192822933197|0.48795679211616516|0.49048587679862976|0.48962220549583435|0.4836249351501465
ghisaconus_health,17,bsnet,0,0.0,0.693,0.652,0.652,2|20|31|32|35|39|49|56|67|69|70|82|92|94|99|103|116,0.5095824599266052|0.4120238125324249|0.4798097312450409|0.4947250187397003|0.5700060725212097|0.5149235725402832|0.48872774839401245|0.4850994050502777|0.42577990889549255|0.5301773548126221|0.46953338384628296|0.4631333649158478|0.4648192822933197|0.48795679211616516|0.49048587679862976|0.48962220549583435|0.4836249351501465
ghisaconus_health,18,bsnet,0,0.0,0.697,0.655,0.655,2|20|29|31|32|35|39|49|56|67|69|70|82|92|94|99|103|116,0.5095824599266052|0.4120238125324249|0.5141577124595642|0.4798097312450409|0.4947250187397003|0.5700060725212097|0.5149235725402832|0.48872774839401245|0.4850994050502777|0.42577990889549255|0.5301773548126221|0.46953338384628296|0.4631333649158478|0.4648192822933197|0.48795679211616516|0.49048587679862976|0.48962220549583435|0.4836249351501465
ghisaconus_health,19,bsnet,0,0.0,0.696,0.654,0.654,2|20|29|31|32|35|39|49|56|67|68|69|70|82|92|94|99|103|116,0.5095824599266052|0.4120238125324249|0.5141577124595642|0.4798097312450409|0.4947250187397003|0.5700060725212097|0.5149235725402832|0.48872774839401245|0.4850994050502777|0.42577990889549255|0.48317450284957886|0.5301773548126221|0.46953338384628296|0.4631333649158478|0.4648192822933197|0.48795679211616516|0.49048587679862976|0.48962220549583435|0.4836249351501465
ghisaconus_health,20,bsnet,0,0.0,0.702,0.658,0.658,2|20|29|31|32|35|39|49|56|63|67|68|69|70|82|92|94|99|103|116,0.5095824599266052|0.4120238125324249|0.5141577124595642|0.4798097312450409|0.4947250187397003|0.5700060725212097|0.5149235725402832|0.48872774839401245|0.4850994050502777|0.49821460247039795|0.42577990889549255|0.48317450284957886|0.5301773548126221|0.46953338384628296|0.4631333649158478|0.4648192822933197|0.48795679211616516|0.49048587679862976|0.48962220549583435|0.4836249351501465
ghisaconus_health,21,bsnet,0,0.0,0.703,0.66,0.66,2|20|29|31|32|35|39|49|56|63|67|68|69|70|82|92|94|99|101|103|116,0.5095824599266052|0.4120238125324249|0.5141577124595642|0.4798097312450409|0.4947250187397003|0.5700060725212097|0.5149235725402832|0.48872774839401245|0.4850994050502777|0.49821460247039795|0.42577990889549255|0.48317450284957886|0.5301773548126221|0.46953338384628296|0.4631333649158478|0.4648192822933197|0.48795679211616516|0.49048587679862976|0.5433040857315063|0.48962220549583435|0.4836249351501465
ghisaconus_health,22,bsnet,0,0.0,0.703,0.659,0.659,2|20|29|31|32|35|39|49|56|63|67|68|69|70|82|91|92|94|99|101|103|116,0.5095824599266052|0.4120238125324249|0.5141577124595642|0.4798097312450409|0.4947250187397003|0.5700060725212097|0.5149235725402832|0.48872774839401245|0.4850994050502777|0.49821460247039795|0.42577990889549255|0.48317450284957886|0.5301773548126221|0.46953338384628296|0.4631333649158478|0.5150647163391113|0.4648192822933197|0.48795679211616516|0.49048587679862976|0.5433040857315063|0.48962220549583435|0.4836249351501465
ghisaconus_health,23,bsnet,0,0.0,0.704,0.659,0.659,2|13|20|29|31|32|35|39|49|56|63|67|68|69|70|82|91|92|94|99|101|103|116,0.5095824599266052|0.43839964270591736|0.4120238125324249|0.5141577124595642|0.4798097312450409|0.4947250187397003|0.5700060725212097|0.5149235725402832|0.48872774839401245|0.4850994050502777|0.49821460247039795|0.42577990889549255|0.48317450284957886|0.5301773548126221|0.46953338384628296|0.4631333649158478|0.5150647163391113|0.4648192822933197|0.48795679211616516|0.49048587679862976|0.5433040857315063|0.48962220549583435|0.4836249351501465
