fold,dataset,oa,aa,k
0,salinas,0.92,0.958,0.911
1,salinas,0.917,0.956,0.908
2,salinas,0.912,0.957,0.902
3,salinas,0.913,0.955,0.903
4,salinas,0.921,0.96,0.912
5,salinas,0.92,0.958,0.911
6,salinas,0.918,0.956,0.909
7,salinas,0.918,0.959,0.908
8,salinas,0.919,0.958,0.91
9,salinas,0.921,0.961,0.912
10,salinas,0.922,0.962,0.913
11,salinas,0.92,0.956,0.911
12,salinas,0.919,0.958,0.909
13,salinas,0.921,0.962,0.913
14,salinas,0.92,0.958,0.911
15,salinas,0.922,0.961,0.913
16,salinas,0.919,0.961,0.91
17,salinas,0.918,0.957,0.909
18,salinas,0.921,0.962,0.912
19,salinas,0.915,0.956,0.906
0,salinas,0.922,0.961,0.913
1,salinas,0.92,0.958,0.911
2,salinas,0.917,0.959,0.908
3,salinas,0.923,0.959,0.914
4,salinas,0.92,0.959,0.911
5,salinas,0.924,0.963,0.916
6,salinas,0.917,0.958,0.907
7,salinas,0.922,0.959,0.913
8,salinas,0.92,0.959,0.91
9,salinas,0.92,0.959,0.911
10,salinas,0.918,0.959,0.908
11,salinas,0.923,0.959,0.914
12,salinas,0.922,0.959,0.914
13,salinas,0.916,0.956,0.907
14,salinas,0.918,0.96,0.909
15,salinas,0.921,0.958,0.912
16,salinas,0.914,0.954,0.905
17,salinas,0.921,0.959,0.912
18,salinas,0.917,0.959,0.907
19,salinas,0.92,0.957,0.911
0,salinas,0.916,0.957,0.907
1,salinas,0.918,0.957,0.908
2,salinas,0.917,0.959,0.908
3,salinas,0.917,0.959,0.908
4,salinas,0.922,0.961,0.913
5,salinas,0.918,0.961,0.908
6,salinas,0.917,0.959,0.907
7,salinas,0.921,0.96,0.912
8,salinas,0.92,0.963,0.911
