dataset,target_size,algorithm,props,oa,aa,k,fold
indian_pines,2,bsdr3ae,0,0.55,0.44,0.47,0
indian_pines,2,bsdr3ae,0,0.54,0.44,0.46,1
indian_pines,2,bsdr3ae,0,0.55,0.4,0.47,2
indian_pines,2,bsdr3ae,0,0.55,0.42,0.47,3
indian_pines,2,bsdr3ae,0,0.56,0.41,0.48,4
indian_pines,2,bsdr3ae,0,0.55,0.44,0.47,5
indian_pines,2,bsdr3ae,0,0.56,0.43,0.49,6
indian_pines,2,bsdr3ae,0,0.57,0.43,0.49,7
indian_pines,2,bsdr3ae,0,0.55,0.39,0.46,8
indian_pines,2,bsdr3ae,0,0.56,0.44,0.48,9
indian_pines,2,bsdr3ae,0,0.54,0.4,0.45,10
indian_pines,2,bsdr3ae,0,0.56,0.43,0.48,11
indian_pines,2,bsdr3ae,0,0.56,0.43,0.49,12
indian_pines,2,bsdr3ae,0,0.56,0.4,0.48,13
indian_pines,2,bsdr3ae,0,0.55,0.4,0.46,14
indian_pines,2,bsdr3ae,0,0.55,0.44,0.48,15
indian_pines,2,bsdr3ae,0,0.56,0.44,0.47,16
indian_pines,2,bsdr3ae,0,0.55,0.38,0.47,17
indian_pines,2,bsdr3ae,0,0.57,0.41,0.5,18
indian_pines,2,bsdr3ae,0,0.54,0.37,0.46,19
indian_pines,3,bsdr3ae,0,0.65,0.55,0.59,0
indian_pines,3,bsdr3ae,0,0.64,0.55,0.58,1
indian_pines,3,bsdr3ae,0,0.64,0.55,0.58,2
indian_pines,3,bsdr3ae,0,0.63,0.56,0.58,3
indian_pines,3,bsdr3ae,0,0.64,0.56,0.58,4
indian_pines,3,bsdr3ae,0,0.63,0.58,0.58,5
indian_pines,3,bsdr3ae,0,0.65,0.56,0.6,6
indian_pines,3,bsdr3ae,0,0.65,0.57,0.6,7
indian_pines,3,bsdr3ae,0,0.65,0.55,0.59,8
indian_pines,3,bsdr3ae,0,0.64,0.56,0.59,9
