epoch,l0_cw,l0_s,mse_loss,l1_loss,lambda_value,loss,oa,aa,k,min_cw,max_cw,avg_cw,min_s,max_s,avg_s,selected_bands,selected_weights,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28,weight_29,weight_30,weight_31,weight_32,weight_33,weight_34,weight_35,weight_36,weight_37,weight_38,weight_39,weight_40,weight_41,weight_42,weight_43,weight_44,weight_45,weight_46,weight_47,weight_48,weight_49,weight_50,weight_51,weight_52,weight_53,weight_54,weight_55,weight_56,weight_57,weight_58,weight_59,weight_60,weight_61,weight_62,weight_63,weight_64,weight_65,weight_66,weight_67,weight_68,weight_69,weight_70,weight_71,weight_72,weight_73,weight_74,weight_75,weight_76,weight_77,weight_78,weight_79,weight_80,weight_81,weight_82,weight_83,weight_84,weight_85,weight_86,weight_87,weight_88,weight_89,weight_90,weight_91,weight_92,weight_93,weight_94,weight_95,weight_96,weight_97,weight_98,weight_99,weight_100,weight_101,weight_102,weight_103,weight_104,weight_105,weight_106,weight_107,weight_108,weight_109,weight_110,weight_111,weight_112,weight_113,weight_114,weight_115,weight_116,weight_117,weight_118,weight_119,weight_120,weight_121,weight_122,weight_123,weight_124,weight_125,weight_126,weight_127,weight_128,weight_129,weight_130
0,131,131,2.07,8.7420273,0.1,2.944,0.496,0.419,0.363,0.008,0.201,0.074,0.008,0.201,0.074,119|120,0.201|0.193,0.062,0.066,0.07,0.045,0.066,0.086,0.038,0.105,0.11,0.026,0.047,0.143,0.147,0.043,0.017,0.081,0.07,0.029,0.062,0.073,0.028,0.037,0.038,0.053,0.067,0.035,0.04,0.023,0.054,0.034,0.075,0.085,0.18,0.051,0.033,0.046,0.116,0.035,0.029,0.035,0.114,0.09,0.088,0.087,0.077,0.122,0.037,0.057,0.032,0.105,0.036,0.097,0.101,0.035,0.039,0.115,0.041,0.055,0.087,0.03,0.09,0.037,0.092,0.04,0.044,0.028,0.049,0.065,0.171,0.174,0.036,0.157,0.011,0.185,0.113,0.129,0.008,0.037,0.073,0.101,0.035,0.059,0.044,0.047,0.094,0.108,0.026,0.11,0.021,0.068,0.025,0.087,0.033,0.151,0.031,0.038,0.095,0.087,0.112,0.111,0.082,0.156,0.028,0.039,0.147,0.02,0.048,0.017,0.045,0.165,0.047,0.035,0.02,0.155,0.046,0.119,0.166,0.098,0.013,0.201,0.193,0.029,0.093,0.157,0.056,0.097,0.076,0.075,0.093,0.156,0.114
10,131,131,0.828,5.9976788,0.1,1.427,0.511,0.428,0.386,0.007,1.04,0.167,0.007,1.04,0.167,120|40,1.04|0.832,0.47,0.373,0.009,0.033,0.087,0.269,0.012,0.015,0.037,0.03,0.308,0.665,0.346,0.459,0.291,0.02,0.017,0.27,0.08,0.207,0.174,0.026,0.435,0.022,0.207,0.031,0.03,0.109,0.058,0.025,0.255,0.104,0.653,0.349,0.022,0.016,0.013,0.025,0.013,0.07,0.832,0.027,0.015,0.121,0.418,0.25,0.018,0.032,0.228,0.329,0.156,0.146,0.037,0.007,0.02,0.297,0.035,0.01,0.067,0.065,0.038,0.051,0.141,0.356,0.014,0.027,0.03,0.036,0.055,0.543,0.009,0.232,0.007,0.729,0.075,0.472,0.138,0.112,0.336,0.598,0.031,0.079,0.009,0.021,0.083,0.037,0.033,0.012,0.035,0.035,0.027,0.11,0.032,0.057,0.038,0.012,0.291,0.473,0.644,0.616,0.05,0.728,0.022,0.015,0.555,0.018,0.015,0.379,0.055,0.061,0.089,0.045,0.031,0.107,0.01,0.025,0.025,0.032,0.021,0.227,1.04,0.068,0.11,0.025,0.027,0.019,0.016,0.287,0.472,0.824,0.035
20,131,131,0.678,4.5778437,0.1,1.136,0.505,0.44,0.375,0.005,1.526,0.178,0.005,1.526,0.178,120|101,1.526|1.273,0.537,0.412,0.007,0.008,0.039,0.228,0.006,0.012,0.013,0.023,0.231,0.957,0.416,0.679,0.177,0.016,0.01,0.245,0.01,0.08,0.185,0.017,0.633,0.025,0.218,0.01,0.01,0.091,0.009,0.01,0.023,0.038,1.025,0.474,0.021,0.018,0.015,0.015,0.007,0.029,1.158,0.035,0.011,0.016,0.547,0.034,0.026,0.009,0.07,0.347,0.019,0.022,0.036,0.017,0.042,0.307,0.006,0.005,0.01,0.022,0.019,0.034,0.049,0.401,0.007,0.015,0.018,0.023,0.038,0.763,0.009,0.069,0.01,1.045,0.03,0.596,0.034,0.055,0.238,0.806,0.015,0.031,0.008,0.012,0.032,0.012,0.018,0.01,0.016,0.027,0.013,0.079,0.012,0.019,0.026,0.03,0.202,0.697,0.946,0.963,0.014,1.273,0.016,0.02,0.687,0.012,0.01,0.298,0.015,0.034,0.015,0.034,0.02,0.029,0.01,0.013,0.032,0.026,0.02,0.035,1.526,0.016,0.044,0.02,0.017,0.012,0.013,0.117,0.546,1.217,0.011
30,131,131,0.588,3.7875581,0.1,0.967,0.505,0.44,0.375,0.005,1.943,0.182,0.005,1.943,0.182,120|101,1.943|1.73,0.636,0.283,0.006,0.005,0.02,0.124,0.008,0.011,0.01,0.015,0.036,1.084,0.234,0.792,0.04,0.034,0.011,0.048,0.011,0.04,0.017,0.012,0.853,0.011,0.132,0.012,0.011,0.044,0.006,0.02,0.071,0.021,1.369,0.45,0.008,0.011,0.012,0.01,0.007,0.012,1.352,0.012,0.012,0.01,0.612,0.03,0.008,0.009,0.019,0.273,0.017,0.009,0.013,0.005,0.025,0.203,0.008,0.009,0.007,0.017,0.04,0.011,0.019,0.377,0.008,0.038,0.011,0.01,0.013,0.818,0.01,0.011,0.007,1.302,0.023,0.543,0.018,0.036,0.083,0.909,0.01,0.01,0.009,0.008,0.008,0.01,0.007,0.01,0.014,0.01,0.011,0.038,0.012,0.008,0.021,0.023,0.028,0.854,1.22,1.2,0.008,1.73,0.018,0.009,0.72,0.011,0.007,0.12,0.011,0.016,0.02,0.009,0.014,0.032,0.007,0.01,0.023,0.011,0.011,0.026,1.943,0.013,0.021,0.019,0.008,0.011,0.009,0.021,0.421,1.604,0.009
40,131,131,0.532,3.3947616,0.1,0.872,0.505,0.44,0.375,0.004,2.269,0.187,0.004,2.269,0.187,120|101,2.269|2.13,0.641,0.089,0.005,0.009,0.011,0.02,0.005,0.007,0.007,0.02,0.027,1.085,0.046,0.752,0.017,0.011,0.01,0.024,0.01,0.039,0.018,0.01,0.95,0.009,0.039,0.01,0.008,0.054,0.041,0.016,0.036,0.009,1.569,0.37,0.037,0.01,0.022,0.008,0.014,0.03,1.467,0.014,0.008,0.01,0.626,0.013,0.008,0.012,0.009,0.192,0.023,0.014,0.016,0.006,0.013,0.118,0.007,0.005,0.008,0.057,0.017,0.008,0.01,0.273,0.011,0.024,0.013,0.01,0.014,0.813,0.026,0.007,0.03,1.526,0.027,0.482,0.009,0.01,0.023,0.909,0.009,0.038,0.009,0.007,0.011,0.008,0.007,0.007,0.016,0.01,0.007,0.012,0.01,0.032,0.012,0.006,0.011,0.891,1.471,1.361,0.004,2.13,0.076,0.01,0.692,0.021,0.005,0.053,0.029,0.008,0.012,0.007,0.01,0.014,0.005,0.004,0.029,0.024,0.014,0.007,2.269,0.011,0.009,0.009,0.009,0.016,0.008,0.01,0.192,1.917,0.008
50,131,131,0.502,3.1806488,0.1,0.82,0.505,0.44,0.375,0.005,2.537,0.193,0.005,2.537,0.193,120|101,2.537|2.496,0.659,0.049,0.01,0.027,0.015,0.018,0.006,0.019,0.016,0.033,0.017,1.057,0.041,0.661,0.01,0.006,0.009,0.013,0.015,0.013,0.037,0.009,0.953,0.012,0.019,0.012,0.023,0.038,0.078,0.024,0.014,0.014,1.703,0.301,0.024,0.019,0.012,0.009,0.011,0.033,1.558,0.008,0.01,0.009,0.608,0.031,0.007,0.006,0.011,0.198,0.019,0.013,0.012,0.018,0.016,0.029,0.007,0.005,0.006,0.021,0.007,0.023,0.011,0.175,0.017,0.007,0.009,0.01,0.012,0.808,0.009,0.008,0.011,1.649,0.018,0.368,0.015,0.009,0.018,0.871,0.008,0.01,0.046,0.018,0.014,0.007,0.006,0.006,0.012,0.006,0.014,0.008,0.01,0.016,0.008,0.007,0.008,0.869,1.651,1.467,0.006,2.496,0.034,0.007,0.648,0.052,0.011,0.018,0.044,0.01,0.009,0.013,0.006,0.007,0.019,0.022,0.022,0.018,0.009,0.014,2.537,0.009,0.008,0.007,0.032,0.02,0.007,0.043,0.065,2.157,0.007
60,131,131,0.451,3.010211,0.1,0.752,0.505,0.44,0.375,0.004,2.841,0.196,0.004,2.841,0.196,101|120,2.841|2.756,0.653,0.051,0.006,0.015,0.01,0.017,0.008,0.007,0.024,0.016,0.009,0.983,0.008,0.552,0.01,0.01,0.012,0.019,0.007,0.019,0.006,0.021,0.955,0.011,0.012,0.009,0.021,0.074,0.036,0.009,0.017,0.026,1.78,0.23,0.026,0.022,0.007,0.007,0.037,0.014,1.619,0.017,0.021,0.008,0.579,0.008,0.007,0.02,0.014,0.182,0.011,0.007,0.012,0.013,0.022,0.014,0.019,0.004,0.005,0.03,0.014,0.011,0.014,0.147,0.025,0.011,0.013,0.008,0.01,0.785,0.005,0.047,0.013,1.73,0.007,0.278,0.034,0.01,0.009,0.771,0.007,0.008,0.02,0.006,0.006,0.01,0.007,0.032,0.033,0.013,0.019,0.012,0.02,0.011,0.014,0.012,0.009,0.791,1.825,1.575,0.004,2.841,0.008,0.028,0.593,0.012,0.02,0.008,0.025,0.008,0.014,0.033,0.01,0.01,0.014,0.005,0.006,0.009,0.044,0.011,2.756,0.007,0.009,0.008,0.009,0.009,0.017,0.03,0.028,2.29,0.029
70,131,131,0.43,3.0416765,0.1,0.734,0.505,0.44,0.375,0.006,3.191,0.208,0.006,3.191,0.208,101|120,3.191|2.92,0.678,0.028,0.008,0.018,0.05,0.048,0.013,0.059,0.01,0.031,0.04,0.933,0.016,0.485,0.015,0.016,0.012,0.015,0.008,0.013,0.017,0.009,0.903,0.041,0.006,0.008,0.015,0.093,0.083,0.018,0.047,0.022,1.865,0.177,0.009,0.035,0.006,0.01,0.023,0.023,1.663,0.007,0.075,0.039,0.554,0.008,0.017,0.055,0.032,0.159,0.008,0.02,0.015,0.067,0.045,0.057,0.058,0.054,0.011,0.01,0.031,0.008,0.012,0.167,0.031,0.013,0.009,0.019,0.017,0.738,0.009,0.06,0.007,1.759,0.006,0.213,0.009,0.04,0.01,0.65,0.007,0.059,0.054,0.027,0.059,0.011,0.031,0.042,0.036,0.071,0.045,0.006,0.018,0.012,0.027,0.01,0.007,0.718,1.961,1.698,0.012,3.191,0.011,0.006,0.546,0.007,0.043,0.06,0.025,0.012,0.03,0.038,0.006,0.015,0.041,0.027,0.016,0.063,0.024,0.016,2.92,0.006,0.01,0.01,0.011,0.01,0.008,0.029,0.025,2.416,0.008
80,131,131,0.425,2.8720822,0.1,0.712,0.505,0.44,0.375,0.004,3.457,0.206,0.004,3.457,0.206,101|120,3.457|3.04,0.659,0.025,0.074,0.008,0.012,0.012,0.095,0.007,0.006,0.009,0.024,0.918,0.012,0.367,0.01,0.006,0.01,0.013,0.007,0.019,0.041,0.029,0.877,0.009,0.015,0.03,0.006,0.099,0.071,0.052,0.017,0.016,1.911,0.109,0.014,0.008,0.004,0.008,0.022,0.016,1.661,0.028,0.042,0.023,0.512,0.008,0.021,0.018,0.058,0.147,0.018,0.048,0.043,0.02,0.034,0.019,0.016,0.022,0.016,0.009,0.08,0.023,0.011,0.119,0.006,0.014,0.012,0.008,0.011,0.733,0.02,0.008,0.033,1.773,0.036,0.139,0.01,0.071,0.014,0.589,0.012,0.037,0.01,0.009,0.019,0.011,0.036,0.008,0.02,0.019,0.091,0.035,0.009,0.006,0.009,0.011,0.019,0.611,2.066,1.768,0.007,3.457,0.019,0.008,0.49,0.017,0.009,0.01,0.017,0.011,0.009,0.047,0.02,0.017,0.011,0.026,0.012,0.05,0.007,0.084,3.04,0.013,0.016,0.041,0.018,0.01,0.041,0.007,0.025,2.497,0.006
90,131,131,0.365,2.7533686,0.1,0.641,0.505,0.44,0.375,0.004,3.765,0.207,0.004,3.765,0.207,101|120,3.765|3.126,0.729,0.025,0.005,0.007,0.055,0.012,0.018,0.008,0.007,0.042,0.016,0.847,0.006,0.328,0.025,0.01,0.024,0.012,0.015,0.033,0.008,0.026,0.861,0.008,0.01,0.027,0.022,0.115,0.098,0.019,0.017,0.015,1.934,0.051,0.022,0.015,0.007,0.035,0.04,0.031,1.658,0.005,0.009,0.011,0.443,0.049,0.006,0.064,0.024,0.125,0.009,0.007,0.041,0.052,0.054,0.026,0.018,0.009,0.005,0.008,0.093,0.008,0.013,0.165,0.014,0.022,0.007,0.007,0.037,0.668,0.006,0.035,0.035,1.802,0.006,0.085,0.055,0.037,0.008,0.491,0.01,0.016,0.023,0.026,0.046,0.01,0.051,0.005,0.023,0.017,0.018,0.037,0.02,0.004,0.048,0.02,0.032,0.507,2.152,1.803,0.004,3.765,0.015,0.01,0.441,0.007,0.017,0.009,0.007,0.026,0.022,0.011,0.025,0.011,0.017,0.004,0.011,0.016,0.028,0.069,3.126,0.006,0.006,0.004,0.024,0.009,0.032,0.023,0.026,2.611,0.007
100,131,131,0.346,2.583487,0.1,0.604,0.505,0.44,0.375,0.003,4.088,0.205,0.003,4.088,0.205,101|120,4.088|3.234,0.706,0.024,0.005,0.025,0.009,0.012,0.038,0.031,0.01,0.012,0.051,0.814,0.017,0.273,0.012,0.005,0.017,0.011,0.026,0.012,0.007,0.008,0.828,0.005,0.005,0.02,0.012,0.107,0.094,0.027,0.019,0.008,1.968,0.016,0.023,0.02,0.015,0.006,0.024,0.018,1.656,0.005,0.02,0.023,0.425,0.009,0.022,0.027,0.015,0.147,0.019,0.01,0.016,0.01,0.024,0.023,0.006,0.008,0.005,0.007,0.07,0.006,0.011,0.181,0.008,0.012,0.007,0.023,0.01,0.624,0.003,0.01,0.005,1.795,0.005,0.029,0.012,0.019,0.008,0.41,0.014,0.015,0.017,0.024,0.026,0.024,0.011,0.039,0.016,0.012,0.004,0.026,0.012,0.023,0.08,0.004,0.008,0.403,2.243,1.925,0.036,4.088,0.005,0.021,0.405,0.007,0.01,0.007,0.026,0.035,0.014,0.009,0.006,0.005,0.011,0.003,0.008,0.031,0.014,0.05,3.234,0.009,0.006,0.004,0.016,0.017,0.055,0.01,0.013,2.702,0.006
110,131,131,0.315,2.4692183,0.1,0.562,0.505,0.44,0.375,0.003,4.341,0.204,0.003,4.341,0.204,101|120,4.341|3.34,0.713,0.018,0.004,0.006,0.009,0.03,0.004,0.009,0.011,0.008,0.014,0.804,0.006,0.24,0.011,0.005,0.004,0.015,0.008,0.011,0.012,0.011,0.834,0.004,0.009,0.011,0.007,0.113,0.092,0.025,0.018,0.013,1.983,0.012,0.015,0.024,0.004,0.005,0.007,0.02,1.648,0.028,0.005,0.016,0.436,0.007,0.014,0.026,0.011,0.145,0.019,0.011,0.022,0.013,0.009,0.017,0.005,0.041,0.013,0.007,0.008,0.007,0.021,0.196,0.005,0.011,0.023,0.02,0.021,0.592,0.014,0.034,0.003,1.789,0.009,0.016,0.011,0.016,0.007,0.32,0.012,0.005,0.006,0.039,0.024,0.008,0.004,0.006,0.017,0.008,0.016,0.013,0.009,0.031,0.051,0.007,0.006,0.314,2.303,2.006,0.036,4.341,0.019,0.016,0.366,0.006,0.004,0.006,0.022,0.006,0.028,0.011,0.028,0.008,0.004,0.004,0.006,0.012,0.009,0.025,3.34,0.009,0.013,0.005,0.012,0.026,0.009,0.007,0.007,2.733,0.01
120,131,131,0.319,2.4407203,0.1,0.564,0.505,0.44,0.375,0.004,4.674,0.21,0.004,4.674,0.21,101|120,4.674|3.452,0.723,0.017,0.019,0.011,0.022,0.046,0.004,0.016,0.025,0.015,0.01,0.779,0.006,0.178,0.02,0.005,0.054,0.022,0.02,0.022,0.011,0.025,0.811,0.01,0.013,0.006,0.01,0.122,0.089,0.03,0.018,0.022,1.998,0.054,0.027,0.008,0.007,0.014,0.054,0.02,1.656,0.05,0.008,0.01,0.403,0.035,0.04,0.014,0.03,0.095,0.01,0.037,0.036,0.03,0.009,0.011,0.019,0.048,0.006,0.014,0.018,0.01,0.037,0.206,0.02,0.01,0.029,0.011,0.016,0.556,0.057,0.023,0.009,1.776,0.035,0.016,0.008,0.006,0.023,0.226,0.007,0.007,0.004,0.009,0.009,0.009,0.029,0.006,0.025,0.023,0.044,0.006,0.007,0.007,0.038,0.005,0.046,0.222,2.367,2.053,0.004,4.674,0.007,0.007,0.319,0.009,0.006,0.006,0.007,0.022,0.011,0.012,0.004,0.005,0.013,0.021,0.018,0.015,0.006,0.008,3.452,0.016,0.025,0.038,0.01,0.012,0.011,0.009,0.013,2.786,0.007
130,131,131,0.284,2.401808,0.1,0.524,0.505,0.44,0.375,0.003,4.94,0.214,0.003,4.94,0.214,101|120,4.94|3.524,0.72,0.054,0.037,0.023,0.009,0.035,0.004,0.022,0.016,0.015,0.009,0.766,0.015,0.13,0.019,0.019,0.009,0.012,0.026,0.022,0.015,0.009,0.78,0.003,0.024,0.008,0.02,0.089,0.108,0.035,0.019,0.008,1.983,0.02,0.034,0.031,0.004,0.009,0.051,0.019,1.636,0.013,0.019,0.035,0.389,0.007,0.006,0.051,0.031,0.083,0.02,0.034,0.015,0.005,0.007,0.011,0.008,0.023,0.01,0.013,0.051,0.015,0.018,0.233,0.048,0.006,0.008,0.041,0.042,0.515,0.004,0.037,0.04,1.764,0.011,0.02,0.008,0.008,0.006,0.149,0.006,0.022,0.011,0.025,0.01,0.01,0.052,0.013,0.012,0.011,0.019,0.02,0.012,0.006,0.1,0.03,0.007,0.138,2.423,2.127,0.045,4.94,0.005,0.009,0.269,0.008,0.05,0.032,0.008,0.016,0.02,0.008,0.004,0.005,0.012,0.003,0.074,0.044,0.025,0.016,3.524,0.03,0.057,0.044,0.011,0.018,0.012,0.032,0.046,2.884,0.006
