epoch,l0_cw,l0_s,mse_loss,s_loss,lambda_s,entropy_loss,lambda_e,loss,oa,aa,k,min_cw,max_cw,avg_cw,min_s,max_s,avg_s,selected_bands,selected_weights,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28,weight_29,weight_30,weight_31,weight_32,weight_33,weight_34,weight_35,weight_36,weight_37,weight_38,weight_39,weight_40,weight_41,weight_42,weight_43,weight_44,weight_45,weight_46,weight_47,weight_48,weight_49,weight_50,weight_51,weight_52,weight_53,weight_54,weight_55,weight_56,weight_57,weight_58,weight_59,weight_60,weight_61,weight_62,weight_63,weight_64,weight_65,weight_66,weight_67,weight_68,weight_69,weight_70,weight_71,weight_72,weight_73,weight_74,weight_75,weight_76,weight_77,weight_78,weight_79,weight_80,weight_81,weight_82,weight_83,weight_84,weight_85,weight_86,weight_87,weight_88,weight_89,weight_90,weight_91,weight_92,weight_93,weight_94,weight_95,weight_96,weight_97,weight_98,weight_99,weight_100,weight_101,weight_102,weight_103,weight_104,weight_105,weight_106,weight_107,weight_108,weight_109,weight_110,weight_111,weight_112,weight_113,weight_114,weight_115,weight_116,weight_117,weight_118,weight_119,weight_120,weight_121,weight_122,weight_123,weight_124,weight_125,weight_126,weight_127,weight_128,weight_129,weight_130
0,131,131,2.07,8.7420273,0.001,4.8741207,0.005,2.103,0.483,0.384,0.342,0.008,0.201,0.074,0.008,0.201,0.074,119|120,0.201|0.193,0.062,0.066,0.07,0.045,0.066,0.086,0.038,0.105,0.11,0.026,0.047,0.143,0.147,0.043,0.017,0.081,0.07,0.029,0.062,0.073,0.028,0.037,0.038,0.053,0.067,0.035,0.04,0.023,0.054,0.034,0.075,0.085,0.18,0.051,0.033,0.046,0.116,0.035,0.029,0.035,0.114,0.09,0.088,0.087,0.077,0.122,0.037,0.057,0.032,0.105,0.036,0.097,0.101,0.035,0.039,0.115,0.041,0.055,0.087,0.03,0.09,0.037,0.092,0.04,0.044,0.028,0.049,0.065,0.171,0.174,0.036,0.157,0.011,0.185,0.113,0.129,0.008,0.037,0.073,0.101,0.035,0.059,0.044,0.047,0.094,0.108,0.026,0.11,0.021,0.068,0.025,0.087,0.033,0.151,0.031,0.038,0.095,0.087,0.112,0.111,0.082,0.156,0.028,0.039,0.147,0.02,0.048,0.017,0.045,0.165,0.047,0.035,0.02,0.155,0.046,0.119,0.166,0.098,0.013,0.201,0.193,0.029,0.093,0.157,0.056,0.097,0.076,0.075,0.093,0.156,0.114
10,131,131,0.798,8.5373974,0.001,4.8632956,0.005,0.831,0.475,0.381,0.334,0.012,0.817,0.222,0.012,0.817,0.222,120|129,0.817|0.661,0.42,0.433,0.13,0.122,0.163,0.36,0.15,0.074,0.013,0.042,0.146,0.499,0.329,0.363,0.327,0.155,0.261,0.414,0.347,0.431,0.457,0.208,0.398,0.316,0.259,0.151,0.275,0.262,0.126,0.086,0.262,0.203,0.269,0.375,0.127,0.015,0.248,0.118,0.015,0.323,0.603,0.103,0.163,0.113,0.343,0.28,0.135,0.071,0.259,0.485,0.138,0.202,0.012,0.028,0.08,0.268,0.204,0.347,0.244,0.351,0.178,0.029,0.051,0.424,0.093,0.115,0.071,0.082,0.146,0.039,0.106,0.149,0.21,0.171,0.311,0.305,0.339,0.194,0.228,0.358,0.035,0.371,0.097,0.12,0.09,0.058,0.1,0.065,0.021,0.258,0.24,0.086,0.148,0.252,0.068,0.183,0.373,0.442,0.318,0.326,0.112,0.572,0.305,0.155,0.281,0.194,0.059,0.365,0.225,0.058,0.284,0.124,0.397,0.28,0.135,0.051,0.076,0.249,0.048,0.191,0.817,0.331,0.28,0.204,0.356,0.087,0.015,0.18,0.39,0.661,0.266
20,131,131,0.644,8.4150991,0.001,4.8557186,0.005,0.676,0.493,0.389,0.352,0.008,0.986,0.27,0.008,0.986,0.27,120|101,0.986|0.808,0.447,0.561,0.164,0.149,0.181,0.404,0.205,0.085,0.059,0.147,0.236,0.63,0.494,0.45,0.397,0.184,0.307,0.449,0.518,0.599,0.528,0.251,0.499,0.451,0.369,0.214,0.35,0.34,0.129,0.226,0.312,0.241,0.448,0.586,0.084,0.062,0.192,0.082,0.02,0.424,0.713,0.125,0.221,0.109,0.408,0.236,0.186,0.065,0.268,0.539,0.171,0.18,0.011,0.037,0.167,0.273,0.247,0.463,0.319,0.357,0.142,0.091,0.117,0.54,0.107,0.071,0.04,0.136,0.207,0.053,0.144,0.083,0.275,0.179,0.444,0.252,0.474,0.267,0.293,0.349,0.008,0.429,0.141,0.144,0.05,0.046,0.175,0.093,0.066,0.367,0.2,0.086,0.111,0.336,0.222,0.068,0.504,0.462,0.308,0.437,0.115,0.808,0.33,0.251,0.299,0.35,0.054,0.445,0.313,0.028,0.304,0.055,0.399,0.368,0.048,0.037,0.056,0.267,0.05,0.192,0.986,0.403,0.349,0.272,0.483,0.165,0.043,0.193,0.445,0.797,0.328
30,131,131,0.559,8.2953243,0.001,4.8505197,0.005,0.592,0.493,0.389,0.352,0.01,1.032,0.292,0.01,1.032,0.292,120|101,1.032|0.942,0.483,0.594,0.106,0.19,0.217,0.478,0.191,0.09,0.096,0.128,0.25,0.652,0.545,0.496,0.389,0.179,0.272,0.49,0.542,0.675,0.562,0.273,0.563,0.49,0.409,0.226,0.428,0.404,0.154,0.289,0.398,0.236,0.584,0.738,0.09,0.066,0.172,0.016,0.013,0.448,0.78,0.13,0.246,0.151,0.417,0.217,0.185,0.07,0.347,0.544,0.182,0.189,0.011,0.034,0.162,0.312,0.287,0.516,0.371,0.368,0.157,0.11,0.162,0.603,0.084,0.059,0.026,0.215,0.259,0.032,0.19,0.041,0.29,0.181,0.529,0.211,0.552,0.29,0.309,0.328,0.024,0.509,0.064,0.159,0.116,0.047,0.231,0.043,0.087,0.475,0.2,0.084,0.077,0.385,0.226,0.019,0.6,0.495,0.333,0.454,0.131,0.942,0.387,0.331,0.271,0.342,0.047,0.55,0.299,0.07,0.271,0.051,0.387,0.381,0.027,0.01,0.054,0.3,0.049,0.256,1.032,0.4,0.35,0.263,0.506,0.215,0.036,0.203,0.438,0.84,0.359
40,131,131,0.495,8.227066,0.001,4.845911,0.005,0.528,0.493,0.389,0.352,0.013,1.072,0.31,0.013,1.072,0.31,120|101,1.072|1.036,0.531,0.631,0.099,0.198,0.275,0.544,0.164,0.094,0.121,0.163,0.227,0.689,0.579,0.517,0.374,0.148,0.293,0.54,0.543,0.727,0.592,0.275,0.599,0.436,0.482,0.187,0.511,0.406,0.16,0.378,0.459,0.286,0.696,0.815,0.08,0.057,0.186,0.02,0.025,0.494,0.788,0.132,0.236,0.198,0.4,0.17,0.231,0.078,0.394,0.51,0.154,0.22,0.051,0.029,0.155,0.342,0.297,0.585,0.424,0.372,0.121,0.088,0.162,0.668,0.082,0.057,0.023,0.258,0.33,0.015,0.219,0.08,0.291,0.178,0.615,0.203,0.559,0.32,0.301,0.298,0.021,0.587,0.049,0.168,0.166,0.04,0.255,0.063,0.179,0.56,0.176,0.088,0.039,0.442,0.208,0.026,0.677,0.561,0.335,0.451,0.131,1.036,0.462,0.381,0.248,0.293,0.042,0.646,0.28,0.033,0.238,0.034,0.375,0.367,0.03,0.013,0.058,0.375,0.047,0.292,1.072,0.397,0.374,0.294,0.576,0.264,0.08,0.165,0.409,0.875,0.416
50,131,131,0.447,8.1391468,0.001,4.841186,0.005,0.479,0.493,0.389,0.352,0.01,1.13,0.324,0.01,1.13,0.324,101|120,1.13|1.09,0.524,0.696,0.067,0.271,0.326,0.618,0.149,0.109,0.139,0.205,0.194,0.725,0.61,0.533,0.363,0.143,0.329,0.581,0.495,0.764,0.605,0.261,0.623,0.447,0.505,0.172,0.549,0.399,0.15,0.424,0.522,0.301,0.751,0.907,0.074,0.047,0.191,0.021,0.027,0.534,0.825,0.191,0.226,0.219,0.403,0.152,0.228,0.087,0.435,0.543,0.141,0.239,0.076,0.029,0.115,0.38,0.283,0.608,0.464,0.371,0.103,0.058,0.182,0.71,0.087,0.051,0.021,0.255,0.369,0.016,0.226,0.09,0.304,0.163,0.626,0.174,0.626,0.323,0.295,0.279,0.062,0.646,0.049,0.139,0.197,0.044,0.211,0.087,0.178,0.598,0.214,0.074,0.021,0.484,0.183,0.031,0.72,0.661,0.361,0.446,0.149,1.13,0.508,0.418,0.198,0.288,0.04,0.686,0.272,0.023,0.212,0.042,0.412,0.356,0.032,0.01,0.06,0.448,0.048,0.322,1.09,0.415,0.379,0.297,0.617,0.319,0.055,0.149,0.422,0.896,0.454
60,131,131,0.405,8.0618925,0.001,4.8378248,0.005,0.437,0.493,0.389,0.352,0.013,1.18,0.331,0.013,1.18,0.331,101|120,1.18|1.112,0.549,0.71,0.016,0.337,0.346,0.657,0.168,0.122,0.176,0.225,0.193,0.741,0.619,0.558,0.35,0.145,0.347,0.59,0.463,0.776,0.607,0.247,0.628,0.433,0.493,0.167,0.574,0.409,0.14,0.448,0.537,0.333,0.801,0.981,0.076,0.055,0.197,0.023,0.025,0.54,0.853,0.233,0.18,0.253,0.427,0.114,0.241,0.09,0.466,0.567,0.116,0.253,0.082,0.031,0.112,0.429,0.279,0.619,0.496,0.335,0.083,0.052,0.22,0.77,0.085,0.044,0.017,0.232,0.4,0.019,0.249,0.098,0.292,0.141,0.609,0.15,0.681,0.339,0.296,0.299,0.065,0.679,0.046,0.117,0.162,0.046,0.169,0.073,0.161,0.658,0.221,0.062,0.028,0.52,0.149,0.027,0.717,0.661,0.381,0.44,0.155,1.18,0.55,0.444,0.151,0.297,0.048,0.716,0.287,0.044,0.172,0.038,0.409,0.345,0.032,0.013,0.07,0.518,0.046,0.337,1.112,0.399,0.388,0.282,0.593,0.373,0.063,0.108,0.435,0.896,0.461
70,131,131,0.377,8.0306959,0.001,4.8359237,0.005,0.41,0.493,0.389,0.352,0.009,1.223,0.336,0.009,1.223,0.336,101|120,1.223|1.103,0.543,0.721,0.014,0.376,0.355,0.697,0.195,0.15,0.182,0.235,0.174,0.75,0.61,0.567,0.338,0.176,0.359,0.579,0.452,0.775,0.614,0.224,0.608,0.414,0.479,0.175,0.612,0.383,0.13,0.449,0.572,0.351,0.85,1.016,0.069,0.045,0.169,0.024,0.009,0.553,0.867,0.249,0.145,0.256,0.449,0.087,0.205,0.089,0.472,0.582,0.096,0.249,0.095,0.031,0.116,0.429,0.305,0.636,0.511,0.321,0.081,0.054,0.268,0.806,0.082,0.044,0.015,0.229,0.413,0.014,0.282,0.124,0.302,0.155,0.623,0.129,0.73,0.32,0.271,0.292,0.064,0.684,0.039,0.105,0.155,0.054,0.171,0.1,0.177,0.698,0.222,0.056,0.025,0.551,0.164,0.031,0.703,0.695,0.373,0.449,0.151,1.223,0.566,0.474,0.136,0.291,0.047,0.701,0.317,0.073,0.153,0.036,0.403,0.322,0.03,0.018,0.079,0.54,0.045,0.337,1.103,0.414,0.403,0.285,0.584,0.388,0.056,0.097,0.434,0.881,0.464
80,131,131,0.346,7.9745846,0.001,4.8332405,0.005,0.378,0.493,0.389,0.352,0.017,1.269,0.34,0.017,1.269,0.34,101|120,1.269|1.123,0.547,0.736,0.017,0.375,0.369,0.723,0.212,0.145,0.21,0.254,0.167,0.772,0.584,0.58,0.31,0.165,0.368,0.573,0.438,0.764,0.591,0.195,0.61,0.419,0.476,0.178,0.635,0.376,0.131,0.456,0.566,0.38,0.903,1.069,0.044,0.033,0.176,0.019,0.04,0.567,0.871,0.276,0.158,0.308,0.443,0.079,0.217,0.089,0.508,0.588,0.112,0.249,0.11,0.03,0.109,0.455,0.325,0.609,0.521,0.326,0.068,0.054,0.324,0.825,0.077,0.04,0.022,0.225,0.429,0.051,0.293,0.098,0.309,0.144,0.649,0.125,0.806,0.327,0.232,0.307,0.056,0.703,0.029,0.102,0.134,0.048,0.164,0.104,0.196,0.711,0.232,0.05,0.025,0.564,0.142,0.037,0.701,0.694,0.372,0.437,0.179,1.269,0.595,0.481,0.103,0.315,0.053,0.713,0.344,0.022,0.132,0.036,0.389,0.291,0.026,0.024,0.086,0.596,0.042,0.303,1.123,0.411,0.4,0.278,0.567,0.364,0.034,0.087,0.441,0.879,0.442
90,131,131,0.325,7.942709,0.001,4.8311772,0.005,0.357,0.493,0.389,0.352,0.016,1.288,0.344,0.016,1.288,0.344,101|120,1.288|1.147,0.526,0.763,0.049,0.409,0.397,0.76,0.241,0.157,0.211,0.254,0.132,0.767,0.551,0.584,0.305,0.157,0.394,0.605,0.422,0.799,0.534,0.186,0.614,0.396,0.48,0.183,0.65,0.395,0.136,0.472,0.58,0.389,0.951,1.089,0.039,0.016,0.166,0.019,0.037,0.582,0.893,0.282,0.136,0.323,0.473,0.074,0.193,0.095,0.535,0.627,0.111,0.263,0.099,0.034,0.116,0.452,0.314,0.644,0.53,0.314,0.04,0.016,0.344,0.842,0.068,0.04,0.02,0.234,0.424,0.033,0.297,0.13,0.326,0.148,0.652,0.12,0.815,0.316,0.238,0.308,0.097,0.703,0.029,0.096,0.117,0.047,0.173,0.106,0.2,0.722,0.268,0.045,0.021,0.564,0.135,0.038,0.722,0.702,0.374,0.418,0.209,1.288,0.591,0.49,0.097,0.323,0.086,0.712,0.356,0.024,0.127,0.035,0.357,0.267,0.035,0.033,0.091,0.614,0.035,0.292,1.147,0.417,0.396,0.263,0.558,0.411,0.029,0.07,0.469,0.88,0.441
