dataset,target_size,algorithm,props,time,oa,aa,k,selected_bands,selected_weights
ghisaconus_health,2,c3,0,140.263,0.426,0.354,0.354,1|76,0.10518282651901245|4.551428719423711e-05
ghisaconus_health,3,c3,0,0.0,0.614,0.522,0.522,1|76|98,0.10518282651901245|4.551428719423711e-05|3.326360820210539e-05
ghisaconus_health,4,c3,0,0.0,0.614,0.538,0.538,1|12|76|98,0.10518282651901245|3.3052121580112725e-05|4.551428719423711e-05|3.326360820210539e-05
ghisaconus_health,5,c3,0,0.0,0.639,0.592,0.592,1|12|70|76|98,0.10518282651901245|3.3052121580112725e-05|3.335207293275744e-05|4.551428719423711e-05|3.326360820210539e-05
ghisaconus_health,6,c3,0,0.0,0.651,0.612,0.612,1|12|33|70|76|98,0.10518282651901245|3.3052121580112725e-05|3.311844193376601e-05|3.335207293275744e-05|4.551428719423711e-05|3.326360820210539e-05
ghisaconus_health,7,c3,0,0.0,0.651,0.617,0.617,1|12|33|44|70|76|98,0.10518282651901245|3.3052121580112725e-05|3.311844193376601e-05|3.445816764724441e-05|3.335207293275744e-05|4.551428719423711e-05|3.326360820210539e-05
ghisaconus_health,8,c3,0,0.0,0.665,0.633,0.633,1|12|33|44|70|76|98|103,0.10518282651901245|3.3052121580112725e-05|3.311844193376601e-05|3.445816764724441e-05|3.335207293275744e-05|4.551428719423711e-05|3.326360820210539e-05|3.35453478328418e-05
ghisaconus_health,9,c3,0,0.0,0.687,0.651,0.651,1|12|27|33|44|70|76|98|103,0.10518282651901245|3.3052121580112725e-05|3.3265161619056016e-05|3.311844193376601e-05|3.445816764724441e-05|3.335207293275744e-05|4.551428719423711e-05|3.326360820210539e-05|3.35453478328418e-05
ghisaconus_health,10,c3,0,0.0,0.689,0.653,0.653,1|12|21|27|33|44|70|76|98|103,0.10518282651901245|3.3052121580112725e-05|3.308769373688847e-05|3.3265161619056016e-05|3.311844193376601e-05|3.445816764724441e-05|3.335207293275744e-05|4.551428719423711e-05|3.326360820210539e-05|3.35453478328418e-05
ghisaconus_health,11,c3,0,0.0,0.69,0.654,0.654,1|12|21|27|33|44|47|70|76|98|103,0.10518282651901245|3.3052121580112725e-05|3.308769373688847e-05|3.3265161619056016e-05|3.311844193376601e-05|3.445816764724441e-05|3.3231102861464024e-05|3.335207293275744e-05|4.551428719423711e-05|3.326360820210539e-05|3.35453478328418e-05
ghisaconus_health,12,c3,0,0.0,0.694,0.656,0.656,1|12|21|27|33|44|47|70|76|98|103|126,0.10518282651901245|3.3052121580112725e-05|3.308769373688847e-05|3.3265161619056016e-05|3.311844193376601e-05|3.445816764724441e-05|3.3231102861464024e-05|3.335207293275744e-05|4.551428719423711e-05|3.326360820210539e-05|3.35453478328418e-05|3.308734449092299e-05
ghisaconus_health,13,c3,0,0.0,0.697,0.656,0.656,1|12|18|21|27|33|44|47|70|76|98|103|126,0.10518282651901245|3.3052121580112725e-05|0.08045841008424759|3.308769373688847e-05|3.3265161619056016e-05|3.311844193376601e-05|3.445816764724441e-05|3.3231102861464024e-05|3.335207293275744e-05|4.551428719423711e-05|3.326360820210539e-05|3.35453478328418e-05|3.308734449092299e-05
ghisaconus_health,14,c3,0,0.0,0.7,0.66,0.66,1|12|18|21|27|33|43|44|47|70|76|98|103|126,0.10518282651901245|3.3052121580112725e-05|0.08045841008424759|3.308769373688847e-05|3.3265161619056016e-05|3.311844193376601e-05|3.3072585210902616e-05|3.445816764724441e-05|3.3231102861464024e-05|3.335207293275744e-05|4.551428719423711e-05|3.326360820210539e-05|3.35453478328418e-05|3.308734449092299e-05
ghisaconus_health,15,c3,0,0.0,0.701,0.661,0.661,1|12|18|21|27|33|43|44|47|70|76|98|100|103|126,0.10518282651901245|3.3052121580112725e-05|0.08045841008424759|3.308769373688847e-05|3.3265161619056016e-05|3.311844193376601e-05|3.3072585210902616e-05|3.445816764724441e-05|3.3231102861464024e-05|3.335207293275744e-05|4.551428719423711e-05|3.326360820210539e-05|3.3140750019811094e-05|3.35453478328418e-05|3.308734449092299e-05
ghisaconus_health,16,c3,0,0.0,0.703,0.662,0.662,1|12|18|21|27|33|43|44|47|63|70|76|98|100|103|126,0.10518282651901245|3.3052121580112725e-05|0.08045841008424759|3.308769373688847e-05|3.3265161619056016e-05|3.311844193376601e-05|3.3072585210902616e-05|3.445816764724441e-05|3.3231102861464024e-05|3.332243795739487e-05|3.335207293275744e-05|4.551428719423711e-05|3.326360820210539e-05|3.3140750019811094e-05|3.35453478328418e-05|3.308734449092299e-05
ghisaconus_health,17,c3,0,0.0,0.705,0.663,0.663,1|12|18|21|27|33|43|44|47|63|70|76|90|98|100|103|126,0.10518282651901245|3.3052121580112725e-05|0.08045841008424759|3.308769373688847e-05|3.3265161619056016e-05|3.311844193376601e-05|3.3072585210902616e-05|3.445816764724441e-05|3.3231102861464024e-05|3.332243795739487e-05|3.335207293275744e-05|4.551428719423711e-05|3.3030755730578676e-05|3.326360820210539e-05|3.3140750019811094e-05|3.35453478328418e-05|3.308734449092299e-05
ghisaconus_health,18,c3,0,0.0,0.704,0.662,0.662,1|12|18|21|25|27|33|43|44|47|63|70|76|90|98|100|103|126,0.10518282651901245|3.3052121580112725e-05|0.08045841008424759|3.308769373688847e-05|3.329219907755032e-05|3.3265161619056016e-05|3.311844193376601e-05|3.3072585210902616e-05|3.445816764724441e-05|3.3231102861464024e-05|3.332243795739487e-05|3.335207293275744e-05|4.551428719423711e-05|3.3030755730578676e-05|3.326360820210539e-05|3.3140750019811094e-05|3.35453478328418e-05|3.308734449092299e-05
ghisaconus_health,19,c3,0,0.0,0.704,0.66,0.66,1|12|18|21|23|25|27|33|43|44|47|63|70|76|90|98|100|103|126,0.10518282651901245|3.3052121580112725e-05|0.08045841008424759|3.308769373688847e-05|0.014504560269415379|3.329219907755032e-05|3.3265161619056016e-05|3.311844193376601e-05|3.3072585210902616e-05|3.445816764724441e-05|3.3231102861464024e-05|3.332243795739487e-05|3.335207293275744e-05|4.551428719423711e-05|3.3030755730578676e-05|3.326360820210539e-05|3.3140750019811094e-05|3.35453478328418e-05|3.308734449092299e-05
ghisaconus_health,20,c3,0,0.0,0.705,0.661,0.661,1|12|18|21|23|25|27|33|43|44|47|58|63|70|76|90|98|100|103|126,0.10518282651901245|3.3052121580112725e-05|0.08045841008424759|3.308769373688847e-05|0.014504560269415379|3.329219907755032e-05|3.3265161619056016e-05|3.311844193376601e-05|3.3072585210902616e-05|3.445816764724441e-05|3.3231102861464024e-05|3.3091764635173604e-05|3.332243795739487e-05|3.335207293275744e-05|4.551428719423711e-05|3.3030755730578676e-05|3.326360820210539e-05|3.3140750019811094e-05|3.35453478328418e-05|3.308734449092299e-05
ghisaconus_health,21,c3,0,0.0,0.706,0.662,0.662,1|12|18|21|23|25|27|29|33|43|44|47|58|63|70|76|90|98|100|103|126,0.10518282651901245|3.3052121580112725e-05|0.08045841008424759|3.308769373688847e-05|0.014504560269415379|3.329219907755032e-05|3.3265161619056016e-05|3.331846892251633e-05|3.311844193376601e-05|3.3072585210902616e-05|3.445816764724441e-05|3.3231102861464024e-05|3.3091764635173604e-05|3.332243795739487e-05|3.335207293275744e-05|4.551428719423711e-05|3.3030755730578676e-05|3.326360820210539e-05|3.3140750019811094e-05|3.35453478328418e-05|3.308734449092299e-05
ghisaconus_health,22,c3,0,0.0,0.706,0.662,0.662,1|12|18|21|23|25|27|29|33|40|43|44|47|58|63|70|76|90|98|100|103|126,0.10518282651901245|3.3052121580112725e-05|0.08045841008424759|3.308769373688847e-05|0.014504560269415379|3.329219907755032e-05|3.3265161619056016e-05|3.331846892251633e-05|3.311844193376601e-05|0.03473564609885216|3.3072585210902616e-05|3.445816764724441e-05|3.3231102861464024e-05|3.3091764635173604e-05|3.332243795739487e-05|3.335207293275744e-05|4.551428719423711e-05|3.3030755730578676e-05|3.326360820210539e-05|3.3140750019811094e-05|3.35453478328418e-05|3.308734449092299e-05
ghisaconus_health,23,c3,0,0.0,0.706,0.661,0.661,1|12|18|21|23|25|27|29|33|40|43|44|47|57|58|63|70|76|90|98|100|103|126,0.10518282651901245|3.3052121580112725e-05|0.08045841008424759|3.308769373688847e-05|0.014504560269415379|3.329219907755032e-05|3.3265161619056016e-05|3.331846892251633e-05|3.311844193376601e-05|0.03473564609885216|3.3072585210902616e-05|3.445816764724441e-05|3.3231102861464024e-05|3.386872776900418e-05|3.3091764635173604e-05|3.332243795739487e-05|3.335207293275744e-05|4.551428719423711e-05|3.3030755730578676e-05|3.326360820210539e-05|3.3140750019811094e-05|3.35453478328418e-05|3.308734449092299e-05
ghisaconus_health,24,c3,0,0.0,0.708,0.665,0.665,1|12|18|21|23|25|27|29|32|33|40|43|44|47|57|58|63|70|76|90|98|100|103|126,0.10518282651901245|3.3052121580112725e-05|0.08045841008424759|3.308769373688847e-05|0.014504560269415379|3.329219907755032e-05|3.3265161619056016e-05|3.331846892251633e-05|0.0005633929395116866|3.311844193376601e-05|0.03473564609885216|3.3072585210902616e-05|3.445816764724441e-05|3.3231102861464024e-05|3.386872776900418e-05|3.3091764635173604e-05|3.332243795739487e-05|3.335207293275744e-05|4.551428719423711e-05|3.3030755730578676e-05|3.326360820210539e-05|3.3140750019811094e-05|3.35453478328418e-05|3.308734449092299e-05
ghisaconus_health,25,c3,0,0.0,0.706,0.663,0.663,1|12|18|21|23|25|27|29|32|33|40|43|44|47|57|58|63|70|76|90|98|100|103|126|128,0.10518282651901245|3.3052121580112725e-05|0.08045841008424759|3.308769373688847e-05|0.014504560269415379|3.329219907755032e-05|3.3265161619056016e-05|3.331846892251633e-05|0.0005633929395116866|3.311844193376601e-05|0.03473564609885216|3.3072585210902616e-05|3.445816764724441e-05|3.3231102861464024e-05|3.386872776900418e-05|3.3091764635173604e-05|3.332243795739487e-05|3.335207293275744e-05|4.551428719423711e-05|3.3030755730578676e-05|3.326360820210539e-05|3.3140750019811094e-05|3.35453478328418e-05|3.308734449092299e-05|3.316379661555402e-05
ghisaconus_health,26,c3,0,0.0,0.707,0.664,0.664,0|1|12|18|21|23|25|27|29|32|33|40|43|44|47|57|58|63|70|76|90|98|100|103|126|128,0.0006838126573711634|0.10518282651901245|3.3052121580112725e-05|0.08045841008424759|3.308769373688847e-05|0.014504560269415379|3.329219907755032e-05|3.3265161619056016e-05|3.331846892251633e-05|0.0005633929395116866|3.311844193376601e-05|0.03473564609885216|3.3072585210902616e-05|3.445816764724441e-05|3.3231102861464024e-05|3.386872776900418e-05|3.3091764635173604e-05|3.332243795739487e-05|3.335207293275744e-05|4.551428719423711e-05|3.3030755730578676e-05|3.326360820210539e-05|3.3140750019811094e-05|3.35453478328418e-05|3.308734449092299e-05|3.316379661555402e-05
ghisaconus_health,27,c3,0,0.0,0.706,0.663,0.663,0|1|12|18|21|23|25|27|29|32|33|40|43|44|47|57|58|63|70|76|90|98|100|103|126|128|129,0.0006838126573711634|0.10518282651901245|3.3052121580112725e-05|0.08045841008424759|3.308769373688847e-05|0.014504560269415379|3.329219907755032e-05|3.3265161619056016e-05|3.331846892251633e-05|0.0005633929395116866|3.311844193376601e-05|0.03473564609885216|3.3072585210902616e-05|3.445816764724441e-05|3.3231102861464024e-05|3.386872776900418e-05|3.3091764635173604e-05|3.332243795739487e-05|3.335207293275744e-05|4.551428719423711e-05|3.3030755730578676e-05|3.326360820210539e-05|3.3140750019811094e-05|3.35453478328418e-05|3.308734449092299e-05|3.316379661555402e-05|3.459009531070478e-05
ghisaconus_health,28,c3,0,0.0,0.706,0.663,0.663,0|1|12|18|21|23|25|27|29|32|33|40|43|44|47|57|58|63|70|76|90|98|100|102|103|126|128|129,0.0006838126573711634|0.10518282651901245|3.3052121580112725e-05|0.08045841008424759|3.308769373688847e-05|0.014504560269415379|3.329219907755032e-05|3.3265161619056016e-05|3.331846892251633e-05|0.0005633929395116866|3.311844193376601e-05|0.03473564609885216|3.3072585210902616e-05|3.445816764724441e-05|3.3231102861464024e-05|3.386872776900418e-05|3.3091764635173604e-05|3.332243795739487e-05|3.335207293275744e-05|4.551428719423711e-05|3.3030755730578676e-05|3.326360820210539e-05|3.3140750019811094e-05|0.041320689022541046|3.35453478328418e-05|3.308734449092299e-05|3.316379661555402e-05|3.459009531070478e-05
ghisaconus_health,29,c3,0,0.0,0.704,0.66,0.66,0|1|12|18|21|23|25|27|28|29|32|33|40|43|44|47|57|58|63|70|76|90|98|100|102|103|126|128|129,0.0006838126573711634|0.10518282651901245|3.3052121580112725e-05|0.08045841008424759|3.308769373688847e-05|0.014504560269415379|3.329219907755032e-05|3.3265161619056016e-05|3.571183333406225e-05|3.331846892251633e-05|0.0005633929395116866|3.311844193376601e-05|0.03473564609885216|3.3072585210902616e-05|3.445816764724441e-05|3.3231102861464024e-05|3.386872776900418e-05|3.3091764635173604e-05|3.332243795739487e-05|3.335207293275744e-05|4.551428719423711e-05|3.3030755730578676e-05|3.326360820210539e-05|3.3140750019811094e-05|0.041320689022541046|3.35453478328418e-05|3.308734449092299e-05|3.316379661555402e-05|3.459009531070478e-05
ghisaconus_health,30,c3,0,0.0,0.704,0.66,0.66,0|1|12|18|21|23|25|27|28|29|32|33|40|43|44|47|57|58|63|70|76|90|98|100|102|103|108|126|128|129,0.0006838126573711634|0.10518282651901245|3.3052121580112725e-05|0.08045841008424759|3.308769373688847e-05|0.014504560269415379|3.329219907755032e-05|3.3265161619056016e-05|3.571183333406225e-05|3.331846892251633e-05|0.0005633929395116866|3.311844193376601e-05|0.03473564609885216|3.3072585210902616e-05|3.445816764724441e-05|3.3231102861464024e-05|3.386872776900418e-05|3.3091764635173604e-05|3.332243795739487e-05|3.335207293275744e-05|4.551428719423711e-05|3.3030755730578676e-05|3.326360820210539e-05|3.3140750019811094e-05|0.041320689022541046|3.35453478328418e-05|0.00010942211520159617|3.308734449092299e-05|3.316379661555402e-05|3.459009531070478e-05
