fold,dataset,oa,aa,k
0,lucas_r,0.121,0.128,0
1,lucas_r,0.174,0.124,0
2,lucas_r,0.123,0.128,0
3,lucas_r,0.143,0.127,0
4,lucas_r,0.126,0.128,0
5,lucas_r,0.106,0.13,0
6,lucas_r,0.124,0.128,0
7,lucas_r,0.084,0.131,0
8,lucas_r,0.127,0.128,0
9,lucas_r,0.145,0.126,0
10,lucas_r,0.131,0.128,0
11,lucas_r,0.119,0.128,0
12,lucas_r,0.16,0.125,0
13,lucas_r,0.145,0.126,0
14,lucas_r,0.145,0.127,0
15,lucas_r,0.1,0.13,0
16,lucas_r,0.126,0.128,0
17,lucas_r,0.16,0.124,0
18,lucas_r,0.137,0.126,0
19,lucas_r,0.124,0.128,0
0,lucas_r,0.111,0.129,0
1,lucas_r,0.121,0.128,0
2,lucas_r,0.089,0.13,0
3,lucas_r,0.135,0.127,0
4,lucas_r,0.112,0.129,0
5,lucas_r,0.11,0.129,0
6,lucas_r,0.125,0.128,0
7,lucas_r,0.136,0.127,0
8,lucas_r,0.131,0.127,0
9,lucas_r,0.138,0.127,0
10,lucas_r,0.159,0.124,0
11,lucas_r,0.132,0.128,0
12,lucas_r,0.142,0.127,0
13,lucas_r,0.107,0.13,0
14,lucas_r,0.138,0.127,0
15,lucas_r,0.137,0.127,0
16,lucas_r,0.162,0.125,0
17,lucas_r,0.123,0.128,0
18,lucas_r,0.146,0.127,0
0,lucas_r,0.14,0.127,0
1,lucas_r,0.153,0.126,0
0,lucas_r,0.111,0.129,0
0,lucas_r,0.108,0.13,0
