dataset,target_size,algorithm,oa,aa,k,fold
indian_pines,5,random,0.6,0.53,0.55,0
indian_pines,5,random,0.61,0.55,0.55,1
indian_pines,5,random,0.61,0.56,0.55,2
indian_pines,5,random,0.62,0.58,0.57,3
indian_pines,5,random,0.63,0.61,0.58,4
indian_pines,5,random,0.63,0.6,0.57,5
indian_pines,5,random,0.63,0.58,0.57,6
indian_pines,5,random,0.62,0.6,0.56,7
indian_pines,5,random,0.59,0.54,0.54,8
indian_pines,5,random,0.62,0.57,0.56,9
indian_pines,5,random,0.62,0.58,0.56,10
indian_pines,5,random,0.61,0.56,0.56,11
indian_pines,5,random,0.62,0.56,0.57,12
indian_pines,5,random,0.62,0.55,0.57,13
indian_pines,5,random,0.62,0.53,0.57,14
indian_pines,5,random,0.62,0.59,0.56,15
indian_pines,5,random,0.63,0.56,0.57,16
indian_pines,5,random,0.63,0.53,0.57,17
indian_pines,5,random,0.61,0.58,0.55,18
indian_pines,5,random,0.62,0.58,0.56,19
indian_pines,10,random,0.68,0.64,0.64,0
indian_pines,10,random,0.69,0.62,0.64,1
indian_pines,10,random,0.66,0.64,0.62,2
indian_pines,10,random,0.69,0.64,0.64,3
indian_pines,10,random,0.7,0.67,0.66,4
indian_pines,10,random,0.71,0.68,0.67,5
indian_pines,10,random,0.68,0.63,0.63,6
indian_pines,10,random,0.7,0.68,0.66,7
indian_pines,10,random,0.66,0.6,0.61,8
indian_pines,10,random,0.69,0.65,0.65,9
indian_pines,10,random,0.7,0.64,0.66,10
indian_pines,10,random,0.7,0.64,0.65,11
indian_pines,10,random,0.68,0.62,0.64,12
indian_pines,10,random,0.69,0.59,0.65,13
indian_pines,10,random,0.67,0.58,0.63,14
indian_pines,10,random,0.68,0.66,0.64,15
indian_pines,10,random,0.71,0.64,0.67,16
indian_pines,10,random,0.68,0.57,0.64,17
indian_pines,10,random,0.68,0.61,0.63,18
indian_pines,10,random,0.68,0.65,0.64,19
indian_pines,15,random,0.64,0.56,0.59,0
indian_pines,15,random,0.65,0.61,0.6,1
indian_pines,15,random,0.64,0.59,0.59,2
indian_pines,15,random,0.65,0.61,0.6,3
indian_pines,15,random,0.64,0.61,0.6,4
indian_pines,15,random,0.66,0.61,0.61,5
indian_pines,15,random,0.64,0.6,0.59,6
indian_pines,15,random,0.62,0.57,0.57,7
indian_pines,15,random,0.62,0.58,0.57,8
indian_pines,15,random,0.65,0.61,0.6,9
indian_pines,15,random,0.65,0.6,0.6,10
indian_pines,15,random,0.63,0.57,0.58,11
indian_pines,15,random,0.64,0.58,0.59,12
indian_pines,15,random,0.64,0.57,0.58,13
indian_pines,15,random,0.63,0.53,0.57,14
indian_pines,15,random,0.63,0.58,0.58,15
indian_pines,15,random,0.64,0.59,0.58,16
indian_pines,15,random,0.63,0.55,0.58,17
