fold,dataset,oa,aa,k
0,indian_pines,0.746,0.613,0.709
1,indian_pines,0.742,0.604,0.703
2,indian_pines,0.736,0.616,0.697
3,indian_pines,0.734,0.62,0.695
4,indian_pines,0.744,0.657,0.706
5,indian_pines,0.731,0.611,0.691
6,indian_pines,0.74,0.627,0.702
7,indian_pines,0.729,0.605,0.689
8,indian_pines,0.73,0.599,0.691
9,indian_pines,0.731,0.621,0.691
10,indian_pines,0.739,0.637,0.7
11,indian_pines,0.743,0.627,0.704
12,indian_pines,0.732,0.618,0.693
13,indian_pines,0.751,0.618,0.715
14,indian_pines,0.736,0.613,0.696
15,indian_pines,0.752,0.648,0.717
16,indian_pines,0.748,0.621,0.71
17,indian_pines,0.743,0.597,0.705
18,indian_pines,0.736,0.625,0.696
19,indian_pines,0.721,0.626,0.682
0,indian_pines,0.744,0.633,0.707
1,indian_pines,0.741,0.653,0.703
2,indian_pines,0.734,0.625,0.696
3,indian_pines,0.748,0.647,0.712
4,indian_pines,0.758,0.621,0.722
5,indian_pines,0.744,0.612,0.707
6,indian_pines,0.745,0.608,0.707
7,indian_pines,0.723,0.594,0.682
8,indian_pines,0.73,0.596,0.69
9,indian_pines,0.745,0.609,0.707
10,indian_pines,0.732,0.592,0.692
11,indian_pines,0.747,0.623,0.709
12,indian_pines,0.745,0.651,0.707
13,indian_pines,0.748,0.618,0.711
14,indian_pines,0.746,0.618,0.709
15,indian_pines,0.73,0.599,0.691
16,indian_pines,0.751,0.638,0.713
17,indian_pines,0.735,0.622,0.695
18,indian_pines,0.736,0.592,0.698
19,indian_pines,0.725,0.593,0.684
0,paviaU,0.925,0.904,0.9
1,paviaU,0.917,0.897,0.89
2,paviaU,0.92,0.902,0.894
3,paviaU,0.921,0.899,0.895
4,paviaU,0.924,0.901,0.899
5,paviaU,0.918,0.896,0.891
6,paviaU,0.922,0.894,0.896
7,paviaU,0.917,0.895,0.89
8,paviaU,0.917,0.898,0.89
9,paviaU,0.922,0.898,0.897
10,paviaU,0.915,0.895,0.888
11,paviaU,0.92,0.91,0.894
12,paviaU,0.927,0.905,0.903
13,paviaU,0.919,0.901,0.893
14,paviaU,0.924,0.906,0.899
15,paviaU,0.919,0.895,0.892
16,paviaU,0.921,0.894,0.895
17,paviaU,0.915,0.893,0.888
18,paviaU,0.924,0.91,0.899
19,paviaU,0.921,0.898,0.896
0,indian_pines,0.718,0.588,0.678
1,indian_pines,0.745,0.601,0.707
2,indian_pines,0.739,0.617,0.7
3,indian_pines,0.738,0.632,0.7
4,indian_pines,0.748,0.659,0.712
5,indian_pines,0.752,0.618,0.716
6,indian_pines,0.738,0.621,0.701
7,indian_pines,0.741,0.624,0.703
8,indian_pines,0.733,0.626,0.695
9,indian_pines,0.746,0.639,0.71
10,indian_pines,0.742,0.604,0.705
11,indian_pines,0.731,0.633,0.691
12,indian_pines,0.733,0.607,0.694
13,indian_pines,0.723,0.587,0.683
14,indian_pines,0.747,0.643,0.71
15,indian_pines,0.736,0.601,0.698
16,indian_pines,0.745,0.623,0.707
17,indian_pines,0.727,0.606,0.686
18,indian_pines,0.733,0.595,0.694
19,indian_pines,0.736,0.646,0.697
0,paviaU,0.926,0.907,0.901
1,paviaU,0.919,0.895,0.893
2,paviaU,0.92,0.903,0.894
3,paviaU,0.919,0.898,0.892
4,paviaU,0.92,0.903,0.894
5,paviaU,0.914,0.893,0.886
6,paviaU,0.919,0.9,0.892
7,paviaU,0.921,0.9,0.895
8,paviaU,0.916,0.904,0.889
9,paviaU,0.918,0.895,0.891
10,paviaU,0.922,0.898,0.896
11,paviaU,0.919,0.89,0.892
12,paviaU,0.923,0.903,0.897
13,paviaU,0.92,0.899,0.894
14,paviaU,0.924,0.902,0.899
15,paviaU,0.919,0.893,0.892
16,paviaU,0.918,0.892,0.891
17,paviaU,0.927,0.904,0.902
18,paviaU,0.923,0.906,0.898
19,paviaU,0.926,0.905,0.902
0,salinas,0.918,0.959,0.909
1,salinas,0.914,0.953,0.904
2,salinas,0.912,0.955,0.902
3,salinas,0.917,0.958,0.908
4,salinas,0.917,0.957,0.908
5,salinas,0.921,0.96,0.912
6,salinas,0.921,0.958,0.912
7,salinas,0.921,0.961,0.912
8,salinas,0.919,0.956,0.91
9,salinas,0.919,0.961,0.91
10,salinas,0.918,0.957,0.909
11,salinas,0.921,0.957,0.912
12,salinas,0.921,0.961,0.912
13,salinas,0.917,0.954,0.907
14,salinas,0.923,0.962,0.914
15,salinas,0.92,0.96,0.911
16,salinas,0.913,0.957,0.903
17,salinas,0.916,0.96,0.906
18,salinas,0.921,0.959,0.912
19,salinas,0.916,0.958,0.907
0,indian_pines,0.75,0.618,0.712
1,indian_pines,0.722,0.594,0.681
2,indian_pines,0.742,0.636,0.705
3,indian_pines,0.737,0.58,0.699
4,indian_pines,0.741,0.619,0.703
5,indian_pines,0.748,0.612,0.712
6,indian_pines,0.728,0.603,0.688
7,indian_pines,0.747,0.624,0.71
8,indian_pines,0.745,0.635,0.708
9,indian_pines,0.741,0.623,0.704
10,indian_pines,0.752,0.629,0.717
11,indian_pines,0.738,0.584,0.699
12,indian_pines,0.734,0.62,0.696
13,indian_pines,0.737,0.631,0.699
14,indian_pines,0.737,0.622,0.698
15,indian_pines,0.727,0.614,0.688
16,indian_pines,0.743,0.636,0.705
17,indian_pines,0.734,0.633,0.695
18,indian_pines,0.739,0.612,0.702
19,indian_pines,0.739,0.609,0.7
0,paviaU,0.924,0.904,0.898
1,paviaU,0.923,0.902,0.898
2,paviaU,0.921,0.9,0.895
3,paviaU,0.922,0.904,0.897
4,paviaU,0.924,0.903,0.899
5,paviaU,0.919,0.901,0.893
6,paviaU,0.921,0.899,0.895
7,paviaU,0.92,0.9,0.894
8,paviaU,0.92,0.896,0.894
9,paviaU,0.923,0.899,0.898
10,paviaU,0.921,0.894,0.895
