dataset,target_size,algorithm,time,oa,aa,k,selected_bands,selected_weights
indian_pines,5,random,0.464,0.62,0.567,0.567,35|60|75|86|186,1|1|1|1|1
indian_pines,10,random,0.001,0.686,0.632,0.632,15|60|68|82|83|113|117|158|176|185,1|1|1|1|1|1|1|1|1|1
indian_pines,15,random,0.0,0.636,0.585,0.585,13|73|99|104|108|137|140|141|142|168|182|186|187|195|196,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,20,random,0.001,0.643,0.598,0.598,3|9|10|15|16|51|53|55|56|66|67|70|80|88|102|108|114|142|145|167,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,25,random,0.0,0.713,0.653,0.653,2|13|20|27|36|44|59|76|77|96|99|102|104|105|117|131|133|136|139|152|158|161|165|171|181,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,30,random,0.0,0.737,0.657,0.657,4|10|24|34|35|42|46|56|59|79|85|92|110|118|125|126|130|131|140|145|147|150|173|174|177|179|185|193|196|198,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,5,linspacer,0.089,0.677,0.618,0.618,20|60|100|139|179,1|1|1|1|1
indian_pines,10,linspacer,0.0,0.718,0.664,0.664,10|30|50|70|90|109|129|149|169|189,1|1|1|1|1|1|1|1|1|1
indian_pines,15,linspacer,0.0,0.731,0.687,0.687,7|20|33|46|60|73|86|100|113|126|139|153|166|179|192,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,20,linspacer,0.0,0.715,0.644,0.644,5|15|25|35|45|55|65|75|85|95|104|114|124|134|144|154|164|174|184|194,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,25,linspacer,0.0,0.741,0.698,0.698,4|12|20|28|36|44|52|60|68|76|84|92|100|107|115|123|131|139|147|155|163|171|179|187|195,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,30,linspacer,0.0,0.724,0.635,0.635,3|10|17|23|30|36|43|50|56|63|70|76|83|90|96|103|109|116|123|129|136|143|149|156|163|169|176|182|189|196,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,5,pcal,0.131,0.462,0.317,0.317,0|26|27|28|29,0.33537425784633546|0.32100898629666497|0.3214171629160066|0.3258962826500248|0.32341166304288416
indian_pines,10,pcal,0.0,0.489,0.403,0.403,0|23|24|25|26|27|28|29|30|31,0.33537425784633546|0.2910068051028952|0.2965715757121574|0.30832398413695566|0.32100898629666497|0.3214171629160066|0.3258962826500248|0.32341166304288416|0.32017520849679276|0.2897939959490863
indian_pines,15,pcal,0.0,0.553,0.489,0.489,0|21|22|23|24|25|26|27|28|29|30|31|32|60|74,0.33537425784633546|0.270771652631289|0.28074801061579213|0.2910068051028952|0.2965715757121574|0.30832398413695566|0.32100898629666497|0.3214171629160066|0.3258962826500248|0.32341166304288416|0.32017520849679276|0.2897939959490863|0.28078188847714597|0.26577992000613615|0.289540519889453
indian_pines,20,pcal,0.0,0.614,0.55,0.55,0|19|20|21|22|23|24|25|26|27|28|29|30|31|32|39|60|74|107|111,0.33537425784633546|0.2541532062820732|0.2625622660033661|0.270771652631289|0.28074801061579213|0.2910068051028952|0.2965715757121574|0.30832398413695566|0.32100898629666497|0.3214171629160066|0.3258962826500248|0.32341166304288416|0.32017520849679276|0.2897939959490863|0.28078188847714597|0.2558943277602005|0.26577992000613615|0.289540519889453|0.2479209097438632|0.24946396257560144
indian_pines,25,pcal,0.0,0.633,0.568,0.568,0|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|39|60|74|107|109|110|111|112|113,0.33537425784633546|0.2541532062820732|0.2625622660033661|0.270771652631289|0.28074801061579213|0.2910068051028952|0.2965715757121574|0.30832398413695566|0.32100898629666497|0.3214171629160066|0.3258962826500248|0.32341166304288416|0.32017520849679276|0.2897939959490863|0.28078188847714597|0.24379155996096072|0.2558943277602005|0.26577992000613615|0.289540519889453|0.2479209097438632|0.24738070355367833|0.24304801689344963|0.24946396257560144|0.24307295093212913|0.2414432451801253
indian_pines,30,pcal,0.0,0.637,0.571,0.571,0|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|39|56|60|74|105|107|108|109|110|111|112|113|114|115,0.33537425784633546|0.2541532062820732|0.2625622660033661|0.270771652631289|0.28074801061579213|0.2910068051028952|0.2965715757121574|0.30832398413695566|0.32100898629666497|0.3214171629160066|0.3258962826500248|0.32341166304288416|0.32017520849679276|0.2897939959490863|0.28078188847714597|0.24379155996096072|0.2558943277602005|0.23801154813842088|0.26577992000613615|0.289540519889453|0.23933609840685244|0.2479209097438632|0.23803470727054377|0.24738070355367833|0.24304801689344963|0.24946396257560144|0.24307295093212913|0.2414432451801253|0.2386553680515847|0.23716550436705144
indian_pines,5,mcuve,2.744,0.451,0.278,0.278,108|109|110|111|112,0.0|0.0|0.0|0.0|0.0
indian_pines,10,mcuve,2.622,0.535,0.45,0.45,108|110|111|112|165|166|167|168|169|172,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
indian_pines,15,mcuve,2.614,0.545,0.493,0.493,107|108|110|111|112|113|114|164|165|166|167|168|169|170|173,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
indian_pines,20,mcuve,2.661,0.544,0.499,0.499,107|108|109|110|111|112|113|114|162|163|164|165|166|167|168|169|170|171|172|173,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
indian_pines,25,mcuve,2.618,0.569,0.527,0.527,107|108|109|110|111|112|113|114|115|116|162|163|164|165|166|167|168|169|170|171|172|173|174|175|176,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
indian_pines,30,mcuve,2.628,0.642,0.59,0.59,34|107|108|109|110|111|112|113|114|115|116|117|118|119|120|121|122|163|164|165|166|167|168|169|170|171|172|173|174|175,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
indian_pines,5,bsnet,92.434,0.659,0.584,0.584,51|59|62|116|163,0.5319337844848633|0.4755806028842926|0.4444795846939087|0.4524761736392975|0.46150293946266174
indian_pines,10,bsnet,0.0,0.671,0.622,0.622,45|51|57|59|62|68|94|116|153|163,0.5087026953697205|0.5319337844848633|0.5404986143112183|0.4755806028842926|0.4444795846939087|0.5071378350257874|0.4834050238132477|0.4524761736392975|0.44966140389442444|0.46150293946266174
indian_pines,15,bsnet,0.0,0.657,0.617,0.617,42|45|48|51|57|59|62|68|74|79|94|116|153|163|186,0.4727187156677246|0.5087026953697205|0.4632033407688141|0.5319337844848633|0.5404986143112183|0.4755806028842926|0.4444795846939087|0.5071378350257874|0.4461917281150818|0.45316919684410095|0.4834050238132477|0.4524761736392975|0.44966140389442444|0.46150293946266174|0.5188454389572144
