epoch,l0_cw,l0_s,mse_loss,l1_loss,lambda_value,loss,oa,aa,k,min_cw,max_cw,avg_cw,min_s,max_s,avg_s,selected_bands,selected_weights,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28,weight_29,weight_30,weight_31,weight_32,weight_33,weight_34,weight_35,weight_36,weight_37,weight_38,weight_39,weight_40,weight_41,weight_42,weight_43,weight_44,weight_45,weight_46,weight_47,weight_48,weight_49,weight_50,weight_51,weight_52,weight_53,weight_54,weight_55,weight_56,weight_57,weight_58,weight_59,weight_60,weight_61,weight_62,weight_63,weight_64,weight_65,weight_66,weight_67,weight_68,weight_69,weight_70,weight_71,weight_72,weight_73,weight_74,weight_75,weight_76,weight_77,weight_78,weight_79,weight_80,weight_81,weight_82,weight_83,weight_84,weight_85,weight_86,weight_87,weight_88,weight_89,weight_90,weight_91,weight_92,weight_93,weight_94,weight_95,weight_96,weight_97,weight_98,weight_99,weight_100,weight_101,weight_102,weight_103,weight_104,weight_105,weight_106,weight_107,weight_108,weight_109,weight_110,weight_111,weight_112,weight_113,weight_114,weight_115,weight_116,weight_117,weight_118,weight_119,weight_120,weight_121,weight_122,weight_123,weight_124,weight_125,weight_126,weight_127,weight_128,weight_129,weight_130
0,131,131,2.061,10.4330511,0.01,2.165,0.495,0.408,0.36,0.007,0.009,0.008,0.007,0.009,0.008,119|120,0.009|0.009,0.008,0.008,0.008,0.007,0.008,0.008,0.007,0.008,0.008,0.007,0.007,0.008,0.008,0.007,0.007,0.008,0.008,0.007,0.008,0.008,0.007,0.007,0.007,0.007,0.008,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.007,0.007,0.007,0.008,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.008,0.007,0.008,0.008,0.007,0.007,0.008,0.007,0.007,0.008,0.007,0.008,0.007,0.008,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.007,0.008,0.007,0.009,0.008,0.008,0.007,0.007,0.008,0.008,0.007,0.008,0.007,0.007,0.008,0.008,0.007,0.008,0.007,0.008,0.007,0.008,0.007,0.008,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.008,0.007,0.007,0.007,0.007,0.008,0.007,0.007,0.007,0.008,0.007,0.008,0.008,0.008,0.007,0.009,0.009,0.007,0.008,0.008,0.007,0.008,0.008,0.008,0.008,0.008,0.008
10,131,131,0.911,10.1615982,0.01,1.012,0.501,0.406,0.366,0.006,0.014,0.008,0.006,0.014,0.008,40|129,0.014|0.013,0.012,0.011,0.006,0.006,0.007,0.008,0.009,0.009,0.006,0.008,0.007,0.008,0.012,0.006,0.007,0.008,0.006,0.008,0.012,0.009,0.006,0.008,0.008,0.007,0.007,0.008,0.007,0.007,0.006,0.007,0.007,0.006,0.007,0.011,0.006,0.006,0.011,0.008,0.006,0.006,0.014,0.008,0.007,0.009,0.011,0.008,0.007,0.008,0.007,0.007,0.011,0.007,0.006,0.006,0.006,0.008,0.008,0.01,0.007,0.007,0.006,0.007,0.007,0.007,0.008,0.008,0.006,0.007,0.006,0.006,0.009,0.006,0.006,0.009,0.009,0.007,0.012,0.007,0.008,0.008,0.008,0.01,0.007,0.006,0.008,0.007,0.006,0.007,0.007,0.007,0.008,0.006,0.006,0.008,0.006,0.007,0.006,0.006,0.011,0.009,0.007,0.006,0.008,0.012,0.007,0.006,0.006,0.006,0.008,0.006,0.009,0.007,0.006,0.007,0.01,0.006,0.007,0.007,0.006,0.006,0.01,0.007,0.007,0.007,0.007,0.008,0.006,0.008,0.012,0.013,0.006
20,131,131,0.767,9.4556389,0.01,0.862,0.494,0.412,0.359,0.005,0.028,0.008,0.005,0.028,0.008,76|103,0.028|0.019,0.009,0.013,0.006,0.005,0.009,0.006,0.009,0.011,0.006,0.007,0.006,0.008,0.018,0.005,0.007,0.008,0.005,0.006,0.018,0.008,0.005,0.011,0.008,0.008,0.006,0.011,0.007,0.007,0.005,0.007,0.007,0.007,0.008,0.017,0.006,0.005,0.009,0.008,0.005,0.006,0.016,0.005,0.005,0.009,0.01,0.005,0.007,0.011,0.007,0.006,0.013,0.005,0.006,0.005,0.005,0.008,0.005,0.009,0.008,0.006,0.005,0.006,0.009,0.009,0.006,0.007,0.006,0.008,0.005,0.005,0.014,0.006,0.005,0.007,0.008,0.007,0.028,0.006,0.006,0.008,0.007,0.01,0.007,0.005,0.008,0.007,0.005,0.008,0.006,0.007,0.01,0.006,0.005,0.005,0.006,0.005,0.005,0.006,0.014,0.01,0.009,0.006,0.008,0.019,0.007,0.006,0.005,0.005,0.008,0.005,0.007,0.005,0.005,0.006,0.011,0.005,0.005,0.005,0.005,0.007,0.009,0.005,0.006,0.006,0.005,0.007,0.007,0.007,0.012,0.013,0.005
30,131,131,0.669,7.7398605,0.01,0.746,0.445,0.369,0.292,0.004,0.048,0.008,0.004,0.048,0.008,76|12,0.048|0.038,0.01,0.023,0.004,0.004,0.008,0.004,0.007,0.011,0.004,0.006,0.004,0.007,0.038,0.004,0.005,0.006,0.004,0.004,0.023,0.007,0.004,0.016,0.009,0.012,0.006,0.015,0.007,0.009,0.006,0.008,0.007,0.006,0.009,0.026,0.004,0.005,0.006,0.005,0.004,0.004,0.016,0.004,0.004,0.01,0.012,0.004,0.007,0.015,0.008,0.004,0.011,0.004,0.004,0.004,0.005,0.009,0.004,0.011,0.012,0.004,0.004,0.004,0.005,0.008,0.005,0.004,0.005,0.006,0.004,0.004,0.02,0.005,0.005,0.005,0.008,0.007,0.048,0.004,0.005,0.006,0.005,0.007,0.006,0.004,0.007,0.006,0.005,0.006,0.005,0.007,0.012,0.006,0.004,0.004,0.005,0.005,0.004,0.006,0.019,0.008,0.01,0.006,0.007,0.032,0.005,0.004,0.004,0.004,0.006,0.004,0.006,0.005,0.004,0.004,0.007,0.004,0.004,0.004,0.004,0.009,0.008,0.004,0.004,0.005,0.004,0.008,0.008,0.005,0.011,0.014,0.004
40,131,131,0.606,6.2064247,0.01,0.668,0.445,0.369,0.292,0.003,0.065,0.008,0.003,0.065,0.008,76|12,0.065|0.057,0.013,0.033,0.003,0.003,0.006,0.003,0.005,0.01,0.003,0.005,0.003,0.004,0.057,0.003,0.003,0.004,0.003,0.003,0.027,0.005,0.003,0.021,0.009,0.015,0.005,0.015,0.006,0.014,0.007,0.009,0.005,0.005,0.01,0.033,0.003,0.003,0.004,0.004,0.003,0.003,0.016,0.003,0.003,0.01,0.011,0.003,0.007,0.018,0.006,0.003,0.01,0.003,0.003,0.003,0.005,0.008,0.003,0.013,0.016,0.003,0.003,0.003,0.003,0.007,0.004,0.003,0.003,0.005,0.003,0.003,0.033,0.003,0.004,0.003,0.005,0.005,0.065,0.004,0.003,0.004,0.004,0.008,0.004,0.003,0.007,0.005,0.005,0.004,0.003,0.008,0.011,0.007,0.003,0.004,0.003,0.003,0.003,0.007,0.022,0.007,0.014,0.005,0.005,0.041,0.003,0.003,0.003,0.003,0.005,0.003,0.005,0.004,0.003,0.003,0.005,0.003,0.003,0.003,0.003,0.01,0.007,0.003,0.003,0.004,0.003,0.008,0.009,0.003,0.01,0.012,0.003
50,131,131,0.555,5.1565275,0.01,0.607,0.445,0.369,0.292,0.002,0.089,0.008,0.002,0.089,0.008,76|12,0.089|0.065,0.013,0.039,0.002,0.002,0.004,0.003,0.004,0.01,0.002,0.004,0.002,0.002,0.065,0.002,0.002,0.003,0.002,0.002,0.027,0.004,0.002,0.023,0.008,0.015,0.004,0.014,0.006,0.019,0.008,0.01,0.004,0.005,0.008,0.039,0.002,0.002,0.003,0.003,0.002,0.003,0.015,0.003,0.002,0.011,0.013,0.002,0.006,0.02,0.006,0.002,0.009,0.002,0.002,0.002,0.004,0.007,0.002,0.011,0.016,0.002,0.002,0.002,0.003,0.007,0.003,0.003,0.003,0.004,0.002,0.002,0.044,0.002,0.002,0.002,0.004,0.003,0.089,0.003,0.002,0.003,0.003,0.008,0.003,0.002,0.007,0.005,0.005,0.002,0.002,0.006,0.012,0.008,0.002,0.003,0.002,0.002,0.003,0.007,0.029,0.006,0.018,0.004,0.004,0.047,0.002,0.002,0.002,0.002,0.004,0.002,0.005,0.002,0.002,0.002,0.004,0.002,0.002,0.003,0.002,0.009,0.005,0.003,0.002,0.003,0.002,0.007,0.01,0.002,0.009,0.011,0.002
60,131,131,0.524,4.4284024,0.01,0.568,0.445,0.369,0.292,0.002,0.115,0.008,0.002,0.115,0.008,76|12,0.115|0.067,0.011,0.044,0.002,0.002,0.003,0.002,0.004,0.01,0.002,0.003,0.002,0.002,0.067,0.002,0.002,0.002,0.002,0.002,0.029,0.003,0.002,0.022,0.007,0.014,0.003,0.014,0.005,0.021,0.008,0.01,0.003,0.005,0.008,0.046,0.002,0.002,0.002,0.002,0.002,0.002,0.015,0.002,0.002,0.012,0.014,0.002,0.005,0.021,0.006,0.002,0.009,0.002,0.002,0.002,0.003,0.006,0.002,0.009,0.015,0.002,0.002,0.002,0.003,0.007,0.003,0.002,0.003,0.004,0.002,0.002,0.054,0.002,0.002,0.002,0.003,0.002,0.115,0.003,0.002,0.003,0.003,0.007,0.002,0.002,0.005,0.005,0.005,0.002,0.002,0.006,0.013,0.008,0.002,0.003,0.002,0.002,0.002,0.007,0.032,0.005,0.021,0.002,0.003,0.048,0.002,0.002,0.002,0.002,0.003,0.002,0.004,0.002,0.002,0.002,0.003,0.002,0.002,0.003,0.002,0.009,0.004,0.002,0.002,0.003,0.002,0.007,0.01,0.002,0.008,0.008,0.002
70,131,131,0.492,3.7075286,0.01,0.529,0.445,0.369,0.292,0.001,0.154,0.008,0.001,0.154,0.008,76|12,0.154|0.07,0.009,0.047,0.001,0.002,0.002,0.002,0.004,0.01,0.002,0.002,0.002,0.002,0.07,0.001,0.001,0.002,0.002,0.001,0.029,0.002,0.002,0.021,0.006,0.012,0.002,0.013,0.004,0.021,0.007,0.009,0.003,0.004,0.007,0.05,0.002,0.001,0.002,0.002,0.001,0.002,0.017,0.002,0.001,0.014,0.016,0.002,0.004,0.021,0.005,0.001,0.01,0.002,0.002,0.002,0.003,0.005,0.002,0.007,0.013,0.002,0.001,0.001,0.003,0.008,0.003,0.002,0.002,0.003,0.001,0.002,0.054,0.002,0.002,0.002,0.002,0.002,0.154,0.002,0.002,0.002,0.002,0.006,0.002,0.002,0.004,0.004,0.004,0.001,0.002,0.005,0.013,0.008,0.002,0.002,0.002,0.002,0.002,0.006,0.032,0.004,0.022,0.002,0.002,0.049,0.001,0.002,0.002,0.002,0.002,0.002,0.004,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.009,0.003,0.002,0.001,0.002,0.002,0.006,0.01,0.002,0.007,0.007,0.002
80,131,131,0.478,3.0791783,0.01,0.509,0.445,0.369,0.292,0.001,0.199,0.008,0.001,0.199,0.008,76|12,0.199|0.07,0.007,0.045,0.001,0.001,0.002,0.002,0.004,0.01,0.001,0.002,0.001,0.001,0.07,0.001,0.001,0.002,0.001,0.001,0.027,0.002,0.001,0.019,0.005,0.011,0.002,0.013,0.004,0.02,0.007,0.008,0.003,0.003,0.006,0.048,0.001,0.001,0.001,0.001,0.001,0.001,0.017,0.002,0.001,0.015,0.018,0.001,0.003,0.019,0.005,0.001,0.012,0.001,0.001,0.001,0.002,0.004,0.001,0.006,0.011,0.001,0.001,0.001,0.004,0.008,0.003,0.001,0.002,0.003,0.001,0.001,0.055,0.001,0.001,0.001,0.002,0.001,0.199,0.002,0.001,0.002,0.001,0.005,0.001,0.001,0.003,0.004,0.004,0.001,0.001,0.005,0.014,0.008,0.001,0.002,0.001,0.001,0.002,0.005,0.032,0.003,0.022,0.002,0.002,0.045,0.001,0.001,0.001,0.001,0.002,0.002,0.003,0.001,0.001,0.001,0.002,0.001,0.001,0.002,0.001,0.008,0.003,0.002,0.001,0.002,0.001,0.006,0.01,0.001,0.007,0.006,0.001
90,131,131,0.439,2.7975144,0.01,0.467,0.445,0.369,0.292,0.001,0.223,0.008,0.001,0.223,0.008,76|12,0.223|0.065,0.006,0.044,0.001,0.001,0.001,0.002,0.004,0.011,0.001,0.002,0.001,0.001,0.065,0.001,0.001,0.002,0.001,0.001,0.026,0.002,0.001,0.018,0.005,0.011,0.002,0.013,0.004,0.021,0.006,0.007,0.003,0.003,0.006,0.05,0.001,0.001,0.001,0.001,0.001,0.001,0.016,0.001,0.001,0.015,0.018,0.001,0.002,0.019,0.004,0.001,0.013,0.001,0.001,0.001,0.002,0.004,0.001,0.005,0.01,0.001,0.001,0.001,0.005,0.009,0.003,0.001,0.002,0.003,0.001,0.001,0.056,0.001,0.002,0.001,0.001,0.001,0.223,0.002,0.001,0.002,0.001,0.005,0.001,0.001,0.003,0.004,0.003,0.001,0.001,0.004,0.013,0.008,0.001,0.002,0.001,0.001,0.001,0.004,0.031,0.003,0.021,0.001,0.001,0.042,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.002,0.001,0.001,0.002,0.001,0.008,0.002,0.002,0.001,0.002,0.001,0.006,0.011,0.001,0.007,0.005,0.001
