dataset,target_size,algorithm,props,time,oa,aa,k,selected_bands,selected_weights
ghisaconus_health,2,c3,0,126.997,0.512,0.419,0.419,33|70,0.02261444553732872|0.005071665160357952
ghisaconus_health,3,c3,0,0.0,0.537,0.484,0.484,33|70|76,0.02261444553732872|0.005071665160357952|0.004281154368072748
ghisaconus_health,4,c3,0,0.0,0.63,0.582,0.582,33|40|70|76,0.02261444553732872|0.004904227796941996|0.005071665160357952|0.004281154368072748
ghisaconus_health,5,c3,0,0.0,0.625,0.578,0.578,33|40|43|70|76,0.02261444553732872|0.004904227796941996|0.006319478154182434|0.005071665160357952|0.004281154368072748
ghisaconus_health,6,c3,0,0.0,0.628,0.583,0.583,32|33|40|43|70|76,0.00556710921227932|0.02261444553732872|0.004904227796941996|0.006319478154182434|0.005071665160357952|0.004281154368072748
ghisaconus_health,7,c3,0,0.0,0.63,0.587,0.587,32|33|40|43|70|76|97,0.00556710921227932|0.02261444553732872|0.004904227796941996|0.006319478154182434|0.005071665160357952|0.004281154368072748|0.02230181358754635
ghisaconus_health,8,c3,0,0.0,0.652,0.61,0.61,28|32|33|40|43|70|76|97,0.00763101689517498|0.00556710921227932|0.02261444553732872|0.004904227796941996|0.006319478154182434|0.005071665160357952|0.004281154368072748|0.02230181358754635
ghisaconus_health,9,c3,0,0.0,0.663,0.62,0.62,28|32|33|40|43|62|70|76|97,0.00763101689517498|0.00556710921227932|0.02261444553732872|0.004904227796941996|0.006319478154182434|0.004315047990530729|0.005071665160357952|0.004281154368072748|0.02230181358754635
ghisaconus_health,10,c3,0,0.0,0.662,0.62,0.62,28|32|33|40|43|62|66|70|76|97,0.00763101689517498|0.00556710921227932|0.02261444553732872|0.004904227796941996|0.006319478154182434|0.004315047990530729|0.006714378017932177|0.005071665160357952|0.004281154368072748|0.02230181358754635
ghisaconus_health,11,c3,0,0.0,0.69,0.65,0.65,1|28|32|33|40|43|62|66|70|76|97,0.004305248148739338|0.00763101689517498|0.00556710921227932|0.02261444553732872|0.004904227796941996|0.006319478154182434|0.004315047990530729|0.006714378017932177|0.005071665160357952|0.004281154368072748|0.02230181358754635
ghisaconus_health,12,c3,0,0.0,0.694,0.653,0.653,1|6|28|32|33|40|43|62|66|70|76|97,0.004305248148739338|0.004289516247808933|0.00763101689517498|0.00556710921227932|0.02261444553732872|0.004904227796941996|0.006319478154182434|0.004315047990530729|0.006714378017932177|0.005071665160357952|0.004281154368072748|0.02230181358754635
ghisaconus_health,13,c3,0,0.0,0.695,0.654,0.654,1|6|12|28|32|33|40|43|62|66|70|76|97,0.004305248148739338|0.004289516247808933|0.020034296438097954|0.00763101689517498|0.00556710921227932|0.02261444553732872|0.004904227796941996|0.006319478154182434|0.004315047990530729|0.006714378017932177|0.005071665160357952|0.004281154368072748|0.02230181358754635
ghisaconus_health,14,c3,0,0.0,0.694,0.654,0.654,1|6|12|28|32|33|40|43|50|62|66|70|76|97,0.004305248148739338|0.004289516247808933|0.020034296438097954|0.00763101689517498|0.00556710921227932|0.02261444553732872|0.004904227796941996|0.006319478154182434|0.004396961536258459|0.004315047990530729|0.006714378017932177|0.005071665160357952|0.004281154368072748|0.02230181358754635
ghisaconus_health,15,c3,0,0.0,0.695,0.653,0.653,1|6|12|28|32|33|40|43|50|55|62|66|70|76|97,0.004305248148739338|0.004289516247808933|0.020034296438097954|0.00763101689517498|0.00556710921227932|0.02261444553732872|0.004904227796941996|0.006319478154182434|0.004396961536258459|0.0049396781250834465|0.004315047990530729|0.006714378017932177|0.005071665160357952|0.004281154368072748|0.02230181358754635
ghisaconus_health,16,c3,0,0.0,0.695,0.653,0.653,1|6|12|28|32|33|40|43|44|50|55|62|66|70|76|97,0.004305248148739338|0.004289516247808933|0.020034296438097954|0.00763101689517498|0.00556710921227932|0.02261444553732872|0.004904227796941996|0.006319478154182434|0.005386859644204378|0.004396961536258459|0.0049396781250834465|0.004315047990530729|0.006714378017932177|0.005071665160357952|0.004281154368072748|0.02230181358754635
ghisaconus_health,17,c3,0,0.0,0.695,0.652,0.652,1|6|12|28|32|33|40|43|44|50|55|58|62|66|70|76|97,0.004305248148739338|0.004289516247808933|0.020034296438097954|0.00763101689517498|0.00556710921227932|0.02261444553732872|0.004904227796941996|0.006319478154182434|0.005386859644204378|0.004396961536258459|0.0049396781250834465|0.004254694562405348|0.004315047990530729|0.006714378017932177|0.005071665160357952|0.004281154368072748|0.02230181358754635
ghisaconus_health,18,c3,0,0.0,0.695,0.649,0.649,1|6|12|28|32|33|40|43|44|50|55|58|62|66|70|76|97|101,0.004305248148739338|0.004289516247808933|0.020034296438097954|0.00763101689517498|0.00556710921227932|0.02261444553732872|0.004904227796941996|0.006319478154182434|0.005386859644204378|0.004396961536258459|0.0049396781250834465|0.004254694562405348|0.004315047990530729|0.006714378017932177|0.005071665160357952|0.004281154368072748|0.02230181358754635|0.004271713551133871
ghisaconus_health,19,c3,0,0.0,0.694,0.648,0.648,1|6|12|28|32|33|40|43|44|50|54|55|58|62|66|70|76|97|101,0.004305248148739338|0.004289516247808933|0.020034296438097954|0.00763101689517498|0.00556710921227932|0.02261444553732872|0.004904227796941996|0.006319478154182434|0.005386859644204378|0.004396961536258459|0.007213916629552841|0.0049396781250834465|0.004254694562405348|0.004315047990530729|0.006714378017932177|0.005071665160357952|0.004281154368072748|0.02230181358754635|0.004271713551133871
ghisaconus_health,20,c3,0,0.0,0.701,0.652,0.652,1|6|12|28|32|33|40|43|44|50|54|55|58|62|66|70|76|97|101|126,0.004305248148739338|0.004289516247808933|0.020034296438097954|0.00763101689517498|0.00556710921227932|0.02261444553732872|0.004904227796941996|0.006319478154182434|0.005386859644204378|0.004396961536258459|0.007213916629552841|0.0049396781250834465|0.004254694562405348|0.004315047990530729|0.006714378017932177|0.005071665160357952|0.004281154368072748|0.02230181358754635|0.004271713551133871|0.004585655871778727
ghisaconus_health,21,c3,0,0.0,0.7,0.652,0.652,1|6|12|28|32|33|40|43|44|50|54|55|58|62|66|70|76|97|101|125|126,0.004305248148739338|0.004289516247808933|0.020034296438097954|0.00763101689517498|0.00556710921227932|0.02261444553732872|0.004904227796941996|0.006319478154182434|0.005386859644204378|0.004396961536258459|0.007213916629552841|0.0049396781250834465|0.004254694562405348|0.004315047990530729|0.006714378017932177|0.005071665160357952|0.004281154368072748|0.02230181358754635|0.004271713551133871|0.004321896471083164|0.004585655871778727
ghisaconus_health,22,c3,0,0.0,0.7,0.652,0.652,1|6|12|28|32|33|40|43|44|50|54|55|58|62|66|70|76|86|97|101|125|126,0.004305248148739338|0.004289516247808933|0.020034296438097954|0.00763101689517498|0.00556710921227932|0.02261444553732872|0.004904227796941996|0.006319478154182434|0.005386859644204378|0.004396961536258459|0.007213916629552841|0.0049396781250834465|0.004254694562405348|0.004315047990530729|0.006714378017932177|0.005071665160357952|0.004281154368072748|0.005784199107438326|0.02230181358754635|0.004271713551133871|0.004321896471083164|0.004585655871778727
ghisaconus_health,23,c3,0,0.0,0.7,0.651,0.651,1|6|12|28|32|33|40|43|44|50|52|54|55|58|62|66|70|76|86|97|101|125|126,0.004305248148739338|0.004289516247808933|0.020034296438097954|0.00763101689517498|0.00556710921227932|0.02261444553732872|0.004904227796941996|0.006319478154182434|0.005386859644204378|0.004396961536258459|0.004754511173814535|0.007213916629552841|0.0049396781250834465|0.004254694562405348|0.004315047990530729|0.006714378017932177|0.005071665160357952|0.004281154368072748|0.005784199107438326|0.02230181358754635|0.004271713551133871|0.004321896471083164|0.004585655871778727
ghisaconus_health,24,c3,0,0.0,0.704,0.654,0.654,1|6|12|23|28|32|33|40|43|44|50|52|54|55|58|62|66|70|76|86|97|101|125|126,0.004305248148739338|0.004289516247808933|0.020034296438097954|0.008576923049986362|0.00763101689517498|0.00556710921227932|0.02261444553732872|0.004904227796941996|0.006319478154182434|0.005386859644204378|0.004396961536258459|0.004754511173814535|0.007213916629552841|0.0049396781250834465|0.004254694562405348|0.004315047990530729|0.006714378017932177|0.005071665160357952|0.004281154368072748|0.005784199107438326|0.02230181358754635|0.004271713551133871|0.004321896471083164|0.004585655871778727
ghisaconus_health,25,c3,0,0.0,0.703,0.653,0.653,1|6|12|23|27|28|32|33|40|43|44|50|52|54|55|58|62|66|70|76|86|97|101|125|126,0.004305248148739338|0.004289516247808933|0.020034296438097954|0.008576923049986362|0.004328647628426552|0.00763101689517498|0.00556710921227932|0.02261444553732872|0.004904227796941996|0.006319478154182434|0.005386859644204378|0.004396961536258459|0.004754511173814535|0.007213916629552841|0.0049396781250834465|0.004254694562405348|0.004315047990530729|0.006714378017932177|0.005071665160357952|0.004281154368072748|0.005784199107438326|0.02230181358754635|0.004271713551133871|0.004321896471083164|0.004585655871778727
ghisaconus_health,26,c3,0,0.0,0.704,0.653,0.653,1|6|12|23|27|28|32|33|40|43|44|50|52|54|55|58|62|66|70|74|76|86|97|101|125|126,0.004305248148739338|0.004289516247808933|0.020034296438097954|0.008576923049986362|0.004328647628426552|0.00763101689517498|0.00556710921227932|0.02261444553732872|0.004904227796941996|0.006319478154182434|0.005386859644204378|0.004396961536258459|0.004754511173814535|0.007213916629552841|0.0049396781250834465|0.004254694562405348|0.004315047990530729|0.006714378017932177|0.005071665160357952|0.006536590401083231|0.004281154368072748|0.005784199107438326|0.02230181358754635|0.004271713551133871|0.004321896471083164|0.004585655871778727
ghisaconus_health,27,c3,0,0.0,0.703,0.652,0.652,1|6|12|23|27|28|32|33|40|43|44|50|52|54|55|58|62|66|70|74|76|85|86|97|101|125|126,0.004305248148739338|0.004289516247808933|0.020034296438097954|0.008576923049986362|0.004328647628426552|0.00763101689517498|0.00556710921227932|0.02261444553732872|0.004904227796941996|0.006319478154182434|0.005386859644204378|0.004396961536258459|0.004754511173814535|0.007213916629552841|0.0049396781250834465|0.004254694562405348|0.004315047990530729|0.006714378017932177|0.005071665160357952|0.006536590401083231|0.004281154368072748|0.007024025544524193|0.005784199107438326|0.02230181358754635|0.004271713551133871|0.004321896471083164|0.004585655871778727
ghisaconus_health,28,c3,0,0.0,0.703,0.652,0.652,1|6|7|12|23|27|28|32|33|40|43|44|50|52|54|55|58|62|66|70|74|76|85|86|97|101|125|126,0.004305248148739338|0.004289516247808933|0.008228071965277195|0.020034296438097954|0.008576923049986362|0.004328647628426552|0.00763101689517498|0.00556710921227932|0.02261444553732872|0.004904227796941996|0.006319478154182434|0.005386859644204378|0.004396961536258459|0.004754511173814535|0.007213916629552841|0.0049396781250834465|0.004254694562405348|0.004315047990530729|0.006714378017932177|0.005071665160357952|0.006536590401083231|0.004281154368072748|0.007024025544524193|0.005784199107438326|0.02230181358754635|0.004271713551133871|0.004321896471083164|0.004585655871778727
