dataset,target_size,algorithm,props,oa,aa,k,fold
indian_pines,2,bsdrattn2,0,0.57,0.47,0.48,0
indian_pines,2,bsdrattn2,0,0.56,0.44,0.48,1
indian_pines,2,bsdrattn2,0,0.56,0.41,0.47,2
indian_pines,2,bsdrattn2,0,0.57,0.42,0.5,3
indian_pines,2,bsdrattn2,0,0.57,0.45,0.49,4
indian_pines,2,bsdrattn2,0,0.56,0.39,0.48,5
indian_pines,2,bsdrattn2,0,0.55,0.43,0.48,6
indian_pines,2,bsdrattn2,0,0.55,0.42,0.48,7
indian_pines,2,bsdrattn2,0,0.57,0.43,0.49,8
indian_pines,2,bsdrattn2,0,0.56,0.44,0.47,9
indian_pines,2,bsdrattn2,0,0.58,0.43,0.51,10
indian_pines,2,bsdrattn2,0,0.55,0.46,0.47,11
indian_pines,2,bsdrattn2,0,0.57,0.41,0.49,12
indian_pines,2,bsdrattn2,0,0.58,0.44,0.5,13
indian_pines,2,bsdrattn2,0,0.55,0.36,0.46,14
indian_pines,2,bsdrattn2,0,0.57,0.43,0.49,15
indian_pines,2,bsdrattn2,0,0.58,0.45,0.51,16
indian_pines,2,bsdrattn2,0,0.55,0.4,0.47,17
indian_pines,2,bsdrattn2,0,0.57,0.43,0.49,18
indian_pines,2,bsdrattn2,0,0.58,0.44,0.51,19
indian_pines,3,bsdrattn2,0,0.63,0.56,0.56,0
indian_pines,3,bsdrattn2,0,0.63,0.6,0.57,1
indian_pines,3,bsdrattn2,0,0.62,0.5,0.55,2
indian_pines,3,bsdrattn2,0,0.62,0.6,0.56,3
indian_pines,3,bsdrattn2,0,0.62,0.57,0.56,4
indian_pines,3,bsdrattn2,0,0.61,0.5,0.54,5
indian_pines,3,bsdrattn2,0,0.6,0.53,0.54,6
indian_pines,3,bsdrattn2,0,0.59,0.54,0.52,7
indian_pines,3,bsdrattn2,0,0.6,0.56,0.53,8
indian_pines,3,bsdrattn2,0,0.61,0.55,0.54,9
indian_pines,3,bsdrattn2,0,0.62,0.55,0.55,10
indian_pines,3,bsdrattn2,0,0.61,0.58,0.55,11
indian_pines,3,bsdrattn2,0,0.62,0.54,0.56,12
indian_pines,3,bsdrattn2,0,0.62,0.58,0.56,13
indian_pines,3,bsdrattn2,0,0.61,0.52,0.54,14
indian_pines,3,bsdrattn2,0,0.61,0.52,0.54,15
indian_pines,3,bsdrattn2,0,0.62,0.57,0.56,16
indian_pines,3,bsdrattn2,0,0.62,0.51,0.55,17
indian_pines,3,bsdrattn2,0,0.61,0.56,0.55,18
indian_pines,3,bsdrattn2,0,0.62,0.53,0.56,19
indian_pines,4,bsdrattn2,0,0.66,0.6,0.61,0
indian_pines,4,bsdrattn2,0,0.67,0.58,0.62,1
indian_pines,4,bsdrattn2,0,0.67,0.57,0.62,2
indian_pines,4,bsdrattn2,0,0.64,0.56,0.58,3
indian_pines,4,bsdrattn2,0,0.66,0.56,0.61,4
indian_pines,4,bsdrattn2,0,0.66,0.58,0.61,5
indian_pines,4,bsdrattn2,0,0.66,0.56,0.61,6
indian_pines,4,bsdrattn2,0,0.66,0.61,0.61,7
indian_pines,4,bsdrattn2,0,0.64,0.51,0.59,8
indian_pines,4,bsdrattn2,0,0.66,0.57,0.61,9
indian_pines,4,bsdrattn2,0,0.66,0.58,0.61,10
indian_pines,4,bsdrattn2,0,0.65,0.57,0.6,11
indian_pines,4,bsdrattn2,0,0.65,0.55,0.59,12
indian_pines,4,bsdrattn2,0,0.66,0.57,0.6,13
indian_pines,4,bsdrattn2,0,0.65,0.55,0.59,14
indian_pines,4,bsdrattn2,0,0.65,0.55,0.6,15
indian_pines,4,bsdrattn2,0,0.65,0.58,0.6,16
indian_pines,4,bsdrattn2,0,0.64,0.58,0.59,17
indian_pines,4,bsdrattn2,0,0.66,0.56,0.61,18
indian_pines,4,bsdrattn2,0,0.64,0.55,0.59,19
indian_pines,5,bsdrattn2,0,0.67,0.61,0.62,0
indian_pines,5,bsdrattn2,0,0.66,0.62,0.61,1
indian_pines,5,bsdrattn2,0,0.67,0.58,0.62,2
indian_pines,5,bsdrattn2,0,0.65,0.6,0.59,3
indian_pines,5,bsdrattn2,0,0.66,0.57,0.61,4
indian_pines,5,bsdrattn2,0,0.65,0.58,0.6,5
indian_pines,5,bsdrattn2,0,0.65,0.59,0.6,6
indian_pines,5,bsdrattn2,0,0.67,0.58,0.62,7
indian_pines,5,bsdrattn2,0,0.65,0.57,0.59,8
indian_pines,5,bsdrattn2,0,0.66,0.59,0.61,9
indian_pines,5,bsdrattn2,0,0.66,0.61,0.61,10
indian_pines,5,bsdrattn2,0,0.66,0.6,0.61,11
indian_pines,5,bsdrattn2,0,0.66,0.6,0.61,12
indian_pines,5,bsdrattn2,0,0.66,0.58,0.61,13
indian_pines,5,bsdrattn2,0,0.66,0.59,0.6,14
indian_pines,5,bsdrattn2,0,0.64,0.6,0.59,15
indian_pines,5,bsdrattn2,0,0.66,0.62,0.61,16
indian_pines,5,bsdrattn2,0,0.66,0.61,0.61,17
indian_pines,5,bsdrattn2,0,0.66,0.6,0.61,18
indian_pines,5,bsdrattn2,0,0.65,0.57,0.6,19
indian_pines,6,bsdrattn2,0,0.69,0.61,0.65,0
indian_pines,6,bsdrattn2,0,0.68,0.61,0.64,1
indian_pines,6,bsdrattn2,0,0.69,0.6,0.64,2
indian_pines,6,bsdrattn2,0,0.67,0.58,0.62,3
indian_pines,6,bsdrattn2,0,0.69,0.63,0.64,4
indian_pines,6,bsdrattn2,0,0.7,0.62,0.66,5
indian_pines,6,bsdrattn2,0,0.68,0.59,0.64,6
indian_pines,6,bsdrattn2,0,0.68,0.6,0.64,7
indian_pines,6,bsdrattn2,0,0.69,0.61,0.64,8
indian_pines,6,bsdrattn2,0,0.7,0.61,0.66,9
indian_pines,6,bsdrattn2,0,0.7,0.65,0.66,10
indian_pines,6,bsdrattn2,0,0.71,0.62,0.66,11
indian_pines,6,bsdrattn2,0,0.7,0.62,0.66,12
indian_pines,6,bsdrattn2,0,0.69,0.61,0.64,13
indian_pines,6,bsdrattn2,0,0.7,0.62,0.66,14
indian_pines,6,bsdrattn2,0,0.7,0.58,0.65,15
indian_pines,6,bsdrattn2,0,0.69,0.64,0.64,16
indian_pines,6,bsdrattn2,0,0.67,0.59,0.63,17
indian_pines,6,bsdrattn2,0,0.7,0.61,0.65,18
indian_pines,6,bsdrattn2,0,0.7,0.63,0.66,19
indian_pines,7,bsdrattn2,0,0.72,0.7,0.68,0
indian_pines,7,bsdrattn2,0,0.72,0.7,0.69,1
indian_pines,7,bsdrattn2,0,0.74,0.71,0.7,2
indian_pines,7,bsdrattn2,0,0.74,0.72,0.7,3
indian_pines,7,bsdrattn2,0,0.73,0.71,0.69,4
indian_pines,7,bsdrattn2,0,0.73,0.69,0.69,5
indian_pines,7,bsdrattn2,0,0.73,0.7,0.69,6
indian_pines,7,bsdrattn2,0,0.73,0.67,0.69,7
indian_pines,7,bsdrattn2,0,0.73,0.69,0.69,8
indian_pines,7,bsdrattn2,0,0.75,0.7,0.71,9
indian_pines,7,bsdrattn2,0,0.74,0.74,0.7,10
indian_pines,7,bsdrattn2,0,0.72,0.7,0.68,11
indian_pines,7,bsdrattn2,0,0.72,0.68,0.69,12
indian_pines,7,bsdrattn2,0,0.73,0.68,0.69,13
indian_pines,7,bsdrattn2,0,0.73,0.7,0.69,14
indian_pines,7,bsdrattn2,0,0.73,0.7,0.7,15
indian_pines,7,bsdrattn2,0,0.72,0.69,0.68,16
indian_pines,7,bsdrattn2,0,0.72,0.64,0.68,17
indian_pines,7,bsdrattn2,0,0.72,0.67,0.68,18
indian_pines,7,bsdrattn2,0,0.73,0.71,0.69,19
indian_pines,8,bsdrattn2,0,0.72,0.7,0.68,0
indian_pines,8,bsdrattn2,0,0.71,0.7,0.67,1
indian_pines,8,bsdrattn2,0,0.72,0.68,0.68,2
indian_pines,8,bsdrattn2,0,0.72,0.69,0.68,3
indian_pines,8,bsdrattn2,0,0.7,0.7,0.66,4
indian_pines,8,bsdrattn2,0,0.73,0.67,0.69,5
indian_pines,8,bsdrattn2,0,0.68,0.64,0.64,6
indian_pines,8,bsdrattn2,0,0.72,0.69,0.68,7
indian_pines,8,bsdrattn2,0,0.73,0.7,0.69,8
indian_pines,8,bsdrattn2,0,0.72,0.66,0.68,9
indian_pines,8,bsdrattn2,0,0.72,0.69,0.68,10
indian_pines,8,bsdrattn2,0,0.72,0.66,0.68,11
indian_pines,8,bsdrattn2,0,0.71,0.7,0.67,12
indian_pines,8,bsdrattn2,0,0.73,0.7,0.69,13
indian_pines,8,bsdrattn2,0,0.72,0.67,0.68,14
indian_pines,8,bsdrattn2,0,0.7,0.65,0.65,15
indian_pines,8,bsdrattn2,0,0.71,0.69,0.67,16
indian_pines,8,bsdrattn2,0,0.73,0.71,0.69,17
indian_pines,8,bsdrattn2,0,0.72,0.65,0.68,18
indian_pines,8,bsdrattn2,0,0.72,0.69,0.68,19
indian_pines,9,bsdrattn2,0,0.75,0.73,0.72,0
indian_pines,9,bsdrattn2,0,0.75,0.74,0.72,1
indian_pines,9,bsdrattn2,0,0.76,0.7,0.73,2
indian_pines,9,bsdrattn2,0,0.75,0.73,0.71,3
indian_pines,9,bsdrattn2,0,0.74,0.72,0.7,4
indian_pines,9,bsdrattn2,0,0.78,0.75,0.74,5
indian_pines,9,bsdrattn2,0,0.76,0.73,0.72,6
indian_pines,9,bsdrattn2,0,0.76,0.74,0.73,7
indian_pines,9,bsdrattn2,0,0.75,0.71,0.71,8
indian_pines,9,bsdrattn2,0,0.76,0.75,0.72,9
indian_pines,9,bsdrattn2,0,0.76,0.76,0.73,10
indian_pines,9,bsdrattn2,0,0.76,0.73,0.72,11
indian_pines,9,bsdrattn2,0,0.75,0.75,0.72,12
indian_pines,9,bsdrattn2,0,0.76,0.73,0.73,13
indian_pines,9,bsdrattn2,0,0.75,0.74,0.72,14
indian_pines,9,bsdrattn2,0,0.76,0.71,0.73,15
indian_pines,9,bsdrattn2,0,0.76,0.76,0.72,16
indian_pines,9,bsdrattn2,0,0.77,0.75,0.74,17
indian_pines,9,bsdrattn2,0,0.76,0.73,0.72,18
indian_pines,9,bsdrattn2,0,0.78,0.75,0.74,19
indian_pines,10,bsdrattn2,0,0.73,0.71,0.69,0
indian_pines,10,bsdrattn2,0,0.74,0.73,0.71,1
indian_pines,10,bsdrattn2,0,0.73,0.68,0.69,2
indian_pines,10,bsdrattn2,0,0.73,0.72,0.7,3
indian_pines,10,bsdrattn2,0,0.73,0.73,0.7,4
indian_pines,10,bsdrattn2,0,0.73,0.71,0.69,5
indian_pines,10,bsdrattn2,0,0.72,0.66,0.68,6
indian_pines,10,bsdrattn2,0,0.75,0.71,0.72,7
indian_pines,10,bsdrattn2,0,0.73,0.71,0.7,8
indian_pines,10,bsdrattn2,0,0.74,0.72,0.7,9
indian_pines,10,bsdrattn2,0,0.73,0.69,0.69,10
indian_pines,10,bsdrattn2,0,0.74,0.71,0.7,11
indian_pines,10,bsdrattn2,0,0.73,0.73,0.7,12
