dataset,target_size,algorithm,props,time,oa,aa,k,selected_bands,selected_weights
indian_pines,2,bsdrattn2,0,44.66,0.565,0.427,0.427,71|127,2.649576425552368|2.9740359783172607
indian_pines,3,bsdrattn2,0,37.91,0.615,0.549,0.549,38|99|127,2.11102294921875|2.3546295166015625|2.149507761001587
indian_pines,4,bsdrattn2,0,39.064,0.655,0.567,0.567,19|114|126|160,1.7778629064559937|1.6596124172210693|1.7478957176208496|1.8670624494552612
indian_pines,5,bsdrattn2,0,40.578,0.658,0.594,0.594,25|118|128|134|160,3.3237245082855225|2.7534823417663574|2.4799981117248535|2.6847615242004395|2.2816267013549805
indian_pines,6,bsdrattn2,0,42.691,0.692,0.611,0.611,7|19|27|113|128|149,1.4149318933486938|1.9341391324996948|1.8980786800384521|2.175934076309204|1.9630142450332642|1.9467527866363525
indian_pines,7,bsdrattn2,0,45.771,0.729,0.696,0.696,6|37|99|127|133|161|172,1.9766122102737427|1.4273844957351685|1.6614487171173096|2.5835232734680176|1.7050102949142456|1.3963022232055664|2.308839797973633
indian_pines,8,bsdrattn2,0,43.926,0.716,0.682,0.682,19|34|41|52|149|159|161|177,2.975850820541382|2.6719961166381836|1.5452759265899658|1.8123383522033691|2.4441938400268555|1.361763596534729|1.7835074663162231|2.738337755203247
indian_pines,9,bsdrattn2,0,50.774,0.758,0.737,0.737,8|35|38|58|71|112|126|149|162,1.1880841255187988|0.9805442094802856|0.7977437973022461|0.9293482899665833|1.0073972940444946|1.373104453086853|0.8454670906066895|0.740614116191864|0.8382725119590759
indian_pines,10,bsdrattn2,0,52.551,0.734,0.709,0.709,8|16|19|35|38|69|149|154|161|172,0.6664351224899292|0.8287380337715149|0.35874903202056885|0.7112744450569153|0.26968687772750854|0.9161437153816223|0.4813903272151947|0.3225345313549042|0.5513691306114197|0.8287766575813293
indian_pines,11,bsdrattn2,0,53.541,0.76,0.742,0.742,14|36|38|50|99|127|129|149|160|162|171,1.5700212717056274|1.357568621635437|1.4090070724487305|0.6678850650787354|1.459281325340271|1.0004453659057617|1.3128068447113037|1.0229853391647339|0.21368533372879028|1.2206066846847534|0.2327716201543808
indian_pines,12,bsdrattn2,0,55.677,0.726,0.686,0.686,8|10|34|100|112|128|134|140|148|159|172|187,0.8703152537345886|1.1688408851623535|0.004110799636691809|1.3387809991836548|1.348988652229309|1.025348424911499|1.1288114786148071|1.1475461721420288|0.5975242853164673|1.3590158224105835|0.8764891028404236|1.0367743968963623
indian_pines,13,bsdrattn2,0,57.422,0.769,0.747,0.747,7|19|34|35|38|41|69|100|128|148|149|171|184,2.8587417602539062|1.54507577419281|1.3640491962432861|1.9391030073165894|2.30484938621521|2.8985822200775146|2.4630532264709473|0.7490847110748291|1.6533175706863403|0.7576198577880859|0.8708568811416626|1.1782159805297852|3.131225109100342
indian_pines,14,bsdrattn2,0,55.682,0.753,0.714,0.714,7|16|18|36|41|51|69|100|125|126|129|149|153|173,0.0438130646944046|0.777045488357544|0.9336816072463989|0.7170303463935852|0.7604473829269409|0.9737526774406433|0.48409029841423035|0.765032947063446|0.017969144508242607|0.5963225960731506|0.6210267543792725|0.41356441378593445|0.005147587973624468|0.5778962969779968
indian_pines,15,bsdrattn2,0,54.41,0.754,0.719,0.719,7|16|18|36|41|51|58|69|100|125|126|129|149|153|173,0.0438130646944046|0.777045488357544|0.9336816072463989|0.7170303463935852|0.7604473829269409|0.9737526774406433|0.7059005498886108|0.48409029841423035|0.765032947063446|0.017969144508242607|0.5963225960731506|0.6210267543792725|0.41356441378593445|0.005147587973624468|0.5778962969779968
indian_pines,16,bsdrattn2,0,54.99,0.767,0.733,0.733,7|16|18|36|41|51|58|69|100|125|126|129|149|153|161|173,0.0438130646944046|0.777045488357544|0.9336816072463989|0.7170303463935852|0.7604473829269409|0.9737526774406433|0.7059005498886108|0.48409029841423035|0.765032947063446|0.017969144508242607|0.5963225960731506|0.6210267543792725|0.41356441378593445|0.005147587973624468|0.08675672113895416|0.5778962969779968
indian_pines,17,bsdrattn2,0,55.168,0.774,0.739,0.739,7|16|18|34|36|41|51|58|69|100|125|126|129|149|153|161|173,0.0438130646944046|0.777045488357544|0.9336816072463989|0.0028628285508602858|0.7170303463935852|0.7604473829269409|0.9737526774406433|0.7059005498886108|0.48409029841423035|0.765032947063446|0.017969144508242607|0.5963225960731506|0.6210267543792725|0.41356441378593445|0.005147587973624468|0.08675672113895416|0.5778962969779968
indian_pines,18,bsdrattn2,0,54.995,0.775,0.742,0.742,7|16|18|34|36|41|44|51|58|69|100|125|126|129|149|153|161|173,0.0438130646944046|0.777045488357544|0.9336816072463989|0.0028628285508602858|0.7170303463935852|0.7604473829269409|0.8909800052642822|0.9737526774406433|0.7059005498886108|0.48409029841423035|0.765032947063446|0.017969144508242607|0.5963225960731506|0.6210267543792725|0.41356441378593445|0.005147587973624468|0.08675672113895416|0.5778962969779968
indian_pines,19,bsdrattn2,0,55.168,0.777,0.745,0.745,7|16|18|34|36|41|44|51|58|69|100|125|126|129|149|153|161|173|182,0.0438130646944046|0.777045488357544|0.9336816072463989|0.0028628285508602858|0.7170303463935852|0.7604473829269409|0.8909800052642822|0.9737526774406433|0.7059005498886108|0.48409029841423035|0.765032947063446|0.017969144508242607|0.5963225960731506|0.6210267543792725|0.41356441378593445|0.005147587973624468|0.08675672113895416|0.5778962969779968|0.003945681266486645
